provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-AppV-Client-StreamingUX	1	1	task_0_V1(UnicodeString astring, UInt64 uint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	2	1	task_02_V1(UnicodeString astring, UInt64 uint64)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	3	1	task_03_V1(UInt64 unint64)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	4	1	task_04_V1(UInt64 unint64, UInt64 uint642)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	5	1	task_05_V1(UnicodeString astring)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	6	1	task_06_V1(UnicodeString astring)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	20	1	task_020_V1(UInt64 unint64)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	21	1	task_021_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	40	1	task_040_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	41	1	task_041_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	42	1	task_042_V1(UnicodeString astring, UInt64 uint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	43	1	task_043_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	44	1	task_044_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	45	1	task_045_V1(UInt64 unint64)			task_0	Warning		
Microsoft-AppV-Client-StreamingUX	60	1	task_060_V1(GUID packageId, GUID versionId)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	61	1	task_061_V1(GUID packageId, GUID versionId, UInt64 percentageComplete)			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	80	1	task_080_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	100	1	task_0100_V1()			task_0	Informational		
Microsoft-AppV-Client-StreamingUX	101	1	task_0101_V1(UInt32 uint32)			task_0	Warning		
Microsoft-AppV-Client-StreamingUX	102	1	task_0102_V1(UnicodeString astring)			task_0	Warning		
Microsoft-AppV-Client-StreamingUX	120	1	task_0120_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	121	1	task_0121_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	122	1	task_0122_V1(UInt64 unint64)			task_0	Error		
Microsoft-AppV-Client-StreamingUX	140	1	task_0140_V1()			task_0	Error		
Microsoft-AppV-Client-StreamingUX	150	1	task_0150_V1(UnicodeString server, Boolean global, UInt32 packageTotal, UInt32 packageSucceeded, UInt32 packageFailed, UInt32 groupTotal, UInt32 groupSucceeded, UInt32 groupFailed)			task_0	Informational		
