provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-AppV-Client	1	1	ClientStartupStart_V1()	Start	Startup	ClientStartup	Informational		
Microsoft-AppV-Client	2	1	ClientShutdownStop_V1()	Stop	Shutdown	ClientShutdown	Informational		
Microsoft-AppV-Client	3	1	ClientStartupStart3_V1(UnicodeString Item, UInt32 Error)	Start	Startup	ClientStartup	Error		
Microsoft-AppV-Client	4	1	ClientStartupStart4_V1(UInt32 Error)	Start	Startup Logon	ClientStartup	Error		
Microsoft-AppV-Client	5	1	UserLogonStart_V1(UInt32 ErrorHigh, UInt32 ErrorLow)	Start	Logon	UserLogon	Error		
Microsoft-AppV-Client	6	1	UserLogoffStop_V1(UInt32 ErrorHigh, UInt32 ErrorLow)	Stop	Logoff	UserLogoff	Error		
Microsoft-AppV-Client	7	1	APIRequestSend_V1(Int32 Error)	Send	API	APIRequest	Error		
Microsoft-AppV-Client	8	1	UserLogonStart8_V1(UInt32 ErrorHigh, UInt32 ErrorLow)	Start	Logon	UserLogon	Error		
Microsoft-AppV-Client	9	1	APIRequest9_V1(UInt32 CurrentImpersonationLevel)		API	APIRequest	Error		
Microsoft-AppV-Client	10	1	APIRequest10_V1()		API	APIRequest	Error		
Microsoft-AppV-Client	11	1	ClientStartup_V1(UInt32 ErrorHigh, UInt32 ErrorLow)		Startup	ClientStartup	Warning		
Microsoft-AppV-Client	12	1	ClientShutdown_V1(UInt32 ErrorHigh, UInt32 ErrorLow)		Shutdown	ClientShutdown	Warning		
Microsoft-AppV-Client	13	0	APIRequest(Int32 Error)			APIRequest	Warning		
Microsoft-AppV-Client	14	1	ClientStartupStart14_V1()	Start	Startup	ClientStartup	Error		
Microsoft-AppV-Client	15	1	ClientStartupStart15_V1()	Start	Startup	ClientStartup	Error		
Microsoft-AppV-Client	101	1	APIRequestStart_V1(UnicodeString Item)	Start		APIRequest	Informational		
Microsoft-AppV-Client	102	1	APIRequestStop_V1(UnicodeString Name, Int32 HResult)	Stop		APIRequest	Informational		
Microsoft-AppV-Client	1001	1	ClientShutdownStop1001_V1(UInt32 ErrorHigh, UInt32 ErrorLow)	Stop	Shutdown	ClientShutdown	Error		
Microsoft-AppV-Client	1002	1	ConfigurePackage_V1(GUID Package, GUID Version, UnicodeString Folder)		Publishing	ConfigurePackage	Informational		
Microsoft-AppV-Client	1003	1	PublishPackage_V1(GUID Package, GUID Version)		Publishing	PublishPackage	Informational		
Microsoft-AppV-Client	1004	1	PublishPackage1004_V1(GUID Package, GUID Version)		Publishing	PublishPackage	Informational		
Microsoft-AppV-Client	1005	1	UnpublishPackage_V1(GUID Package, GUID Version)		Publishing	UnpublishPackage	Informational		
Microsoft-AppV-Client	1006	1	UnpublishPackage1006_V1(GUID Package, GUID Version)		Publishing	UnpublishPackage	Informational		
Microsoft-AppV-Client	1007	1	RemovePackage_V1(GUID Package, GUID Version)		Publishing	RemovePackage	Informational		
Microsoft-AppV-Client	1008	1	ConfigurePackage1008_V1(GUID Package, GUID Version, UnicodeString Folder, UInt32 ErrorHigh, UInt32 ErrorLow)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1009	1	ConfigureVirtualApplicationConnectionGroup_V1(GUID PackageGroup, GUID Version)		Publishing	ConfigureVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1010	1	ConfigureVirtualApplicationConnectionGroup1010_V1(GUID PackageGroup, GUID Version, UInt32 ErrorHigh, UInt32 ErrorLow)		Publishing	ConfigureVirtualApplicationConnectionGroup	Error		
Microsoft-AppV-Client	1011	1	PublishVirtualApplicationConnectionGroup_V1(GUID PackageGroup, GUID Version)		Publishing	PublishVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1012	1	PublishVirtualApplicationConnectionGroup1012_V1(GUID PackageGroup, GUID Version)		Publishing	PublishVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1013	1	UnpublishVirtualApplicationConnectionGroup_V1(GUID PackageGroup, GUID Version)		Publishing	UnpublishVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1014	1	UnpublishVirtualApplicationConnectionGroup1014_V1(GUID PackageGroup, GUID Version)		Publishing	UnpublishVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1015	1	RemoveVirtualApplicationConnectionGroup_V1(GUID PackageGroup, GUID Version)		Publishing	RemoveVirtualApplicationConnectionGroup	Informational		
Microsoft-AppV-Client	1016	1	UnpublishPackage1016_V1(GUID Package, GUID Version)		Publishing	UnpublishPackage	Error		
Microsoft-AppV-Client	1017	1	RemovePackage1017_V1(GUID Package, GUID Version)		Publishing	RemovePackage	Error		
Microsoft-AppV-Client	1018	1	UnpublishPackage1018_V1(GUID Package, GUID Version, UInt64 ActivityID)		Publishing	UnpublishPackage	Error		
Microsoft-AppV-Client	1019	1	UnpublishPackage1019_V1(GUID Package, GUID Version, UInt64 ActivityID)		Publishing	UnpublishPackage	Error		
Microsoft-AppV-Client	1020	1	RemovePackage1020_V1(GUID Package, GUID Version, UInt64 ActivityID)		Publishing	RemovePackage	Error		
Microsoft-AppV-Client	1021	1	UnpublishVirtualApplicationConnectionGroup1021_V1(GUID ConnectionGroup, GUID Version, UInt64 ActivityID)		Publishing	UnpublishVirtualApplicationConnectionGroup	Error		
Microsoft-AppV-Client	1022	1	UnpublishVirtualApplicationConnectionGroup1022_V1(GUID ConnectionGroup, GUID Version, UInt64 ActivityID)		Publishing	UnpublishVirtualApplicationConnectionGroup	Error		
Microsoft-AppV-Client	1023	1	RemoveVirtualApplicationConnectionGroup1023_V1(GUID ConnectionGroup, GUID Version, UInt64 ActivityID)		Publishing	RemoveVirtualApplicationConnectionGroup	Error		
Microsoft-AppV-Client	1024	1	ConfigurePackage1024_V1(GUID Package, GUID Version)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1025	1	ConfigurePackage1025_V1(GUID Package, GUID Version)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1026	1	ConfigurePackage1026_V1(GUID Package, GUID Version)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1027	1	ConfigurePackage1027_V1(GUID Id, GUID Version, UnicodeString Path)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1028	1	ConfigurePackage1028_V1(GUID Id, GUID Version, UnicodeString Path)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1029	1	ConfigurePackage1029_V1(GUID Package, GUID Version)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1030	1	ConfigurePackage1030_V1(GUID Package, GUID Version)		Publishing	ConfigurePackage	Error		
Microsoft-AppV-Client	1031	1	PublishPackage1031_V1(GUID Package, GUID Version)		Publishing	PublishPackage	Error		
Microsoft-AppV-Client	1032	1	PublishPackage1032_V1(GUID Package, GUID Version)		Publishing	PublishPackage	Error		
Microsoft-AppV-Client	1033	1	PublishPackage1033_V1(GUID Id, GUID Version, UnicodeString Path)		Publishing	PublishPackage	Error		
Microsoft-AppV-Client	1034	1	PublishPackage1034_V1(GUID Id, GUID Version, UnicodeString Path)		Publishing	PublishPackage	Error		
