provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Gaming-Services	9001	0	GamingServicesError(UnicodeString Message, AnsiString Function, Int32 ErrorCode, AnsiString Source, UInt32 LineNumber)	Error	GamingServices	GamingServices	Error		
Microsoft-Gaming-Services	9002	0	GamingServicesWarning(UnicodeString Message, AnsiString Function, Int32 ErrorCode, AnsiString Source, UInt32 LineNumber)	Warning	GamingServices	GamingServices	Warning		
Microsoft-Gaming-Services	9003	0	GamingServicesInfo(UnicodeString Message, AnsiString Function, Int32 ErrorCode, AnsiString Source, UInt32 LineNumber)	Info	GamingServices	GamingServices	Informational		
Microsoft-Gaming-Services	9004	0	GamingServicesVerbose(UnicodeString Message, AnsiString Function, Int32 ErrorCode, AnsiString Source, UInt32 LineNumber)	Verbose	GamingServices	GamingServices	Verbose		
Microsoft-Gaming-Services	9005	0	GamingServices_9005Error(UnicodeString Message, HexInt32 ErrorCode)	Error	GamingServices	GamingServices_9005	Error		
Microsoft-Gaming-Services	9006	0	GamingServices_9005Warning(UnicodeString Message, HexInt32 ErrorCode)	Warning	GamingServices	GamingServices_9005	Warning		
Microsoft-Gaming-Services	9007	0	GamingServices_9005Info(UnicodeString Message, HexInt32 ErrorCode)	Info	GamingServices	GamingServices_9005	Informational		
Microsoft-Gaming-Services	9008	0	GamingServices_9005Verbose(UnicodeString Message, HexInt32 ErrorCode)	Verbose	GamingServices	GamingServices_9005	Verbose		
Microsoft-Gaming-Services	9009	0	GamingServices_9009Error(UnicodeString Message, HexInt32 ErrorCode)	Error	GamingServices	GamingServices_9009	Error		
Microsoft-Gaming-Services	9010	0	GamingServices_9009Warning(UnicodeString Message, HexInt32 ErrorCode)	Warning	GamingServices	GamingServices_9009	Warning		
Microsoft-Gaming-Services	9011	0	GamingServices_9009Info(UnicodeString Message, HexInt32 ErrorCode)	Info	GamingServices	GamingServices_9009	Informational		
Microsoft-Gaming-Services	9012	0	GamingServices_9009Verbose(UnicodeString Message, HexInt32 ErrorCode)	Verbose	GamingServices	GamingServices_9009	Verbose		
