provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-IE-ReadingView	1	0	Browseui_ReadingMode_CheckEligibility(Boolean IsEligible, Boolean IsHiddenTab, HexInt32 EligibilityMask)		readingmode	Browseui_ReadingMode_CheckEligibility	Always		
Microsoft-IE-ReadingView	2	0	Browseui_ReadingMode_ShowReadingModeStart(Boolean BoolVal)	Start	readingmode	Browseui_ReadingMode_ShowReadingMode	Always		
Microsoft-IE-ReadingView	3	0	Browseui_ReadingMode_ShowReadingModeStop(Boolean BoolVal)	Stop	readingmode	Browseui_ReadingMode_ShowReadingMode	Always		
Microsoft-IE-ReadingView	4	0	Browseui_ReadingMode_ExtractContentStart(UInt32 ExtractedFlags)	Start	readingmode	Browseui_ReadingMode_ExtractContent	Always		
Microsoft-IE-ReadingView	5	0	Browseui_ReadingMode_ExtractContentStop(UInt32 ExtractedFlags)	Stop	readingmode	Browseui_ReadingMode_ExtractContent	Always		
Microsoft-IE-ReadingView	6	0	Browseui_ReadingMode_AppendContentToOutputFile(UnicodeString String)		readingmode	Browseui_ReadingMode_AppendContentToOutputFile	Always		
Microsoft-IE-ReadingView	7	0	ReadingMode_ExtractAllPagesStart(Boolean BoolVal)	Start	readingmode	ReadingMode_ExtractAllPages	Always		
Microsoft-IE-ReadingView	8	0	ReadingMode_ExtractAllPagesStop(Boolean BoolVal)	Stop	readingmode	ReadingMode_ExtractAllPages	Always		
Microsoft-IE-ReadingView	9	0	Browseui_ReadingMode_CheckEligibility_PerformanceStart()	Start	readingmode	Browseui_ReadingMode_CheckEligibility_Performance	Always		
Microsoft-IE-ReadingView	10	0	Browseui_ReadingMode_CheckEligibility_PerformanceStop()	Stop	readingmode	Browseui_ReadingMode_CheckEligibility_Performance	Always		
Microsoft-IE-ReadingView	11	0	Browseui_ReadingMode_StyleUpdate(UInt32 Message)		readingmode	Browseui_ReadingMode_StyleUpdate	Always		
Microsoft-IE-ReadingView	12	0	Browseui_ReadingMode_FontSizeUpdate(UInt32 Message)		readingmode	Browseui_ReadingMode_FontSizeUpdate	Always		
Microsoft-IE-ReadingView	13	0	Mshtml_ReadingMode_ExtractContentStart()	Start	mshtml	Mshtml_ReadingMode_ExtractContent	Always		
Microsoft-IE-ReadingView	14	0	Mshtml_ReadingMode_ExtractContentStop()	Stop	mshtml	Mshtml_ReadingMode_ExtractContent	Always		
Microsoft-IE-ReadingView	15	0	Mshtml_ReadingMode_ExtractTitleStart()	Start	mshtml	Mshtml_ReadingMode_ExtractTitle	Always		
Microsoft-IE-ReadingView	16	0	Mshtml_ReadingMode_ExtractTitleStop()	Stop	mshtml	Mshtml_ReadingMode_ExtractTitle	Always		
Microsoft-IE-ReadingView	17	0	Mshtml_ReadingMode_ExtractArticleBodyStart()	Start	mshtml	Mshtml_ReadingMode_ExtractArticleBody	Always		
Microsoft-IE-ReadingView	18	0	Mshtml_ReadingMode_ExtractArticleBodyStop()	Stop	mshtml	Mshtml_ReadingMode_ExtractArticleBody	Always		
Microsoft-IE-ReadingView	19	0	Mshtml_ReadingMode_ExtractPropertiesStart()	Start	mshtml	Mshtml_ReadingMode_ExtractProperties	Always		
Microsoft-IE-ReadingView	20	0	Mshtml_ReadingMode_ExtractPropertiesStop()	Stop	mshtml	Mshtml_ReadingMode_ExtractProperties	Always		
Microsoft-IE-ReadingView	21	0	Mshtml_ReadingMode_ExtractImagesStart()	Start	mshtml	Mshtml_ReadingMode_ExtractImages	Always		
Microsoft-IE-ReadingView	22	0	Mshtml_ReadingMode_ExtractImagesStop()	Stop	mshtml	Mshtml_ReadingMode_ExtractImages	Always		
Microsoft-IE-ReadingView	23	0	Mshtml_ReadingMode_NotifyControllerOfContentStart()	Start	mshtml	Mshtml_ReadingMode_NotifyControllerOfContent	Always		
Microsoft-IE-ReadingView	24	0	Mshtml_ReadingMode_NotifyControllerOfContentStop()	Stop	mshtml	Mshtml_ReadingMode_NotifyControllerOfContent	Always		
