provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-IEFRAME	1	0	Frame_URLEntered()		primarynav	Frame_URLEntered	Always		
Microsoft-IEFRAME	2	0	Window_Minimized()		primarynav	Window_Minimized	Always		
Microsoft-IEFRAME	3	0	Window_Maximized()		primarynav	Window_Maximized	Always		
Microsoft-IEFRAME	4	0	BrowserThreadProc_StartFrame()		primarynav	BrowserThreadProc_StartFrame	Always		
Microsoft-IEFRAME	5	0	BrowserThreadProc_Return()		primarynav	BrowserThreadProc_Return	Always		
Microsoft-IEFRAME	6	0	BackNaviagation_Requested()		primarynav	BackNaviagation_Requested	Always		
Microsoft-IEFRAME	7	0	BrowserThreadProc_Next()		primarynav	BrowserThreadProc_Next	Always		
Microsoft-IEFRAME	8	0	BrowserThreadProc_Prior()		primarynav	BrowserThreadProc_Prior	Always		
Microsoft-IEFRAME	9	0	LeftButtonAction(UInt32 Message)		primarynav	LeftButtonAction	Always		
Microsoft-IEFRAME	10	0	Shdocvw_BaseBrowser_NavigateStart(UInt32 TabID, UInt32 TabState)	Start	primarynav pageloadbreakdown	Shdocvw_BaseBrowser_Navigate	Always		
Microsoft-IEFRAME	11	0	Shdocvw_BaseBrowser_NavigateStop(UInt32 TabID, UInt32 TabState)	Stop	primarynav pageloadbreakdown	Shdocvw_BaseBrowser_Navigate	Always		
Microsoft-IEFRAME	12	0	Shdocvw_BaseBrowser_DocumentComplete(UInt32 TabID, UInt32 TabState)		primarynav	Shdocvw_BaseBrowser_DocumentComplete	Always		
Microsoft-IEFRAME	13	0	Browseui_FeedViewer_PreviewStreamStart()	Start	primarynav	Browseui_FeedViewer_PreviewStream	Always		
Microsoft-IEFRAME	14	0	Browseui_FeedViewer_PreviewStreamStop()	Stop	primarynav	Browseui_FeedViewer_PreviewStream	Always		
Microsoft-IEFRAME	15	0	Shdocvw_Feed_SearchStart()	Start	primarynav	Shdocvw_Feed_Search	Always		
Microsoft-IEFRAME	16	0	Shdocvw_Feed_SearchStop()	Stop	primarynav	Shdocvw_Feed_Search	Always		
Microsoft-IEFRAME	17	0	Browseui_Tabs_AddTabButton(UInt32 TabID)		primarynav	Browseui_Tabs_AddTabButton	Always		
Microsoft-IEFRAME	18	0	Browseui_Tabs_AddTabAPI(UInt32 TabID)		primarynav	Browseui_Tabs_AddTabAPI	Always		
Microsoft-IEFRAME	19	0	Browseui_Tabs_TabReadyForNavigate(Pointer HWND, UInt32 TabID)		primarynav	Browseui_Tabs_TabReadyForNavigate	Always		
Microsoft-IEFRAME	20	0	Browseui_Tabs_CloseTabStart(UInt32 TabID)	Start	primarynav	Browseui_Tabs_CloseTab	Always		
Microsoft-IEFRAME	21	0	Browseui_Tabs_CloseTabStop(UInt32 TabID)	Stop	primarynav	Browseui_Tabs_CloseTab	Always		
Microsoft-IEFRAME	22	0	Browseui_Tabs_SwitchTabsStart(UInt32 TabID)	Start	primarynav	Browseui_Tabs_SwitchTabs	Always		
Microsoft-IEFRAME	23	0	Browseui_Tabs_SwitchTabsStop(UInt32 TabID)	Stop	primarynav	Browseui_Tabs_SwitchTabs	Always		
Microsoft-IEFRAME	24	0	Browseui_Tabs_CloseOtherTabsStart()	Start	primarynav	Browseui_Tabs_CloseOtherTabs	Always		
Microsoft-IEFRAME	25	0	Browseui_Tabs_CloseOtherTabsStop()	Stop	primarynav	Browseui_Tabs_CloseOtherTabs	Always		
Microsoft-IEFRAME	26	0	Browseui_CBrowserFrame_CloseStart()	Start	primarynav	Browseui_CBrowserFrame_Close	Always		
Microsoft-IEFRAME	27	0	Browseui_CBrowserFrame_CloseStop()	Stop	primarynav	Browseui_CBrowserFrame_Close	Always		
Microsoft-IEFRAME	30	0	Shdocvw_PanningTool_ScrollElementByStart()	Start	primarynav	Shdocvw_PanningTool_ScrollElementBy	Always		
Microsoft-IEFRAME	31	0	Shdocvw_PanningTool_ScrollElementByStop()	Stop	primarynav	Shdocvw_PanningTool_ScrollElementBy	Always		
Microsoft-IEFRAME	32	0	Shdocvw_PanningTool_GetPanningPropertiesStart()	Start	primarynav	Shdocvw_PanningTool_GetPanningProperties	Always		
Microsoft-IEFRAME	33	0	Shdocvw_PanningTool_GetPanningPropertiesStop()	Stop	primarynav	Shdocvw_PanningTool_GetPanningProperties	Always		
Microsoft-IEFRAME	34	0	Imaging_CreateWebPagePreviewStart()	Start	primarynav	Imaging_CreateWebPagePreview	Always		
Microsoft-IEFRAME	35	0	Imaging_CreateWebPagePreviewStop()	Stop	primarynav	Imaging_CreateWebPagePreview	Always		
Microsoft-IEFRAME	36	0	Imaging_SendIconicThumbnailStart()	Start	primarynav	Imaging_SendIconicThumbnail	Always		
Microsoft-IEFRAME	37	0	Imaging_SendIconicThumbnailStop()	Stop	primarynav	Imaging_SendIconicThumbnail	Always		
Microsoft-IEFRAME	38	0	Imaging_SendIconicLivePreviewBitmapStart()	Start	primarynav	Imaging_SendIconicLivePreviewBitmap	Always		
Microsoft-IEFRAME	39	0	Imaging_SendIconicLivePreviewBitmapStop()	Stop	primarynav	Imaging_SendIconicLivePreviewBitmap	Always		
Microsoft-IEFRAME	40	0	HistoryBrokerStartupStart()	Start	primarynav	HistoryBrokerStartup	Always		
Microsoft-IEFRAME	41	0	HistoryBrokerStartupStop()	Stop	primarynav	HistoryBrokerStartup	Always		
Microsoft-IEFRAME	42	0	HistoryBrokerShutdownStart()	Start	primarynav	HistoryBrokerShutdown	Always		
Microsoft-IEFRAME	43	0	HistoryBrokerShutdownStop()	Stop	primarynav	HistoryBrokerShutdown	Always		
Microsoft-IEFRAME	44	0	AddToHistoryStart()	Start	primarynav	AddToHistory	Always		
Microsoft-IEFRAME	45	0	AddToHistoryStop()	Stop	primarynav	AddToHistory	Always		
Microsoft-IEFRAME	46	0	QueryHistoryStart()	Start	primarynav	QueryHistory	Always		
Microsoft-IEFRAME	47	0	QueryHistoryStop()	Stop	primarynav	QueryHistory	Always		
Microsoft-IEFRAME	48	0	EnumHistoryRecordsStart()	Start	primarynav	EnumHistoryRecords	Always		
Microsoft-IEFRAME	49	0	EnumHistoryRecordsStop()	Stop	primarynav	EnumHistoryRecords	Always		
Microsoft-IEFRAME	50	0	LegacyHistoryAddStart()	Start	primarynav	LegacyHistoryAdd	Always		
Microsoft-IEFRAME	51	0	LegacyHistoryAddStop()	Stop	primarynav	LegacyHistoryAdd	Always		
Microsoft-IEFRAME	52	0	LegacyHistoryQueryStart()	Start	primarynav	LegacyHistoryQuery	Always		
Microsoft-IEFRAME	53	0	LegacyHistoryQueryStop()	Stop	primarynav	LegacyHistoryQuery	Always		
Microsoft-IEFRAME	54	0	LegacyHistoryEnumStart()	Start	primarynav	LegacyHistoryEnum	Always		
Microsoft-IEFRAME	55	0	LegacyHistoryEnumStop()	Stop	primarynav	LegacyHistoryEnum	Always		
Microsoft-IEFRAME	56	0	CreateThumbnailStart()	Start	primarynav	CreateThumbnail	Always		
Microsoft-IEFRAME	57	0	CreateThumbnailStop()	Stop	primarynav	CreateThumbnail	Always		
Microsoft-IEFRAME	58	0	ScaleThumbnailStart()	Start	primarynav	ScaleThumbnail	Always		
Microsoft-IEFRAME	59	0	ScaleThumbnailStop()	Stop	primarynav	ScaleThumbnail	Always		
Microsoft-IEFRAME	60	0	CompressThumbnailStart()	Start	primarynav	CompressThumbnail	Always		
Microsoft-IEFRAME	61	0	CompressThumbnailStop()	Stop	primarynav	CompressThumbnail	Always		
Microsoft-IEFRAME	62	0	GenerateThumbnailStart()	Start	primarynav	GenerateThumbnail	Always		
Microsoft-IEFRAME	63	0	GenerateThumbnailStop()	Stop	primarynav	GenerateThumbnail	Always		
Microsoft-IEFRAME	64	0	CtrlLeftButtonAction(UInt32 Message)		primarynav	CtrlLeftButtonAction	Always		
Microsoft-IEFRAME	65	0	ExtensionCreateStart(GUID CLSID)	Start	primarynav	ExtensionCreate	Always		
Microsoft-IEFRAME	66	0	ExtensionCreateStop(GUID CLSID)	Stop	primarynav	ExtensionCreate	Always		
Microsoft-IEFRAME	67	0	ExtensionSetSiteStart(GUID CLSID)	Start	primarynav	ExtensionSetSite	Always		
Microsoft-IEFRAME	68	0	ExtensionSetSiteStop(GUID CLSID)	Stop	primarynav	ExtensionSetSite	Always		
Microsoft-IEFRAME	69	0	ExtensionShowDWStart(GUID CLSID, Boolean Show)	Start	primarynav	ExtensionShowDW	Always		
Microsoft-IEFRAME	70	0	ExtensionShowDWStop(GUID CLSID, Boolean Show)	Stop	primarynav	ExtensionShowDW	Always		
Microsoft-IEFRAME	71	0	ExtensionCloseDWStart(GUID CLSID)	Start	primarynav	ExtensionCloseDW	Always		
Microsoft-IEFRAME	72	0	ExtensionCloseDWStop(GUID CLSID)	Stop	primarynav	ExtensionCloseDW	Always		
Microsoft-IEFRAME	73	0	ExtensionSetSiteNullStart(GUID CLSID)	Start	primarynav	ExtensionSetSiteNull	Always		
Microsoft-IEFRAME	74	0	ExtensionSetSiteNullStop(GUID CLSID)	Stop	primarynav	ExtensionSetSiteNull	Always		
Microsoft-IEFRAME	75	0	ExtensionReleaseStart(GUID CLSID)	Start	primarynav	ExtensionRelease	Always		
Microsoft-IEFRAME	76	0	ExtensionReleaseStop(GUID CLSID)	Stop	primarynav	ExtensionRelease	Always		
Microsoft-IEFRAME	77	0	WinMain()		primarynav	WinMain	Always		
Microsoft-IEFRAME	78	0	LCIE_ForeignProcessMessageQueueDequeueAll(GUID ProcessId, UInt32 MessageCount)		primarynav	LCIE_ForeignProcessMessageQueueDequeueAll	Always		
Microsoft-IEFRAME	79	0	LCIE_ForeignProcessMessageQueueEnqueue(GUID ProcessId, UInt32 MessageCount)		primarynav	LCIE_ForeignProcessMessageQueueEnqueue	Always		
Microsoft-IEFRAME	80	0	OnlineHistoryAddStart()	Start	primarynav	OnlineHistoryAdd	Always		
Microsoft-IEFRAME	81	0	OnlineHistoryAddStop()	Stop	primarynav	OnlineHistoryAdd	Always		
Microsoft-IEFRAME	82	0	OnlineHistoryCollectDataStart()	Start	primarynav	OnlineHistoryCollectData	Always		
Microsoft-IEFRAME	83	0	OnlineHistoryCollectDataStop()	Stop	primarynav	OnlineHistoryCollectData	Always		
Microsoft-IEFRAME	84	0	OnlineHistoryDeleteStart()	Start	primarynav	OnlineHistoryDelete	Always		
Microsoft-IEFRAME	85	0	OnlineHistoryDeleteStop()	Stop	primarynav	OnlineHistoryDelete	Always		
Microsoft-IEFRAME	86	0	OnlineHistoryClearStart()	Start	primarynav	OnlineHistoryClear	Always		
Microsoft-IEFRAME	87	0	OnlineHistoryClearStop()	Stop	primarynav	OnlineHistoryClear	Always		
Microsoft-IEFRAME	88	0	Browseui_CBrowserFrame_CreateInstanceStart()	Start	primarynav	Browseui_CBrowserFrame_CreateInstance	Always		
Microsoft-IEFRAME	89	0	Browseui_CBrowserFrame_CreateInstanceStop()	Stop	primarynav	Browseui_CBrowserFrame_CreateInstance	Always		
Microsoft-IEFRAME	90	0	Frame_OnCreateStart()	Start	primarynav	Frame_OnCreate	Always		
Microsoft-IEFRAME	91	0	Frame_OnCreateStop()	Stop	primarynav	Frame_OnCreate	Always		
Microsoft-IEFRAME	92	0	Frame_CommandBarCreateStart()	Start	primarynav	Frame_CommandBarCreate	Always		
Microsoft-IEFRAME	93	0	Frame_CommandBarCreateStop()	Stop	primarynav	Frame_CommandBarCreate	Always		
Microsoft-IEFRAME	94	0	Frame_CommandBandCreateStart()	Start	primarynav	Frame_CommandBandCreate	Always		
Microsoft-IEFRAME	95	0	Frame_CommandBandCreateStop()	Stop	primarynav	Frame_CommandBandCreate	Always		
Microsoft-IEFRAME	100	0	Frame_LinksBandCreateStart()	Start	primarynav	Frame_LinksBandCreate	Always		
Microsoft-IEFRAME	101	0	Frame_LinksBandCreateStop()	Stop	primarynav	Frame_LinksBandCreate	Always		
Microsoft-IEFRAME	102	0	Frame_NavBarCreateStart()	Start	primarynav	Frame_NavBarCreate	Always		
Microsoft-IEFRAME	103	0	Frame_NavBarCreateStop()	Stop	primarynav	Frame_NavBarCreate	Always		
Microsoft-IEFRAME	104	0	Frame_TravelBandCreateStart()	Start	primarynav	Frame_TravelBandCreate	Always		
Microsoft-IEFRAME	105	0	Frame_TravelBandCreateStop()	Stop	primarynav	Frame_TravelBandCreate	Always		
Microsoft-IEFRAME	106	0	Frame_AddressBandCreateStart()	Start	primarynav	Frame_AddressBandCreate	Always		
Microsoft-IEFRAME	107	0	Frame_AddressBandCreateStop()	Stop	primarynav	Frame_AddressBandCreate	Always		
Microsoft-IEFRAME	108	0	Frame_SearchBandCreateStart()	Start	primarynav	Frame_SearchBandCreate	Always		
Microsoft-IEFRAME	109	0	Frame_SearchBandCreateStop()	Stop	primarynav	Frame_SearchBandCreate	Always		
Microsoft-IEFRAME	110	0	Frame_LoadFrameStateStart()	Start	primarynav	Frame_LoadFrameState	Always		
Microsoft-IEFRAME	111	0	Frame_LoadFrameStateStop()	Stop	primarynav	Frame_LoadFrameState	Always		
Microsoft-IEFRAME	112	0	Frame_Show()		primarynav	Frame_Show	Always		
Microsoft-IEFRAME	113	0	Browseui_Tabs_WaitMessageStart()	Start	primarynav	Browseui_Tabs_WaitMessage	Always		
Microsoft-IEFRAME	114	0	Browseui_Tabs_WaitMessageStop()	Stop	primarynav	Browseui_Tabs_WaitMessage	Always		
Microsoft-IEFRAME	115	0	DataModel_QueryStart(GUID CLSID, UInt32 QueryID)	Start	primarynav	DataModel_Query	Always		
Microsoft-IEFRAME	116	0	DataModel_QueryStop(GUID CLSID, UInt32 QueryID)	Stop	primarynav	DataModel_Query	Always		
Microsoft-IEFRAME	117	0	DataModel_Provider_QueryStart(GUID CLSID, UInt32 QueryID)	Start	primarynav	DataModel_Provider_Query	Always		
Microsoft-IEFRAME	118	0	DataModel_Provider_QueryStop(GUID CLSID, UInt32 QueryID)	Stop	primarynav	DataModel_Provider_Query	Always		
Microsoft-IEFRAME	119	0	DataModel_Provider_WorkerThreadStart(GUID CLSID, UInt32 QueryID)	Start	primarynav	DataModel_Provider_WorkerThread	Always		
Microsoft-IEFRAME	120	0	DataModel_Provider_WorkerThreadStop(GUID CLSID, UInt32 QueryID)	Stop	primarynav	DataModel_Provider_WorkerThread	Always		
Microsoft-IEFRAME	121	0	DataModel_Provider_CreateDataListStart(GUID CLSID, UInt32 QueryID)	Start	primarynav	DataModel_Provider_CreateDataList	Always		
Microsoft-IEFRAME	122	0	DataModel_Provider_CreateDataListStop(GUID CLSID, UInt32 QueryID)	Stop	primarynav	DataModel_Provider_CreateDataList	Always		
Microsoft-IEFRAME	127	0	UnifiedListView_PopulateStart(UInt32 Status, UInt32 Count)	Start	unifiedlistview	UnifiedListView_Populate	Always		
Microsoft-IEFRAME	128	0	UnifiedListView_PopulateStop(UInt32 Status, UInt32 Count)	Stop	unifiedlistview	UnifiedListView_Populate	Always		
Microsoft-IEFRAME	130	0	UnifiedListView_GroupPopulated(GUID CLSID, UInt32 QueryID)		unifiedlistview	UnifiedListView_GroupPopulated	Always		
Microsoft-IEFRAME	131	0	UnifiedListView_DefaultAction()		unifiedlistview	UnifiedListView_DefaultAction	Always		
Microsoft-IEFRAME	132	0	UnifiedListView_SwitchMode()		unifiedlistview	UnifiedListView_SwitchMode	Always		
Microsoft-IEFRAME	133	0	WS_ExecuteQueryStart(UInt32 QueryID)	Start	primarynav	WS_ExecuteQuery	Always		
Microsoft-IEFRAME	134	0	WS_ExecuteQueryStop(UInt32 QueryID)	Stop	primarynav	WS_ExecuteQuery	Always		
Microsoft-IEFRAME	135	0	Tab_ShellBrowserOnCreateStart()	Start	primarynav	Tab_ShellBrowserOnCreate	Always		
Microsoft-IEFRAME	136	0	Tab_ShellBrowserOnCreateStop()	Stop	primarynav	Tab_ShellBrowserOnCreate	Always		
Microsoft-IEFRAME	137	0	Tab_InitializeBrowserStateStart()	Start	primarynav	Tab_InitializeBrowserState	Always		
Microsoft-IEFRAME	138	0	Tab_InitializeBrowserStateStop()	Stop	primarynav	Tab_InitializeBrowserState	Always		
Microsoft-IEFRAME	139	0	Tab_NavigateToPidl()		primarynav	Tab_NavigateToPidl	Always		
Microsoft-IEFRAME	140	0	Menuband_PopulateShellFolderToolbarStart()	Start	primarynav	Menuband_PopulateShellFolderToolbar	Always		
Microsoft-IEFRAME	141	0	Menuband_PopulateShellFolderToolbarStop()	Stop	primarynav	Menuband_PopulateShellFolderToolbar	Always		
Microsoft-IEFRAME	142	0	CreateHTMLPreviewStart()	Start	primarynav	CreateHTMLPreview	Always		
Microsoft-IEFRAME	143	0	CreateHTMLPreviewStop()	Stop	primarynav	CreateHTMLPreview	Always		
Microsoft-IEFRAME	144	0	CreateHTMLPreview_ShowWindow()		primarynav	CreateHTMLPreview_ShowWindow	Always		
Microsoft-IEFRAME	145	0	FavoritesBar_PopulateFeedsMenuStart()	Start	primarynav	FavoritesBar_PopulateFeedsMenu	Always		
Microsoft-IEFRAME	146	0	FavoritesBar_PopulateFeedsMenuStop()	Stop	primarynav	FavoritesBar_PopulateFeedsMenu	Always		
Microsoft-IEFRAME	147	0	FavoritesBar_PopulateLinksMonitorStart(UInt32 PopulateOptions)	Start	primarynav	FavoritesBar_PopulateLinksMonitor	Always		
Microsoft-IEFRAME	148	0	FavoritesBar_PopulateLinksMonitorStop(UInt32 PopulateOptions)	Stop	primarynav	FavoritesBar_PopulateLinksMonitor	Always		
Microsoft-IEFRAME	149	0	FavoritesBar_WriteLinksCacheStart(UInt32 LinkCount)	Start	primarynav	FavoritesBar_WriteLinksCache	Always		
Microsoft-IEFRAME	150	0	FavoritesBar_WriteLinksCacheStop(UInt32 LinkCount)	Stop	primarynav	FavoritesBar_WriteLinksCache	Always		
Microsoft-IEFRAME	151	0	Find_ActivateBarStart()	Start	primarynav	Find_ActivateBar	Always		
Microsoft-IEFRAME	152	0	Find_ActivateBarStop()	Stop	primarynav	Find_ActivateBar	Always		
Microsoft-IEFRAME	153	0	Find_FindHitsStart()	Start	primarynav	Find_FindHits	Always		
Microsoft-IEFRAME	154	0	Find_FindHitsStop()	Stop	primarynav	Find_FindHits	Always		
Microsoft-IEFRAME	155	0	Find_HighlightHitsStart()	Start	primarynav	Find_HighlightHits	Always		
Microsoft-IEFRAME	156	0	Find_HighlightHitsStop()	Stop	primarynav	Find_HighlightHits	Always		
Microsoft-IEFRAME	157	0	Find_HighlightHitsStatus(UInt32 Status, UInt32 Count)		primarynav	Find_HighlightHitsStatus	Always		
Microsoft-IEFRAME	158	0	Find_ChangeSelectedHitStart()	Start	primarynav	Find_ChangeSelectedHit	Always		
Microsoft-IEFRAME	159	0	Find_ChangeSelectedHitStop()	Stop	primarynav	Find_ChangeSelectedHit	Always		
Microsoft-IEFRAME	160	0	Find_DeactivateBarStart()	Start	primarynav	Find_DeactivateBar	Always		
Microsoft-IEFRAME	161	0	Find_DeactivateBarStop()	Stop	primarynav	Find_DeactivateBar	Always		
Microsoft-IEFRAME	162	0	Search_SuggestionsDownload()		primarynav	Search_SuggestionsDownload	Always		
Microsoft-IEFRAME	163	0	Search_SuggestionsProcessingStart()	Start	primarynav	Search_SuggestionsProcessing	Always		
Microsoft-IEFRAME	164	0	Search_SuggestionsProcessingStop()	Stop	primarynav	Search_SuggestionsProcessing	Always		
Microsoft-IEFRAME	165	0	Search_ImageProcessingStart()	Start	primarynav	Search_ImageProcessing	Always		
Microsoft-IEFRAME	166	0	Search_ImageProcessingStop()	Stop	primarynav	Search_ImageProcessing	Always		
Microsoft-IEFRAME	167	0	Browseui_Tabs_DropOnFavorites()		primarynav	Browseui_Tabs_DropOnFavorites	Always		
Microsoft-IEFRAME	168	0	Browseui_Favs_ItemsChanged()		primarynav	Browseui_Favs_ItemsChanged	Always		
Microsoft-IEFRAME	169	0	Addressbar_InlineAutocompleteStart()	Start	primarynav	Addressbar_InlineAutocomplete	Always		
Microsoft-IEFRAME	170	0	Addressbar_InlineAutocompleteStop()	Stop	primarynav	Addressbar_InlineAutocomplete	Always		
Microsoft-IEFRAME	171	0	NewTabPage_ShowStart()	Start	primarynav	NewTabPage_Show	Always		
Microsoft-IEFRAME	172	0	NewTabPage_ShowStop()	Stop	primarynav	NewTabPage_Show	Always		
Microsoft-IEFRAME	173	0	IE_API_TimerStart(AnsiString ContextName, UInt32 ID)	Start	primarynav	IE_API_Timer	Always		
Microsoft-IEFRAME	174	0	IE_API_TimerStop(AnsiString ContextName, UInt32 ID)	Stop	primarynav	IE_API_Timer	Always		
Microsoft-IEFRAME	175	0	Window_Resized()		primarynav	Window_Resized	Always		
Microsoft-IEFRAME	176	0	Window_Restored()		primarynav	Window_Restored	Always		
Microsoft-IEFRAME	177	0	DLM_DownloadWindow_ShowStart()	Start	primarynav	DLM_DownloadWindow_Show	Always		
Microsoft-IEFRAME	178	0	DLM_DownloadWindow_ShowStop()	Stop	primarynav	DLM_DownloadWindow_Show	Always		
Microsoft-IEFRAME	179	0	DLM_DownloadWindow_HideStart()	Start	primarynav	DLM_DownloadWindow_Hide	Always		
Microsoft-IEFRAME	180	0	DLM_DownloadWindow_HideStop()	Stop	primarynav	DLM_DownloadWindow_Hide	Always		
Microsoft-IEFRAME	181	0	FirstRunDialog_Show()		primarynav	FirstRunDialog_Show	Always		
Microsoft-IEFRAME	182	0	Browseui_CBrowserFrame_OnClose()		primarynav	Browseui_CBrowserFrame_OnClose	Always		
Microsoft-IEFRAME	183	0	Shdocvw_BaseBrowser_FireEvent_BeforeNavigateStart(UInt32 TabID, UInt32 TabState)	Start	primarynav	Shdocvw_BaseBrowser_FireEvent_BeforeNavigate	Always		
Microsoft-IEFRAME	184	0	Shdocvw_BaseBrowser_FireEvent_BeforeNavigateStop(UInt32 TabID, UInt32 TabState)	Stop	primarynav	Shdocvw_BaseBrowser_FireEvent_BeforeNavigate	Always		
Microsoft-IEFRAME	185	0	Shdocvw_BaseBrowser_FireEvent_DocumentCompleteStart(UInt32 TabID, UInt32 TabState)	Start	primarynav	Shdocvw_BaseBrowser_FireEvent_DocumentComplete	Always		
