provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-JScript	1	0	MethodRundownDCStartInit()	DCStartInit	JScriptStartRundown	MethodRundown	Informational		
Microsoft-JScript	2	0	MethodRundownDCStartComplete()	DCStartComplete	JScriptStartRundown	MethodRundown	Informational		
Microsoft-JScript	3	0	MethodRundownDCEndInit()	DCEndInit	JScriptEndRundown	MethodRundown	Informational		
Microsoft-JScript	4	0	MethodRundownDCEndComplete()	DCEndComplete	JScriptEndRundown	MethodRundown	Informational		
Microsoft-JScript	5	0	MethodRundownMethodDCStart(Pointer ScriptContextID, Pointer MethodStartAddress, UInt64 MethodSize, UInt32 MethodID, UInt16 MethodFlags, UInt16 MethodAddressRangeID, UInt64 SourceID, UInt32 Line, UInt32 Column, UnicodeString MethodName)	MethodDCStart	JScriptStartRundown	MethodRundown	Informational		
Microsoft-JScript	6	0	MethodRundownMethodDCEnd(Pointer ScriptContextID, Pointer MethodStartAddress, UInt64 MethodSize, UInt32 MethodID, UInt16 MethodFlags, UInt16 MethodAddressRangeID, UInt64 SourceID, UInt32 Line, UInt32 Column, UnicodeString MethodName)	MethodDCEnd	JScriptEndRundown	MethodRundown	Informational		
Microsoft-JScript	7	0	ScriptContextRundownScriptContextDCStart(Pointer ScriptContextID)	ScriptContextDCStart	JScriptStartRundown	ScriptContextRundown	Informational		
Microsoft-JScript	8	0	ScriptContextRundownScriptContextDCEnd(Pointer ScriptContextID)	ScriptContextDCEnd	JScriptEndRundown	ScriptContextRundown	Informational		
Microsoft-JScript	9	0	MethodRuntimeMethodLoad(Pointer ScriptContextID, Pointer MethodStartAddress, UInt64 MethodSize, UInt32 MethodID, UInt16 MethodFlags, UInt16 MethodAddressRangeID, UInt64 SourceID, UInt32 Line, UInt32 Column, UnicodeString MethodName)	MethodLoad	JScriptRuntime	MethodRuntime	Informational		
Microsoft-JScript	10	0	MethodRuntimeMethodUnload(Pointer ScriptContextID, Pointer MethodStartAddress, UInt64 MethodSize, UInt32 MethodID, UInt16 MethodFlags, UInt16 MethodAddressRangeID, UInt64 SourceID, UInt32 Line, UInt32 Column, UnicodeString MethodName)	MethodUnload	JScriptRuntime	MethodRuntime	Informational		
Microsoft-JScript	11	0	ScriptContextRuntimeScriptContextLoad(Pointer ScriptContextID)	ScriptContextLoad	JScriptRuntime	ScriptContextRuntime	Informational		
Microsoft-JScript	12	0	ScriptContextRuntimeScriptContextUnload(Pointer ScriptContextID)	ScriptContextUnload	JScriptRuntime	ScriptContextRuntime	Informational		
Microsoft-JScript	13	0	Jscript_Projection_ResolveTypeStart(UnicodeString TypeName)	Start	JScriptProjection	Jscript_Projection_ResolveType	Always		
Microsoft-JScript	14	0	Jscript_Projection_ResolveTypeStop(UnicodeString TypeName)	Stop	JScriptProjection	Jscript_Projection_ResolveType	Always		
