provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-PerfTrack-IEFRAME	101	0	TabSwitch_NotAccountingForInputDelayStart(UInt64 HWND)	Start		TabSwitch_NotAccountingForInputDelay	Informational		
Microsoft-PerfTrack-IEFRAME	102	0	TabSwitch_NotAccountingForInputDelayStop(UInt64 HWND, UInt32 NewTID)	Stop		TabSwitch_NotAccountingForInputDelay	Informational		
Microsoft-PerfTrack-IEFRAME	103	0	TabCreateStart(UInt64 Object)	Start		TabCreate	Informational		
Microsoft-PerfTrack-IEFRAME	104	0	TabCreateStop(UInt64 Object, UInt32 NewTID)	Stop		TabCreate	Informational		
Microsoft-PerfTrack-IEFRAME	105	0	FavoritesSwitchViewStart(UInt64 Object)	Start		FavoritesSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	106	0	FavoritesSwitchViewStop(UInt64 Object)	Stop		FavoritesSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	107	0	FeedsSwitchViewStart(UInt64 Object)	Start		FeedsSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	108	0	FeedsSwitchViewStop(UInt64 Object)	Stop		FeedsSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	109	0	HistorySwitchViewStart(UInt64 Object)	Start		HistorySwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	110	0	HistorySwitchViewStop(UInt64 Object)	Stop		HistorySwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	111	0	TabCreateStop111(UInt64 Object)	Stop		TabCreate	Informational		
Microsoft-PerfTrack-IEFRAME	116	0	TabSwitch(UInt32 TimespanInMs, UInt32 dwTabScenarioFlags)			TabSwitch	Informational		
Microsoft-PerfTrack-IEFRAME	119	0	CreateAndSelectTab(UInt32 TimespanInMs, UInt32 dwTabScenarioFlags)			CreateAndSelectTab	Informational		
Microsoft-PerfTrack-IEFRAME	120	0	LaunchFrame(UInt32 TimespanInMs, UInt32 dwTabScenarioFlags, UInt32 totalTabCount, UInt32 halfTabCount)			LaunchFrame	Informational		
Microsoft-PerfTrack-IEFRAME	122	0	CloseFrame(UInt32 TimespanInMs, UInt32 dwTabScenarioFlags)			CloseFrame	Informational		
Microsoft-PerfTrack-IEFRAME	124	0	CloseTab(UInt32 TimespanInMs, UInt32 dwTabScenarioFlags)			CloseTab	Informational		
Microsoft-PerfTrack-IEFRAME	201	0	HistoryByDateSwitchViewStart(UInt64 Object)	Start		HistoryByDateSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	202	0	HistoryByDateSwitchViewStop(UInt64 Object)	Stop		HistoryByDateSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	203	0	HistoryBySiteSwitchViewStart(UInt64 Object)	Start		HistoryBySiteSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	204	0	HistoryBySiteSwitchViewStop(UInt64 Object)	Stop		HistoryBySiteSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	205	0	HistoryByMostVisSwitchViewStart(UInt64 Object)	Start		HistoryByMostVisSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	206	0	HistoryByMostVisSwitchViewStop(UInt64 Object)	Stop		HistoryByMostVisSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	207	0	HistoryByOrderSwitchViewStart(UInt64 Object)	Start		HistoryByOrderSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	208	0	HistoryByOrderSwitchViewStop(UInt64 Object)	Stop		HistoryByOrderSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	209	0	HistorySearchSwitchViewStart(UInt64 Object)	Start		HistorySearchSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	210	0	HistorySearchSwitchViewStop(UInt64 Object)	Stop		HistorySearchSwitchView	Informational		
Microsoft-PerfTrack-IEFRAME	211	0	FavCenterOpenStart(UInt64 Object)	Start		FavCenterOpen	Informational		
Microsoft-PerfTrack-IEFRAME	212	0	FavCenterOpenStop(UInt64 Object)	Stop		FavCenterOpen	Informational		
Microsoft-PerfTrack-IEFRAME	213	0	FavCenterCloseStart(UInt64 Object)	Start		FavCenterClose	Informational		
Microsoft-PerfTrack-IEFRAME	214	0	FavCenterCloseStop(UInt64 Object)	Stop		FavCenterClose	Informational		
Microsoft-PerfTrack-IEFRAME	301	0	MenuExpandStart(UInt64 Object)	Start		MenuExpand	Informational		
Microsoft-PerfTrack-IEFRAME	302	0	MenuExpandStop(UInt64 Object)	Stop		MenuExpand	Informational		
Microsoft-PerfTrack-IEFRAME	303	0	MenuShrinkStart(UInt64 Object)	Start		MenuShrink	Informational		
Microsoft-PerfTrack-IEFRAME	304	0	MenuShrinkStop(UInt64 Object)	Stop		MenuShrink	Informational		
Microsoft-PerfTrack-IEFRAME	305	0	MenuItemPopStart(UInt64 Object, UInt32 ID)	Start		MenuItemPop	Informational		
Microsoft-PerfTrack-IEFRAME	306	0	MenuItemPopStop(UInt64 Object, UInt32 ID)	Stop		MenuItemPop	Informational		
Microsoft-PerfTrack-IEFRAME	601	0	Browseui_Tabs_CloseTab_PerftrackStart(UInt64 Object, UInt32 TID)	Start		Browseui_Tabs_CloseTab_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	602	0	Browseui_Tabs_CloseTab_PerftrackStop(UInt64 Object, UInt32 TID)	Stop		Browseui_Tabs_CloseTab_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	603	0	Browseui_CBrowserFrame_CreateInstance_PerftrackStart(UInt64 Object)	Start		Browseui_CBrowserFrame_CreateInstance_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	604	0	Browseui_CBrowserFrame_CreateInstance_PerftrackStop(UInt64 Object)	Stop		Browseui_CBrowserFrame_CreateInstance_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	607	0	CreateHTMLPreview_PerftrackStart(UInt64 Object)	Start		CreateHTMLPreview_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	608	0	CreateHTMLPreview_PerftrackStop(UInt64 Object)	Stop		CreateHTMLPreview_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	609	0	FavoritesBar_PopulateFeedsMenu_PerftrackStart(UInt64 Object)	Start		FavoritesBar_PopulateFeedsMenu_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	610	0	FavoritesBar_PopulateFeedsMenu_PerftrackStop(UInt64 Object)	Stop		FavoritesBar_PopulateFeedsMenu_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	611	0	CreateThumbnail_PerftrackStart(UInt64 Object)	Start	defunct	CreateThumbnail_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	612	0	CreateThumbnail_PerftrackStop(UInt64 Object)	Stop	defunct	CreateThumbnail_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	613	0	Imaging_CreateWebPagePreview_PerftrackStart(UInt64 Object)	Start		Imaging_CreateWebPagePreview_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	614	0	Imaging_CreateWebPagePreview_PerftrackStop(UInt64 Object)	Stop		Imaging_CreateWebPagePreview_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	615	0	Find_FindHits_PerftrackStart(UInt64 Object)	Start		Find_FindHits_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	616	0	Find_FindHits_PerftrackStop(UInt64 Object)	Stop		Find_FindHits_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	617	0	Find_HighlightHits_PerftrackStart(UInt64 Object)	Start		Find_HighlightHits_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	618	0	Find_HighlightHits_PerftrackStop(UInt64 Object)	Stop		Find_HighlightHits_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	619	0	Search_SuggestionsProcessing_PerftrackStart(UInt64 Object)	Start		Search_SuggestionsProcessing_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	620	0	Search_SuggestionsProcessing_PerftrackStop(UInt64 Object)	Stop		Search_SuggestionsProcessing_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	621	0	Search_ImageProcessing_PerftrackStart(UInt64 Object)	Start		Search_ImageProcessing_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	622	0	Search_ImageProcessing_PerftrackStop(UInt64 Object)	Stop		Search_ImageProcessing_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	623	0	UnifiedListView_Typed_Perftrack(UInt64 Object)			UnifiedListView_Typed_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	625	0	UnifiedListView_Dropdown_Perftrack(UInt64 Object)			UnifiedListView_Dropdown_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	627	0	UnifiedListView_Displayed_Perftrack(UInt64 Object)		defunct	UnifiedListView_Displayed_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	629	0	UnifiedListView_Cancelled_Perftrack(UInt64 Object)			UnifiedListView_Cancelled_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	631	0	UnifiedListView_Displayed_Complete_Perftrack(UInt64 Object)			UnifiedListView_Displayed_Complete_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	633	0	UnifiedListView_Query_History_PerftrackStart(UInt64 Object)	Start	defunct	UnifiedListView_Query_History_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	634	0	UnifiedListView_Query_History_PerftrackStop(UInt64 Object)	Stop	defunct	UnifiedListView_Query_History_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	635	0	UnifiedListView_Query_Favorites_PerftrackStart(UInt64 Object)	Start	defunct	UnifiedListView_Query_Favorites_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	636	0	UnifiedListView_Query_Favorites_PerftrackStop(UInt64 Object)	Stop	defunct	UnifiedListView_Query_Favorites_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	637	0	UnifiedListView_Query_Feeds_PerftrackStart(UInt64 Object)	Start	defunct	UnifiedListView_Query_Feeds_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	638	0	UnifiedListView_Query_Feeds_PerftrackStop(UInt64 Object)	Stop	defunct	UnifiedListView_Query_Feeds_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	639	0	Print_Dialog_PerftrackStart(UInt64 Object)	Start		Print_Dialog_Perftrack	Informational		
Microsoft-PerfTrack-IEFRAME	640	0	Print_Dialog_PerftrackStop(UInt64 Object)	Stop		Print_Dialog_Perftrack	Informational		
