provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Quic	1	0	task_0Global(UInt32 PartitionCount, UInt32 DatapathFeatures)	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	2	0	task_0Global2()	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	3	0	task_0Global3()	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	4	0	task_0Global4()	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	5	0	task_0Global5()	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	6	0	task_0Global6(AnsiString Desc, UInt64 ByteCount)	Global	ut:LowVolume	task_0	Warning		
Microsoft-Quic	7	0	task_0Global7(UInt32 PartitionCount, UInt32 DatapathFeatures)	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	8	0	task_0Global8(AnsiString ErrStr)	Global	ut:LowVolume	task_0	Error		
Microsoft-Quic	9	0	task_0Global9(UInt32 Status, AnsiString ErrStr)	Global	ut:LowVolume	task_0	Error		
Microsoft-Quic	10	0	task_0Global10(UInt32 Line, AnsiString File, AnsiString Expression)	Global	ut:LowVolume	task_0	Error		
Microsoft-Quic	11	0	task_0Global11(UInt32 Type, Pointer Handle)	Global	ut:Api	task_0	Verbose		
Microsoft-Quic	12	0	task_0Global12()	Global	ut:Api	task_0	Verbose		
Microsoft-Quic	13	0	task_0Global13(UInt32 Status)	Global	ut:Api	task_0	Verbose		
Microsoft-Quic	14	0	task_0Global14()	Global	ut:Api	task_0	Verbose		
Microsoft-Quic	15	0	task_0Global15(UInt16 PerfCountersLength, Binary PerfCounters)	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	16	0	task_0Global16(UInt8 Value)	Global	ut:LowVolume	task_0	Informational		
Microsoft-Quic	1024	0	task_0Registration(Pointer Registration, AnsiString AppName)	Registration	ut:Registration ut:LowVolume	task_0	Informational		
Microsoft-Quic	1025	0	task_0Registration1025(Pointer Registration)	Registration	ut:Registration ut:LowVolume	task_0	Informational		
Microsoft-Quic	1026	0	task_0Registration1026(Pointer Registration)	Registration	ut:Registration ut:LowVolume	task_0	Informational		
Microsoft-Quic	1027	0	task_0Registration1027(Pointer Registration, AnsiString AppName)	Registration	ut:Registration ut:LowVolume	task_0	Informational		
Microsoft-Quic	1028	0	task_0Registration1028(Pointer Registration, AnsiString ErrStr)	Registration	ut:Registration ut:LowVolume	task_0	Error		
Microsoft-Quic	1029	0	task_0Registration1029(Pointer Registration, UInt32 Status, AnsiString ErrStr)	Registration	ut:Registration ut:LowVolume	task_0	Error		
Microsoft-Quic	1030	0	task_0Registration1030(Pointer Registration, UInt32 Flags, UInt64 ErrorCode)	Registration	ut:Registration ut:LowVolume	task_0	Informational		
Microsoft-Quic	2048	0	task_0Worker(Pointer Worker, UInt16 IdealProcessor, Pointer Owner)	Worker	ut:Worker ut:LowVolume	task_0	Informational		
Microsoft-Quic	2049	0	task_0Worker2049(Pointer Worker)	Worker	ut:Worker ut:LowVolume	task_0	Informational		
Microsoft-Quic	2050	0	task_0Worker2050(Pointer Worker)	Worker	ut:Worker ut:LowVolume	task_0	Informational		
Microsoft-Quic	2051	0	task_0Worker2051(Pointer Worker, UInt8 IsActive, UInt32 Arg)	Worker	ut:Worker ut:Scheduling ut:LowVolume	task_0	Verbose		
Microsoft-Quic	2052	0	task_0Worker2052(Pointer Worker, UInt32 QueueDelay)	Worker	ut:Worker ut:Scheduling ut:LowVolume	task_0	Verbose		
Microsoft-Quic	2053	0	task_0Worker2053(Pointer Worker)	Worker	ut:Worker ut:LowVolume	task_0	Informational		
Microsoft-Quic	2054	0	task_0Worker2054(Pointer Worker)	Worker	ut:Worker ut:LowVolume	task_0	Informational		
Microsoft-Quic	2055	0	task_0Worker2055(Pointer Worker, AnsiString ErrStr)	Worker	ut:Worker ut:LowVolume	task_0	Error		
Microsoft-Quic	2056	0	task_0Worker2056(Pointer Worker, UInt32 Status, AnsiString ErrStr)	Worker	ut:Worker ut:LowVolume	task_0	Error		
Microsoft-Quic	3072	0	task_0Configuration(Pointer Configuration, Pointer Registration)	Configuration	ut:Configuration ut:LowVolume	task_0	Informational		
Microsoft-Quic	3073	0	task_0Configuration3073(Pointer Configuration)	Configuration	ut:Configuration ut:LowVolume	task_0	Informational		
Microsoft-Quic	3074	0	task_0Configuration3074(Pointer Configuration)	Configuration	ut:Configuration ut:LowVolume	task_0	Informational		
Microsoft-Quic	3076	0	task_0Configuration3076(Pointer Configuration, Pointer Registration)	Configuration	ut:Configuration ut:LowVolume	task_0	Informational		
Microsoft-Quic	3077	0	task_0Configuration3077(Pointer Configuration, AnsiString ErrStr)	Configuration	ut:Configuration ut:LowVolume	task_0	Error		
Microsoft-Quic	3078	0	task_0Configuration3078(Pointer Configuration, UInt32 Status, AnsiString ErrStr)	Configuration	ut:Configuration ut:LowVolume	task_0	Error		
Microsoft-Quic	4096	0	task_0Listener(Pointer Listener, Pointer Registration)	Listener	ut:Listener ut:LowVolume	task_0	Informational		
Microsoft-Quic	4097	0	task_0Listener4097(Pointer Listener)	Listener	ut:Listener ut:LowVolume	task_0	Informational		
Microsoft-Quic	4098	0	task_0Listener4098(Pointer Listener, Pointer Binding, UInt8 AddrLength, Binary Addr)	Listener	ut:Listener ut:LowVolume	task_0	Informational		
Microsoft-Quic	4099	0	task_0Listener4099(Pointer Listener)	Listener	ut:Listener ut:LowVolume	task_0	Informational		
Microsoft-Quic	4100	0	task_0Listener4100(Pointer Listener, Pointer Registration)	Listener	ut:Listener ut:LowVolume	task_0	Informational		
Microsoft-Quic	4101	0	task_0Listener4101(Pointer Listener, AnsiString ErrStr)	Listener	ut:Listener ut:LowVolume	task_0	Error		
Microsoft-Quic	4102	0	task_0Listener4102(Pointer Listener, UInt32 Status, AnsiString ErrStr)	Listener	ut:Listener ut:LowVolume	task_0	Error		
Microsoft-Quic	5120	0	task_0Connection(Pointer Connection, UInt32 IsServer, UInt64 CorrelationId)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5121	0	task_0Connection5121(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5122	0	task_0Connection5122(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5123	0	task_0Connection5123(Pointer Connection, UInt32 State)	Connection	ut:Connection ut:Scheduling	task_0	Informational		
Microsoft-Quic	5124	0	task_0Connection5124(Pointer Connection, UInt32 Type)	Connection	ut:Connection ut:Scheduling	task_0	Verbose		
Microsoft-Quic	5125	0	task_0Connection5125(Pointer Connection, UInt32 Type)	Connection	ut:Connection ut:Scheduling	task_0	Verbose		
Microsoft-Quic	5126	0	task_0Connection5126(Pointer Connection, UInt32 Type)	Connection	ut:Connection ut:Scheduling	task_0	Verbose		
Microsoft-Quic	5127	0	task_0Connection5127(Pointer Connection, UInt8 AddrLength, Binary Addr)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5128	0	task_0Connection5128(Pointer Connection, UInt8 AddrLength, Binary Addr)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5129	0	task_0Connection5129(Pointer Connection, UInt8 AddrLength, Binary Addr)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5130	0	task_0Connection5130(Pointer Connection, UInt8 AddrLength, Binary Addr)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5131	0	task_0Connection5131(Pointer Connection, Pointer Worker)	Connection	ut:Connection ut:Scheduling	task_0	Informational		
Microsoft-Quic	5132	0	task_0Connection5132(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5133	0	task_0Connection5133(Pointer Connection, Pointer Registration)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5134	0	task_0Connection5134(Pointer Connection, Pointer Registration)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5135	0	task_0Connection5135(Pointer Connection, UInt64 ErrorCode, UInt8 IsRemoteShutdown, UInt8 IsQuicStatus)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5136	0	task_0Connection5136(Pointer Connection, UInt64 ErrorCode, UInt8 IsRemoteShutdown)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5137	0	task_0Connection5137(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5138	0	task_0Connection5138(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5139	0	task_0Connection5139(Pointer Connection, UInt32 Value)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5140	0	task_0Connection5140(Pointer Connection, UInt64 BytesSent, UInt32 BytesInFlight, UInt32 BytesInFlightMax, UInt32 CongestionWindow, UInt32 SlowStartThreshold, UInt64 ConnectionFlowControl, UInt64 IdealBytes, UInt64 PostedBytes, UInt32 SmoothedRtt)	Connection	ut:Connection ut:DataFlow	task_0	Verbose		
Microsoft-Quic	5141	0	task_0Connection5141(Pointer Connection, UInt8 ReasonFlags)	Connection	ut:Connection ut:DataFlow	task_0	Informational		
Microsoft-Quic	5142	0	task_0Connection5142(Pointer Connection, UInt64 BytesReceived)	Connection	ut:Connection ut:DataFlow	task_0	Verbose		
Microsoft-Quic	5143	0	task_0Connection5143(Pointer Connection, UInt32 SlowStartThreshold, UInt32 K, UInt32 WindowMax, UInt32 WindowLastMax)	Connection	ut:Connection ut:DataFlow	task_0	Verbose		
Microsoft-Quic	5144	0	task_0Connection5144(Pointer Connection)	Connection	ut:Connection ut:DataFlow	task_0	Verbose		
Microsoft-Quic	5145	0	task_0Connection5145(Pointer Connection)	Connection	ut:Connection ut:DataFlow ut:LowVolume	task_0	Informational		
Microsoft-Quic	5146	0	task_0Connection5146(Pointer Connection)	Connection	ut:Connection ut:DataFlow	task_0	Informational		
Microsoft-Quic	5147	0	task_0Connection5147(Pointer Connection, UInt32 IsServer, UInt64 CorrelationId)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5148	0	task_0Connection5148(Pointer Connection, UInt64 SequenceNumber, UInt8 CidLength, Binary Cid)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5149	0	task_0Connection5149(Pointer Connection, UInt64 SequenceNumber, UInt8 CidLength, Binary Cid)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5150	0	task_0Connection5150(Pointer Connection, UInt64 SequenceNumber, UInt8 CidLength, Binary Cid)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5151	0	task_0Connection5151(Pointer Connection, UInt64 SequenceNumber, UInt8 CidLength, Binary Cid)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5152	0	task_0Connection5152(Pointer Connection, UInt8 Type, UInt32 DelayMs, UInt16 ProbeCount)	Connection	ut:Connection	task_0	Informational		
Microsoft-Quic	5153	0	task_0Connection5153(Pointer Connection)	Connection	ut:Connection	task_0	Informational		
Microsoft-Quic	5154	0	task_0Connection5154(Pointer Owner, UInt8 LocalAddrLength, Binary LocalAddr, UInt8 RemoteAddrLength, Binary RemoteAddr, AnsiString Reason)	Connection	ut:Connection ut:Packet	task_0	Informational		
Microsoft-Quic	5155	0	task_0Connection5155(Pointer Owner, UInt64 Value, UInt8 LocalAddrLength, Binary LocalAddr, UInt8 RemoteAddrLength, Binary RemoteAddr, AnsiString Reason)	Connection	ut:Connection ut:Packet	task_0	Informational		
Microsoft-Quic	5156	0	task_0Connection5156(Pointer Connection, AnsiString ErrStr)	Connection	ut:Connection ut:LowVolume	task_0	Error		
Microsoft-Quic	5157	0	task_0Connection5157(Pointer Connection, UInt32 Status, AnsiString ErrStr)	Connection	ut:Connection ut:LowVolume	task_0	Error		
Microsoft-Quic	5158	0	task_0Connection5158(Pointer Connection)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5159	0	task_0Connection5159(Pointer Connection, UInt8 IsLocallyInitiated)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5160	0	task_0Connection5160(Pointer Connection, UInt32 SmoothedRtt, UInt32 CongestionCount, UInt32 PersistentCongestionCount, UInt64 SendTotalBytes, UInt64 RecvTotalBytes)	Connection	ut:Connection ut:LowVolume	task_0	Informational		
Microsoft-Quic	5161	0	task_0Connection5161(Pointer Connection, UInt8 Value)	Connection	ut:Connection	task_0	Informational		
Microsoft-Quic	5162	0	task_0Connection5162(Pointer Connection, UInt8 NewValue)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5163	0	task_0Connection5163(Pointer Connection, UInt8 NewValue)	Connection	ut:Connection ut:LowVolume	task_0	Verbose		
Microsoft-Quic	5164	0	task_0Connection5164(Pointer Owner, UInt64 Number, UInt8 Type, UInt16 Length)	Connection	ut:Connection ut:Packet	task_0	Verbose		
