provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-WS-Licensing	1	0	Service_InitStart()	Start	SERVICE_KEYWORD	Service_Init	Informational		
Microsoft-WS-Licensing	2	0	Service_InitStop()	Stop	SERVICE_KEYWORD	Service_Init	Informational		
Microsoft-WS-Licensing	3	0	Service_StopStart()	Start	SERVICE_KEYWORD	Service_Stop	Informational		
Microsoft-WS-Licensing	4	0	Service_Stop()	Stop	SERVICE_KEYWORD	Service_Stop	Informational		
Microsoft-WS-Licensing	5	0	Service_CallStart(Int32 ID)	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	6	0	Service_CallStop(Int32 ID)	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	7	0	Sync_CallStart()	Start	SYNC_KEYWORD	Sync_Call	Informational		
Microsoft-WS-Licensing	8	0	Sync_CallStop()	Stop	SERVICE_KEYWORD	Sync_Call	Informational		
Microsoft-WS-Licensing	9	0	Sync_CallStart9()	Start	SYNC_KEYWORD	Sync_Call	Informational		
Microsoft-WS-Licensing	10	0	Sync_CallStop10()	Stop	SYNC_KEYWORD	Sync_Call	Informational		
Microsoft-WS-Licensing	11	0	LicenseStoreStart()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	12	0	LicenseStoreStop()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	13	0	LicenseStoreStart13()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	14	0	LicenseStoreStop14()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	15	0	LicenseStoreStart15()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	16	0	LicenseStoreStop16()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	17	0	LicenseStoreStart17()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	18	0	LicenseStoreStop18()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	19	0	LicenseStoreStart19()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	20	0	LicenseStoreStop20()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	21	0	LicenseStoreStart21()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	22	0	LicenseStoreStop22()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	23	0	LicenseStoreStart23()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	24	0	LicenseStoreStop24()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	25	0	LicenseStoreStart25()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	26	0	LicenseStoreStop26()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	27	0	LicenseStoreStart27()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	28	0	LicenseStoreStop28()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	29	0	Sync_Network_CallStart()	Start	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	30	0	Sync_Network_CallStop()	Stop	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	31	0	Sync_Network_CallStart31()	Start	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	32	0	Sync_Network_CallStop32()	Stop	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	33	0	Sync_Network_CallStart33()	Start	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	34	0	Sync_Network_CallStop34()	Stop	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	35	0	Sync_Network_CallStart35()	Start	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	36	0	Sync_Network_CallStop36()	Stop	SYNC_KEYWORD	Sync_Network_Call	Informational		
Microsoft-WS-Licensing	37	0	LicenseStoreStart37()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	38	0	LicenseStoreStop38()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	39	0	LicenseStoreStart39()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	40	0	LicenseStoreStop40()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	41	0	LicenseStoreStart41()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	42	0	LicenseStoreStop42()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	43	0	LicenseStoreStart43()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	44	0	LicenseStoreStop44()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	45	0	LicenseStoreStart45()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	46	0	LicenseStoreStop46()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	47	0	LicenseStoreStart47()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	48	0	LicenseStoreStop48()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	49	0	LicenseStoreStart49()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	50	0	LicenseStoreStop50()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	51	0	LicenseStoreStart51()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	52	0	LicenseStoreStop52()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	53	0	LicenseStoreStart53()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	54	0	LicenseStoreStop54()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	55	0	LicenseStoreStart55()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	56	0	LicenseStoreStop56()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	57	0	LicenseStoreStart57()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	58	0	LicenseStoreStop58()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	59	0	LicenseStoreStart59()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	60	0	LicenseStoreStop60()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	61	0	LicenseStoreStart61()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	62	0	LicenseStoreStop62()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	63	0	LicenseStoreStart63()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	64	0	LicenseStoreStop64()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	65	0	LicenseStoreStart65()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	66	0	LicenseStoreStop66()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	67	0	LicenseStoreStart67()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	68	0	LicenseStoreStop68()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	69	0	LicenseStoreStart69()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	70	0	LicenseStoreStop70()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	71	0	LicenseStoreStart71()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	72	0	LicenseStoreStop72()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	73	0	LicenseStoreStart73()	Start	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	74	0	LicenseStoreStop74()	Stop	LICENSESTORE_KEYWORD	LicenseStore	Informational		
Microsoft-WS-Licensing	75	0	Service_InitStart75()	Start	SERVICE_KEYWORD	Service_Init	Informational		
Microsoft-WS-Licensing	76	0	Service_InitStop76()	Stop	SERVICE_KEYWORD	Service_Init	Informational		
Microsoft-WS-Licensing	77	0	Service_CallStart77()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	78	0	Service_CallStop78()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	79	0	Service_CallStart79()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	80	0	Service_CallStop80()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	81	0	Service_CallStart81()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	82	0	Service_CallStop82()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	83	0	Service_CallStart83()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	84	0	Service_CallStop84()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	85	0	Service_CallStart85()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	86	0	Service_CallStop86()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	87	0	Service_CallStart87()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	88	0	Service_CallStop88()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	89	0	Service_CallStart89()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	90	0	Service_CallStop90()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	91	0	Service_CallStart91()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	92	0	Service_CallStop92()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	93	0	Service_CallStart93()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	94	0	Service_CallStop94()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	95	0	Service_CallStart95()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	96	0	Service_CallStop96()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	97	0	Service_CallStart97()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	98	0	Service_CallStop98()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	99	0	Service_CallStart99()	Start	SERVICE_KEYWORD	Service_Call	Informational		
Microsoft-WS-Licensing	100	0	Service_CallStop100()	Stop	SERVICE_KEYWORD	Service_Call	Informational		
