provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ATAPort	0	0	LPMstatechangeATAPORT_OPCODE_LPM_POWERSTATE_PARTIAL(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_LPM_POWERSTATE_PARTIAL	LinkPowerMgmt	LPMstatechange	Verbose		
Microsoft-Windows-ATAPort	1	0	LPMstatechangeATAPORT_OPCODE_LPM_POWERSTATE_SLUMBER(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_LPM_POWERSTATE_SLUMBER	LinkPowerMgmt	LPMstatechange	Verbose		
Microsoft-Windows-ATAPort	100	0	ATAportGeneralATAPORT_OPCODE_DEV_ENUM_INIT(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType)	ATAPORT_OPCODE_DEV_ENUM_INIT	DeviceEnumeration	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	101	0	ATAportGeneralATAPORT_OPCODE_DEV_ENUM_COMPLETE(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType)	ATAPORT_OPCODE_DEV_ENUM_COMPLETE	DeviceEnumeration	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	102	0	ATAportGeneralATAPORT_OPCODE_XFER_MODE_CHANGE(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt8 DMAtoPIO, UInt8 StepDownInDMAModes)	ATAPORT_OPCODE_XFER_MODE_CHANGE	XferModeChange	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	103	0	ATAportGeneralATAPORT_OPCODE_IO_REQUEST_COMPLETE(UInt32 DeviceAddress, UInt32 RequestSequence, UInt64 QueueTime, UInt64 DeviceTime, Pointer MasterIRP, UInt32 ActiveRequestCount, UInt16 IRBFunction, UInt8 DeviceCommand, UInt8 IRBStatus, UInt8 ATAStatus)	ATAPORT_OPCODE_IO_REQUEST_COMPLETE	AllIORequests	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	104	0	ATAportGeneralATAPORT_OPCODE_IO_REQUEST_TIMEOUT(UInt32 DeviceAddress, UInt32 RequestSequence, UInt64 QueueTime, UInt64 DeviceTime, Pointer MasterIRP, UInt32 ActiveRequestCount, UInt16 IRBFunction, UInt8 DeviceCommand, UInt8 IRBStatus, UInt8 ATAStatus)	ATAPORT_OPCODE_IO_REQUEST_TIMEOUT	IOErrors	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	105	0	ATAportGeneralATAPORT_OPCODE_IO_REQUEST_TRANSPORT_ERROR(UInt32 DeviceAddress, UInt32 RequestSequence, UInt64 QueueTime, UInt64 DeviceTime, Pointer MasterIRP, UInt32 ActiveRequestCount, UInt16 IRBFunction, UInt8 DeviceCommand, UInt8 IRBStatus, UInt8 ATAStatus)	ATAPORT_OPCODE_IO_REQUEST_TRANSPORT_ERROR	IOErrors	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	106	0	ATAportGeneralATAPORT_OPCODE_DEVICE_MISSING(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType)	ATAPORT_OPCODE_DEVICE_MISSING	DeviceEnumeration	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	107	0	ATAportGeneralATAPORT_OPCODE_CHANNEL_RESET_INIT(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_CHANNEL_RESET_INIT	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	108	0	ATAportGeneralATAPORT_OPCODE_CHANNEL_RESET_COMPLETE(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_CHANNEL_RESET_COMPLETE	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	109	0	ATAportGeneralATAPORT_OPCODE_DEVICE_RESET_INIT(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_DEVICE_RESET_INIT	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	110	0	ATAportGeneralATAPORT_OPCODE_DEVICE_RESET_COMPLETE(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_DEVICE_RESET_COMPLETE	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	111	0	ATAportGeneralATAPORT_OPCODE_CHANNEL_START_INIT()	ATAPORT_OPCODE_CHANNEL_START_INIT	DeviceEnumeration	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	112	0	ATAportGeneralATAPORT_OPCODE_CHANNEL_START_COMPLETE()	ATAPORT_OPCODE_CHANNEL_START_COMPLETE	DeviceEnumeration	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	113	0	ATAportGeneralATAPORT_OPCODE_GET_TELEMETRY_INIT(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_GET_TELEMETRY_INIT	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	113	1	Port_V1(UInt8 PortNumber, UInt8 BusNumber, UInt8 TargetId, UInt8 LUN, UInt32 FailureReason)		Read Write PagingRead PagingWrite LowMemoryRead LowMemoryWrite PnP Enum	Port	Informational		
Microsoft-Windows-ATAPort	114	0	ATAportGeneralATAPORT_OPCODE_GET_TELEMETRY_COMPLETE(UInt32 SCSIAddressSize, UInt8 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 DeviceType, UInt32 Result)	ATAPORT_OPCODE_GET_TELEMETRY_COMPLETE	Reset	ATAportGeneral	Verbose		
Microsoft-Windows-ATAPort	114	1	Port114_V1(Pointer Irp, UInt8 TransferModeChangeType)		Read Write PagingRead PagingWrite LowMemoryRead LowMemoryWrite	Port	Informational		
Microsoft-Windows-ATAPort	200	1	Port200_V1(UInt64 RequestDurationin100ns, Pointer Irp, UInt8 Command, UInt8 SrbStatus, Pointer OriginalIrp)		IO_Performance	Port	Informational		
Microsoft-Windows-ATAPort	201	1	Port201_V1(UInt64 RequestDurationin100ns, Pointer Irp, UInt8 Command, UInt8 SrbStatus, Pointer OriginalIrp)		IO_Performance	Port	Informational		
Microsoft-Windows-ATAPort	202	1	PortDispatchingofrequest._V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Read	Port	Informational		
Microsoft-Windows-ATAPort	203	1	PortDispatchingofrequest.203_V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Write	Port	Informational		
Microsoft-Windows-ATAPort	204	1	PortDispatchingofrequest.204_V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Read PagingRead	Port	Informational		
Microsoft-Windows-ATAPort	205	1	PortDispatchingofrequest.205_V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Write PagingWrite	Port	Informational		
Microsoft-Windows-ATAPort	206	1	PortDispatchingofrequest.206_V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Read LowMemoryRead	Port	Informational		
Microsoft-Windows-ATAPort	207	1	PortDispatchingofrequest.207_V1(Pointer Irp, UInt8 Command, UInt64 LengthOfTransferinbytes, HexInt64 LBA, Pointer OriginalIrp)	Dispatchingofrequest.	Write LowMemoryWrite	Port	Informational		
