provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-All-User-Install-Agent	1287	0	task_0(UnicodeString Param1)			task_0	Informational		
Microsoft-Windows-All-User-Install-Agent	1288	0	task_01288(UnicodeString PackageMoniker, UnicodeString UserSid, HexInt32 Error)			task_0	Error		
Microsoft-Windows-All-User-Install-Agent	1300	0	task_01300(UnicodeString UserSid, HexInt32 Error, Int32 location)			task_0	Error		
Microsoft-Windows-All-User-Install-Agent	1301	0	task_01301(UnicodeString Param1)			task_0	Informational		
Microsoft-Windows-All-User-Install-Agent	1302	0	task_01302(Int32 NumberOfPackages, UnicodeString UserSid)			task_0	Informational		
Microsoft-Windows-All-User-Install-Agent	1303	0	task_01303(UnicodeString UserSid, HexInt32 Error)			task_0	Error		
Microsoft-Windows-All-User-Install-Agent	1304	0	task_01304(UnicodeString Package, UnicodeString UserSid)			task_0	Informational		
Microsoft-Windows-All-User-Install-Agent	1305	0	task_01305(UnicodeString Package, HexInt32 Error)			task_0	Error		
Microsoft-Windows-All-User-Install-Agent	1306	0	task_01306(UnicodeString Package, HexInt32 Error)			task_0	Informational		
Microsoft-Windows-All-User-Install-Agent	1307	0	task_01307(UnicodeString Package)			task_0	Informational		
