provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-AppLocker	8000	0	task_0(UInt32 Status)			task_0	Error		
Microsoft-Windows-AppLocker	8001	0	task_08001()			task_0	Informational		
Microsoft-Windows-AppLocker	8002	0	task_08002(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Informational		
Microsoft-Windows-AppLocker	8003	0	task_08003(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Warning		
Microsoft-Windows-AppLocker	8004	0	task_08004(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Error		
Microsoft-Windows-AppLocker	8005	0	task_08005(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Informational		
Microsoft-Windows-AppLocker	8006	0	task_08006(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Warning		
Microsoft-Windows-AppLocker	8007	0	task_08007(UInt16 PolicyNameLength, UnicodeString PolicyNameBuffer, GUID RuleId, UInt16 RuleNameLength, UnicodeString RuleNameBuffer, UInt16 RuleSddlLength, UnicodeString RuleSddlBuffer, SID TargetUser, UInt32 TargetProcessId, UInt16 FilePathLength, UnicodeString FilePathBuffer, UInt16 FileHashLength, Binary FileHash, UInt16 FqbnLength, UnicodeString Fqbn, HexInt64 TargetLogonId)			task_0	Error		
Microsoft-Windows-AppLocker	8008	0	task_08008(UInt16 FilePathLength, UnicodeString FilePathBuffer)			task_0	Warning		
Microsoft-Windows-AppLocker	8009	0	task_08009(UInt16 FilePathLength, UnicodeString FilePathBuffer)			task_0	Warning		
