provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-AppModel-MessagingDataModel	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error Shared	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Shared keyword_400000000000	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	100	0	task_0100()		DataModel keyword_400000000000	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	101	0	task_0101()		MMS	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	102	0	task_0102(UInt32 Prop_Bool)		MMS	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	103	0	task_0103()		DataModel	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	104	0	task_0104(UnicodeString Prop_UnicodeString)		Shared	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	105	0	task_0105(UnicodeString Prop_UnicodeString)		Shared	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	106	0	task_0106(UnicodeString Prop_Description_UnicodeString, UInt32 Prop_Data_UInt32)		Shared	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	107	0	task_0107(UInt32 Prop_ExtendedEventType)		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	108	0	task_0108(UInt32 Prop_EventType, UInt32 Prop_ObjectType)		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	109	0	task_0109(UInt32 Prop_EventType)		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	110	0	task_0110(UInt32 Prop_ReadStatusType)		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	111	0	task_0111(UInt32 Prop_ReadStatusType)		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	112	0	task_0112()		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	113	0	task_0113()		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	114	0	task_0114()		DataModel	task_0	Verbose		
Microsoft-Windows-AppModel-MessagingDataModel	117	0	task_0117(UnicodeString Prop_UnicodeString)		IM	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	118	0	task_0118()		IM	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	119	0	task_0119(UInt32 Prop_Data_UInt32)		Shared	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	120	0	task_0120(UInt32 Prop_Data_UInt32)		DataModel keyword_400000000000	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	121	0	task_0121(UInt32 Prop_Data_UInt32)		DataModel keyword_400000000000	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	122	0	task_0122(UInt32 Prop_Data_UInt32)		DataModel keyword_400000000000	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	123	0	task_0123(UInt32 Prop_Data_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	124	0	task_0124(UInt32 Prop_Data_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	125	0	task_0125()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	126	0	task_0126()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	127	0	task_0127()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	128	0	task_0128()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	129	0	task_0129()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	130	0	task_0130(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32, UInt32 Prop_Data3_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	131	0	task_0131()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	132	0	task_0132()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	133	0	task_0133(UInt32 Prop_Data_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	134	0	task_0134(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32, UInt32 Prop_Data3_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	135	0	task_0135()		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	136	0	task_0136(UnicodeString Prop_Description_UnicodeString1, UnicodeString Prop_Description_UnicodeString2, UInt32 Prop_Data_DWORD, UInt32 Prop_Data_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	138	0	task_0138(UnicodeString Prop_Description_UnicodeString1, UnicodeString Prop_Description_UnicodeString2, UInt32 Prop_Data_DWORD, UInt64 Prop_Data_UInt64, UInt32 Prop_Data_UInt32)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	139	0	task_0139(UnicodeString Prop_UnicodeString)		DataModel	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1001	0	task_01001(UInt32 Prop_Data_UInt32, UnicodeString Prop_Description_UnicodeString1, UnicodeString Prop_Description_UnicodeString2)		CloudServices	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	1002	0	task_01002(UInt32 Prop_Data_UInt32)		CloudServices	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	1003	0	task_01003(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		CloudServices	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1004	0	task_01004(UnicodeString Prop_UnicodeString)		CloudServices	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1005	0	task_01005(UInt32 Prop_Data_UInt32)		CloudServices	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1006	0	task_01006(UInt32 Prop_Data_UInt32, UnicodeString Prop_Description_UnicodeString1, UnicodeString Prop_Description_UnicodeString2)		CloudServices	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	1007	0	task_01007(UInt32 Prop_Data_UInt32)		CloudServices	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1008	0	task_01008(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		CloudServices	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1009	0	task_01009(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32, UInt32 Prop_Data3_UInt32)		CloudServices	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1010	0	task_01010(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		CloudServices	task_0	Error		
Microsoft-Windows-AppModel-MessagingDataModel	1501	0	task_01501()		MessagingNotifications	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1502	0	task_01502(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		MessagingNotifications	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1503	0	task_01503(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		MessagingNotifications	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1504	0	task_01504(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		MessagingNotifications	task_0	Informational		
Microsoft-Windows-AppModel-MessagingDataModel	1505	0	task_01505(UInt32 Prop_Data1_UInt32, UInt32 Prop_Data2_UInt32)		MessagingNotifications	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1506	0	task_01506(UnicodeString Prop_Description_UnicodeString, UInt32 Prop_Data_UInt32)		MessagingNotifications	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1507	0	task_01507(UInt32 Prop_Data_UInt32)		MessagingNotifications	task_0	Warning		
Microsoft-Windows-AppModel-MessagingDataModel	1508	0	task_01508()		MessagingNotifications	task_0	Informational		
