provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-AppReadiness	10	0	AppReadiness_Error(UnicodeString User, UnicodeString Operation, UnicodeString PackageId, Int32 Result, UnicodeString Error)		Error	AppReadiness_Error	Error		
Microsoft-Windows-AppReadiness	11	0	AppReadiness_Error11(Int32 Error, AnsiString Expression, AnsiString Function, AnsiString File, Int32 Line)		Error	AppReadiness_Error	Warning		
Microsoft-Windows-AppReadiness	12	0	AppReadiness_Error12(UnicodeString User, UnicodeString Error, Int32 Result)		Error	AppReadiness_Error	Error		
Microsoft-Windows-AppReadiness	100	0	AppReadiness_Service_LifetimeStart()	Start	Service keyword_400000000000	AppReadiness_Service_Lifetime	Informational		
Microsoft-Windows-AppReadiness	101	0	AppReadiness_Service_LifetimeStop()	Stop	Service keyword_400000000000	AppReadiness_Service_Lifetime	Informational		
Microsoft-Windows-AppReadiness	102	0	AppReadiness_Service_ThreadStart()	Start	Service	AppReadiness_Service_Thread	Informational		
Microsoft-Windows-AppReadiness	103	0	AppReadiness_Service_ThreadStop()	Stop	Service	AppReadiness_Service_Thread	Informational		
Microsoft-Windows-AppReadiness	104	0	AppReadiness_Service(UInt32 Status, UInt32 ExitCode)		Service	AppReadiness_Service	Informational		
Microsoft-Windows-AppReadiness	105	0	AppReadiness_Service105(Boolean IsIdle, UnicodeString Reason)		Service	AppReadiness_Service	Informational		
Microsoft-Windows-AppReadiness	106	0	AppReadiness_Service106(UnicodeString User)		Service	AppReadiness_Service	Informational		
Microsoft-Windows-AppReadiness	107	0	AppReadiness_Service107(UnicodeString User)		Service	AppReadiness_Service	Informational		
Microsoft-Windows-AppReadiness	108	0	AppReadiness_PackageChangeStart(UInt32 Source)	Start	Service	AppReadiness_PackageChange	Informational		
Microsoft-Windows-AppReadiness	109	0	AppReadiness_PackageChangeStop(UInt32 Source, Int32 Result)	Stop	Service	AppReadiness_PackageChange	Informational		
