provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-AppxPackagingOM	100	0	ManifestParseManifest(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber, UnicodeString reason)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	101	0	ManifestParseManifest101(HexInt32 errorCode, UnicodeString name, UnicodeString xmlNamespace)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	102	0	ManifestParseManifest102(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	103	0	ManifestParseManifest103(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	104	0	ManifestParseManifest104(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	105	0	ManifestParseManifest105(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	106	0	ManifestParseManifest106(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	107	0	ManifestParseManifest107(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	110	0	ManifestParseManifest110(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	111	0	ManifestParseManifest111(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber, UnicodeString logo, UnicodeString field, UnicodeString value)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	112	0	ManifestParseManifest112(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	113	0	ManifestParseManifest113(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	114	0	ManifestParseManifest114(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
Microsoft-Windows-AppxPackagingOM	115	0	ManifestParseManifest115(HexInt32 errorCode, UInt32 lineNumber, UInt32 columnNumber)	ParseManifest		Manifest	Error		
