provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Battery	1	0	SystemBatteryStatusChange(Boolean BatteryPresent, UInt32 PowerState, UInt32 Capacity)			SystemBatteryStatusChange	Informational		
Microsoft-Windows-Battery	1	1	SystemBatteryStatusChange_V1(Boolean BatteryPresent, UInt32 PowerState, UInt32 Capacity, UInt32 BatteryPercent, Int32 ChargeRate, UInt32 InstantaneousPeakPower, UInt32 InstantaneousPeakPeriod, UInt32 SustainablePeakPower, UInt32 SustainablePeakPeriod, UInt32 AdapterPeakPower, UInt32 AdapterMaxOutputPower, UInt32 AdapterMaxInputPower)			SystemBatteryStatusChange	Informational		
Microsoft-Windows-Battery	2	0	SystemBatteryStatusRundown(Boolean BatteryPresent, UInt32 PowerState, UInt32 Capacity)			SystemBatteryStatusRundown	Informational		
Microsoft-Windows-Battery	2	1	SystemBatteryStatusRundown_V1(Boolean BatteryPresent, UInt32 PowerState, UInt32 Capacity, UInt32 BatteryPercent, Int32 ChargeRate, UInt32 InstantaneousPeakPower, UInt32 InstantaneousPeakPeriod, UInt32 SustainablePeakPower, UInt32 SustainablePeakPeriod, UInt32 AdapterPeakPower, UInt32 AdapterMaxOutputPower, UInt32 AdapterMaxInputPower)			SystemBatteryStatusRundown	Informational		
Microsoft-Windows-Battery	3	0	BatteryBayRundown(Pointer Handle, Boolean BatteryPresent)			BatteryBayRundown	Informational		
Microsoft-Windows-Battery	4	0	BixUpdated(Pointer Handle, UInt32 Revision, UInt32 PowerUnit, UInt32 DesignCapacity, UInt32 LastFullChargeCapacity, UInt32 BatteryTechnology, UInt32 DesignVoltage, UInt32 WarningDesignCapacity, UInt32 LowDesignCapacity, UInt32 CapacityGranularity1, UInt32 CapacityGranularity2, UInt32 CycleCount, UInt32 MeasurementAccuracy, UInt32 MaxSamplingTime, UInt32 MinSamplingTIme, UInt32 MaxAveragingInterval, UInt32 MinAveragingInterval, AnsiString ModelNumber, AnsiString SerialNumber, AnsiString BatteryType, AnsiString OemInformation)			BixUpdated	Informational		
Microsoft-Windows-Battery	5	0	BixRundown(Pointer Handle, UInt32 Revision, UInt32 PowerUnit, UInt32 DesignCapacity, UInt32 LastFullChargeCapacity, UInt32 BatteryTechnology, UInt32 DesignVoltage, UInt32 WarningDesignCapacity, UInt32 LowDesignCapacity, UInt32 CapacityGranularity1, UInt32 CapacityGranularity2, UInt32 CycleCount, UInt32 MeasurementAccuracy, UInt32 MaxSamplingTime, UInt32 MinSamplingTIme, UInt32 MaxAveragingInterval, UInt32 MinAveragingInterval, AnsiString ModelNumber, AnsiString SerialNumber, AnsiString BatteryType, AnsiString OemInformation)			BixRundown	Informational		
Microsoft-Windows-Battery	6	0	BifUpdated(Pointer Handle, UInt32 PowerUnit, UInt32 DesignCapacity, UInt32 LastFullChargeCapacity, UInt32 BatteryTechnology, UInt32 DesignVoltage, UInt32 WarningDesignCapacity, UInt32 LowDesignCapacity, UInt32 CapacityGranularity1, UInt32 CapacityGranularity2, AnsiString ModelNumber, AnsiString SerialNumber, AnsiString BatteryType, AnsiString OemInformation)			BifUpdated	Informational		
Microsoft-Windows-Battery	7	0	BifRundown(Pointer Handle, UInt32 PowerUnit, UInt32 DesignCapacity, UInt32 LastFullChargeCapacity, UInt32 BatteryTechnology, UInt32 DesignVoltage, UInt32 WarningDesignCapacity, UInt32 LowDesignCapacity, UInt32 CapacityGranularity1, UInt32 CapacityGranularity2, AnsiString ModelNumber, AnsiString SerialNumber, AnsiString BatteryType, AnsiString OemInformation)			BifRundown	Informational		
Microsoft-Windows-Battery	8	0	BstUpdated(Pointer Handle, UInt32 State, UInt32 PresentRate, UInt32 RemainingCapacity, UInt32 PresentVoltage)			BstUpdated	Informational		
Microsoft-Windows-Battery	9	0	BstRundown(Pointer Handle, UInt32 State, UInt32 PresentRate, UInt32 RemainingCapacity, UInt32 PresentVoltage)			BstRundown	Informational		
Microsoft-Windows-Battery	10	0	BtpSet(Pointer Handle, UInt32 TripPoint)			BtpSet	Informational		
Microsoft-Windows-Battery	11	0	BtpRundown(Pointer Handle, UInt32 TripPoint)			BtpRundown	Informational		
Microsoft-Windows-Battery	12	0	AcpiNotify(Pointer Handle, UInt32 Notification)			AcpiNotify	Informational		
Microsoft-Windows-Battery	13	0	BatteryPercentRemaining(UInt32 RemainingPercentage, Int32 PercentageChange, UInt32 AcDc, UInt32 ElapsedTimeMs)			BatteryPercentRemaining	Informational		
Microsoft-Windows-Battery	14	0	BatteryChargingWatchdogUpdated(Pointer Handle, UInt32 BatteryState, UInt32 WatchdogState, UInt32 WatchdogTimeout)			BatteryChargingWatchdogUpdated	Informational		
Microsoft-Windows-Battery	15	0	BatteryChargingWatchdogRundown(Pointer Handle, UInt32 BatteryState, UInt32 WatchdogState, UInt32 WatchdogTimeout)			BatteryChargingWatchdogRundown	Informational		
Microsoft-Windows-Battery	16	0	BptSet(UInt32 Type, UInt32 Value, UInt32 Status, UInt32 ReturnValue, UInt32 Failure)			BptSet	Informational		
Microsoft-Windows-Battery	17	0	BptRundown(UInt32 Type, UInt32 Value, UInt32 Status, UInt32 ReturnValue, UInt32 Failure)			BptRundown	Informational		
Microsoft-Windows-Battery	18	0	BpsGet(UInt32 Status, UInt32 InstantaneousPeakPower, UInt32 InstantaneousPeakPeriod, UInt32 SustainablePeakPower, UInt32 SustainablePeakPeriod, UInt32 Failure)			BpsGet	Informational		
Microsoft-Windows-Battery	19	0	BpsRundown(UInt32 Status, UInt32 InstantaneousPeakPower, UInt32 InstantaneousPeakPeriod, UInt32 SustainablePeakPower, UInt32 SustainablePeakPeriod, UInt32 Failure)			BpsRundown	Informational		
Microsoft-Windows-Battery	20	0	PsrGet(UInt32 Status, UInt32 ReturnStatus)			PsrGet	Informational		
Microsoft-Windows-Battery	21	0	PsrRundown(UInt32 Status, UInt32 ReturnStatus)			PsrRundown	Informational		
Microsoft-Windows-Battery	22	0	PifGet(UInt32 Status, UInt32 MaxOutputPower, UInt32 MaxInputPower, UInt32 Failure)			PifGet	Informational		
Microsoft-Windows-Battery	23	0	PifRundown(UInt32 Status, UInt32 MaxOutputPower, UInt32 MaxInputPower, UInt32 Failure, AnsiString ModelNumber, AnsiString SerialNumber, AnsiString OemInformation)			PifRundown	Informational		
Microsoft-Windows-Battery	24	0	RecCapabilities(UInt32 Status, UInt32 RecSupportedFunctions, UInt32 Failure)			RecCapabilities	Informational		
Microsoft-Windows-Battery	25	0	RecCapabilitiesRundown(UInt32 Status, UInt32 RecSupportedFunctions, UInt32 Failure)			RecCapabilitiesRundown	Informational		
Microsoft-Windows-Battery	26	0	RecSupported(UInt32 Status, Boolean RecSupported, UInt32 Failure)			RecSupported	Informational		
Microsoft-Windows-Battery	27	0	RecSupportedRundown(UInt32 Status, Boolean RecSupported, UInt32 Failure)			RecSupportedRundown	Informational		
Microsoft-Windows-Battery	28	0	RecStatus(UInt32 Status, Boolean RecEngaged, UInt64 RecStartTime, UInt64 RecEndTime, Boolean RecOverriden, UInt32 Failure)			RecStatus	Informational		
Microsoft-Windows-Battery	29	0	RecStatusRundown(UInt32 Status, Boolean RecEngaged, UInt64 RecStartTime, UInt64 RecEndTime, Boolean RecOverriden, UInt32 Failure)			RecStatusRundown	Informational		
Microsoft-Windows-Battery	30	0	RecOverride(UInt32 Status, Boolean RecOverride, Boolean OverrideValue, UInt32 Failure)			RecOverride	Informational		
Microsoft-Windows-Battery	31	0	RecOverrideRundown(UInt32 Status, Boolean RecOverride, UInt32 Failure)			RecOverrideRundown	Informational		
Microsoft-Windows-Battery	32	0	RecWattage(UInt32 Status, UInt32 AdapterType, UInt32 MinimumPower, UInt32 NominalPower, UInt32 MaximumPower, UInt32 Failure)			RecWattage	Informational		
Microsoft-Windows-Battery	33	0	RecWattageRundown(UInt32 Status, UInt32 AdapterType, UInt32 MinimumPower, UInt32 NominalPower, UInt32 MaximumPower, UInt32 Failure)			RecWattageRundown	Informational		
Microsoft-Windows-Battery	34	0	RecWattage34(UInt32 Status, UInt32 AdapterType1, UInt32 MinimumPower1, UInt32 NominalPower1, UInt32 MaximumPower1, UInt32 AdapterType2, UInt32 MinimumPower2, UInt32 NominalPower2, UInt32 MaximumPower2, UInt32 Failure)			RecWattage	Informational		
