provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Biometrics	1000	0	WBioSrvc(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, UnicodeString SID, UnicodeString Username, HexInt32 ErrorCode)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1001	0	WBioSrvc1001(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, UnicodeString SID, UnicodeString Username)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1002	0	WBioSrvc1002(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, UnicodeString SID, UnicodeString Username)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1003	0	WBioSrvc1003(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, HexInt32 ErrorCode)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1004	0	WBioSrvc1004(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, UnicodeString SID, UnicodeString Username)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1005	0	WBioSrvc1005(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1006	0	WBioSrvc1006(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1007	0	WBioSrvc1007(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, HexInt32 ErrorCode)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1008	0	WBioSrvc1008(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter)			WBioSrvc	Verbose		
Microsoft-Windows-Biometrics	1009	0	WBioSrvc1009(UnicodeString BiometricSensor, UnicodeString SensorAdapter, UnicodeString EngineAdapter, UnicodeString StorageAdapter, GUID DatabaseID, UInt32 SensorMode, UInt32 SensorPool, UInt32 IsolationLevel, UnicodeString IsolationSensorAdapter, UnicodeString IsolationEngineAdapter, UnicodeString IsolationStorageAdapter, UnicodeString SID, UnicodeString Username, HexInt32 ErrorCode)			WBioSrvc	Verbose		
