provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Bluetooth-Policy	1	0	task_0(UnicodeString PolicyPath, UnicodeString PolicyName, UnicodeString PolicyValue)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	2	0	task_02(UnicodeString PolicyPath, UnicodeString PolicyName, UnicodeString PolicyState)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	3	0	task_03(UnicodeString PolicyPath, UnicodeString PolicyName, UnicodeString PolicyState)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	4	0	task_04(UnicodeString PolicyPath, UnicodeString PolicyName, UnicodeString PolicyState)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	5	0	task_05(UnicodeString PolicyPath, UnicodeString PolicyName, UnicodeString PolicyState, UnicodeString RadioName)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	6	0	task_06(UInt64 BtAddr, UnicodeString Service)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	7	0	task_07(UnicodeString Accepted, GUID ServiceGuid, UInt64 BtAddr, UnicodeString PolicyPath, UnicodeString PolicyName)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	8	0	task_08(UnicodeString Accepted, Int16 Psm, UInt64 BtAddr, UnicodeString PolicyPath, UnicodeString PolicyName)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	9	0	task_09(UInt64 bthAddr)			task_0	Informational		
Microsoft-Windows-Bluetooth-Policy	10	0	task_010(UInt64 bthAddr)			task_0	Informational		
