provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-BrokerInfrastructure	1	0	BackgroundTaskStart(UInt16 EntryPointLength, UnicodeString TaskEntryPoint, UInt16 NameLength, UnicodeString TaskName, UInt32 SessionId, GUID InstanceId, UInt64 ApplicationId, UInt32 PsmActivationType, Boolean CriticalActivation, GUID TriggerEventId, UInt32 TriggerEventType)	Start	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	1	1	BackgroundTaskStart_V1(UInt16 EntryPointLength, UnicodeString TaskEntryPoint, UInt16 NameLength, UnicodeString TaskName, UInt64 UserContextId, GUID InstanceId, UInt64 ApplicationId, UInt32 PsmActivationType, Boolean CriticalActivation, GUID TriggerEventId, UInt32 TriggerEventType)	Start	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	2	0	BackgroundTaskStop(GUID WorkItemId, GUID BrokerId, UInt32 SessionId, Boolean TaskExecuted, UInt32 Result, SID UserSid, UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, UInt64 ApplicationId, UInt16 CpuThrottleCount, UInt16 NetThrottleCount)	Stop	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	2	1	BackgroundTaskStop_V1(GUID WorkItemId, GUID BrokerId, UInt32 SessionId, Boolean TaskExecuted, UInt32 Result, SID UserSid, UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, UInt64 ApplicationId, UInt16 CpuThrottleCount, UInt16 NetThrottleCount, UInt32 WatchdogDuration, UInt32 WatchdogIteration, UInt16 Flags)	Stop	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	2	2	BackgroundTaskStop_V2(GUID WorkItemId, GUID BrokerId, UInt32 SessionId, Boolean TaskExecuted, UInt32 Result, SID UserSid, UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, UInt64 ApplicationId, UInt16 CpuThrottleCount, UInt16 NetThrottleCount, UInt16 Flags)	Stop	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	2	3	BackgroundTaskStop_V3(GUID WorkItemId, GUID BrokerId, UInt64 UserContextId, Boolean TaskExecuted, UInt32 Result, SID UserSid, UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, UInt64 ApplicationId, UInt16 CpuThrottleCount, UInt16 NetThrottleCount, UInt16 Flags)	Stop	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	3	0	BackgroundTaskProxy(GUID WorkItemId, GUID BrokerId, UInt64 StateName)		BackgroundTask	BackgroundTaskProxy	Informational		
Microsoft-Windows-BrokerInfrastructure	4	0	BackgroundTaskTaskThrottledCpu(UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, SID UserSid)	TaskThrottledCpu	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	4	1	BackgroundTaskTaskThrottledCpu_V1(UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, SID UserSid)	TaskThrottledCpu	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	5	0	BackgroundTaskTaskThrottledNet(UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, SID UserSid)	TaskThrottledNet	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	5	1	BackgroundTaskTaskThrottledNet_V1(UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, SID UserSid)	TaskThrottledNet	BackgroundTask LowOverheadDiag	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	6	0	BackgroundTaskTaskForcedCompletion(UnicodeString PackageFullName, UInt16 EntryPointLength, UnicodeString EntryPoint, SID UserSid)	TaskForcedCompletion	BackgroundTask	BackgroundTask	Informational		
Microsoft-Windows-BrokerInfrastructure	7	0	TriggerSignalStart(GUID EventId, UInt32 EventType)	Start	BackgroundTask	TriggerSignal	Informational		
Microsoft-Windows-BrokerInfrastructure	8	0	TriggerSignalStop(GUID EventId, UInt32 EventType)	Stop	BackgroundTask	TriggerSignal	Informational		
Microsoft-Windows-BrokerInfrastructure	9	0	ConditionChangeStart(GUID EventId, UInt32 EventType, UInt32 OldState, Boolean NewState)	Start	BackgroundTask	ConditionChange	Informational		
Microsoft-Windows-BrokerInfrastructure	10	0	ConditionChangeStop(GUID EventId, UInt32 EventType, UInt32 OldState, Boolean NewState)	Stop	BackgroundTask	ConditionChange	Informational		
