provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-COM-RundownInstrumentation	1	0	RundownInstrumentation(UInt64 OID, GUID IID, GUID IPID, Boolean IsFastRundown)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	2	0	RundownInstrumentation2(UInt64 OID, GUID IID, GUID IPID, Pointer ProxyManagerIUnknown)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	3	0	RundownInstrumentation3(UInt64 OID)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	4	0	RundownInstrumentation4(UInt64 OID)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	5	0	RundownInstrumentation5(UInt64 OID)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	6	0	RundownInstrumentation6(UInt64 OID)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	7	0	RundownInstrumentation7(UInt64 OID, GUID TargetInterface, UInt32 TargetMethod, GUID IPID, Pointer ProxyManagerIUnknown)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	8	0	RundownInstrumentation8(UInt64 OID, GUID TargetInterface, UInt32 TargetMethod, GUID IPID, Pointer ProxyManagerIUnknown)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	9	0	RundownInstrumentation9(UInt64 OID, UInt32 Flags, Int32 HRESULT)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	10	0	RundownInstrumentation10(UInt64 OID, UInt32 ClientProcessId)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	11	0	RundownInstrumentation11(UInt64 OID, UInt32 ClientProcessId)		RundownInstrumentation	RundownInstrumentation	Informational		
Microsoft-Windows-COM-RundownInstrumentation	12	0	RundownInstrumentation12(UInt64 OID, UInt32 ClientProcessId)		RundownInstrumentation	RundownInstrumentation	Informational		
