provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-CertPolEng	0	0	task_0(AnsiString FunctionName)			task_0	Informational		
Microsoft-Windows-CertPolEng	1	0	task_01(AnsiString FunctionName)			task_0	Informational		
Microsoft-Windows-CertPolEng	2	0	task_02(AnsiString FunctionName, UInt32 LastError)			task_0	Error		
Microsoft-Windows-CertPolEng	3	0	task_03(AnsiString FunctionName, UInt32 LastError)			task_0	Informational		
Microsoft-Windows-CertPolEng	4	0	task_04()			task_0	Informational		
Microsoft-Windows-CertPolEng	5	0	task_05()			task_0	Informational		
Microsoft-Windows-CertPolEng	6	0	task_06()			task_0	Informational		
Microsoft-Windows-CertPolEng	7	0	task_07()			task_0	Informational		
Microsoft-Windows-CertPolEng	8	0	task_08()			task_0	Informational		
Microsoft-Windows-CertPolEng	9	0	task_09(UInt32 Number)			task_0	Informational		
Microsoft-Windows-CertPolEng	10	0	task_010(UnicodeString TargetName, UnicodeString HostName)			task_0	Informational		
Microsoft-Windows-CertPolEng	11	0	task_011(UInt32 NumOfCriteria, Boolean bClient)			task_0	Informational		
Microsoft-Windows-CertPolEng	12	0	task_012(UInt32 Number)			task_0	Informational		
Microsoft-Windows-CertPolEng	13	0	task_013()			task_0	Informational		
Microsoft-Windows-CertPolEng	14	0	task_014(UInt32 LastError)			task_0	Informational		
Microsoft-Windows-CertPolEng	15	0	task_015(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-CertPolEng	16	0	task_016()			task_0	Informational		
Microsoft-Windows-CertPolEng	17	0	task_017()			task_0	Informational		
Microsoft-Windows-CertPolEng	18	0	task_018()			task_0	Informational		
Microsoft-Windows-CertPolEng	19	0	task_019(UInt32 Number)			task_0	Informational		
Microsoft-Windows-CertPolEng	20	0	task_020()			task_0	Informational		
Microsoft-Windows-CertPolEng	21	0	task_021()			task_0	Informational		
Microsoft-Windows-CertPolEng	22	0	task_022()			task_0	Informational		
Microsoft-Windows-CertPolEng	23	0	task_023()			task_0	Informational		
Microsoft-Windows-CertPolEng	24	0	task_024(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-CertPolEng	25	0	task_025(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-CertPolEng	26	0	task_026(UnicodeString psz)			task_0	Error		
Microsoft-Windows-CertPolEng	27	0	task_027(GUID Provider, UInt32 LastError)			task_0	Warning		
Microsoft-Windows-CertPolEng	28	0	task_028(UInt32 Number)			task_0	Error		
Microsoft-Windows-CertPolEng	29	0	task_029(UInt32 Number)			task_0	Error		
Microsoft-Windows-CertPolEng	30	0	task_030(UInt32 SubKey, UInt32 LastError)			task_0	Warning		
Microsoft-Windows-CertPolEng	31	0	task_031(UnicodeString SubKey, UInt32 LastError)			task_0	Error		
Microsoft-Windows-CertPolEng	32	0	task_032(UInt32 LastError, UInt32 ChainIndex, UInt32 lElementIndex)			task_0	Error		
Microsoft-Windows-CertPolEng	33	0	task_033(UInt32 Number)			task_0	Error		
Microsoft-Windows-CertPolEng	34	0	task_034()			task_0	Informational		
Microsoft-Windows-CertPolEng	35	0	task_035(UnicodeString StoreName, UInt32 LastError)			task_0	Error		
Microsoft-Windows-CertPolEng	36	0	task_036(UInt32 Source, UInt32 Calculated)			task_0	Error		
Microsoft-Windows-CertPolEng	37	0	task_037()			task_0	Error		
Microsoft-Windows-CertPolEng	38	0	task_038()			task_0	Informational		
Microsoft-Windows-CertPolEng	39	0	task_039(UnicodeString UPN, UnicodeString ClientName)			task_0	Error		
Microsoft-Windows-CertPolEng	40	0	task_040(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-CertPolEng	41	0	task_041(UnicodeString UPN, UnicodeString ClientName)			task_0	Informational		
Microsoft-Windows-CertPolEng	42	0	task_042()			task_0	Informational		
Microsoft-Windows-CertPolEng	43	0	task_043()			task_0	Error		
Microsoft-Windows-CertPolEng	44	0	task_044()			task_0	Error		
