provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1	0	task_0()			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	2	0	task_02()			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	501	0	task_0501()			task_0	Warning		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	502	0	task_0502()			task_0	Warning		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1001	0	task_01001(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1002	0	task_01002(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1003	0	task_01003(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1004	0	task_01004(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1005	0	task_01005(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1006	0	task_01006(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1007	0	task_01007(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1008	0	task_01008()			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1009	0	task_01009()			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1010	0	task_01010(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1011	0	task_01011()			task_0	Error		
Microsoft-Windows-CertificateServicesClient-CredentialRoaming	1012	0	task_01012(UInt32 ErrorCode, UnicodeString ErrorMsg)			task_0	Error		
