provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1001	0	task_0(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1002	0	task_01002(UnicodeString EventWriteData)			task_0	Error		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1003	0	task_01003(UnicodeString EventWriteData)			task_0	Warning		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1004	0	task_01004(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1005	0	task_01005(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1006	0	task_01006(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1007	0	task_01007(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1008	0	task_01008(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1009	0	task_01009(UnicodeString EventWriteData)			task_0	Informational		
Microsoft-Windows-CertificateServicesClient-Lifecycle-System	1010	0	task_01010(UnicodeString EventWriteData)			task_0	Informational		
