provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-CodeIntegrity	3001	0	CreateSectionUnsignedDriverLoaded(UInt16 FileNameLength, UnicodeString FileNameBuffer)	UnsignedDriverLoaded		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3001	1	CreateSectionUnsignedDriverLoaded_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 SecureRequired, UInt8 RequestedSigningLevel, UInt16 ProcessNameLength, UnicodeString ProcessNameBuffer)	UnsignedDriverLoaded		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3002	0	CreateSectionPageHashNotFound(UInt16 FileNameLength, UnicodeString FileNameBuffer)	PageHashNotFound		CreateSection	Error		
Microsoft-Windows-CodeIntegrity	3002	1	CreateSectionPageHashNotFound_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 SecureRequired, UInt8 RequestedSigningLevel, UInt16 ProcessNameLength, UnicodeString ProcessNameBuffer)	PageHashNotFound		CreateSection	Error		
Microsoft-Windows-CodeIntegrity	3003	0	CreateSectionPageHashNotFound_DbgAttached(UInt16 FileNameLength, UnicodeString FileNameBuffer)	PageHashNotFound_DbgAttached		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3003	1	CreateSectionPageHashNotFound_DbgAttached_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 SecureRequired, UInt8 RequestedSigningLevel, UInt16 ProcessNameLength, UnicodeString ProcessNameBuffer)	PageHashNotFound_DbgAttached		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3004	0	CreateSectionFileHashNotFound(UInt16 FileNameLength, UnicodeString FileNameBuffer)	FileHashNotFound		CreateSection	Error		
Microsoft-Windows-CodeIntegrity	3004	1	CreateSectionFileHashNotFound_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 SecureRequired, UInt8 RequestedSigningLevel, UInt16 ProcessNameLength, UnicodeString ProcessNameBuffer)	FileHashNotFound		CreateSection	Error		
Microsoft-Windows-CodeIntegrity	3005	0	CreateSectionFileHashNotFound_DbgAttached(UInt16 FileNameLength, UnicodeString FileNameBuffer)	FileHashNotFound_DbgAttached		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3005	1	CreateSectionFileHashNotFound_DbgAttached_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 SecureRequired, UInt8 RequestedSigningLevel, UInt16 ProcessNameLength, UnicodeString ProcessNameBuffer)	FileHashNotFound_DbgAttached		CreateSection	Warning		
Microsoft-Windows-CodeIntegrity	3006	0	PageHashFoundInCatalog(UInt16 FileNameLength, UnicodeString FileNameBuffer, UInt16 CatalogNameLength, UnicodeString CatalogNameBuffer)			PageHashFoundInCatalog	Informational		
Microsoft-Windows-CodeIntegrity	3007	0	PageHashFoundInImageCertificate(UInt16 FileNameLength, UnicodeString FileNameBuffer)			PageHashFoundInImageCertificate	Informational		
Microsoft-Windows-CodeIntegrity	3008	0	FileHashFoundInCatalog(UInt16 FileNameLength, UnicodeString FileNameBuffer, UInt16 CatalogNameLength, UnicodeString CatalogNameBuffer)			FileHashFoundInCatalog	Informational		
Microsoft-Windows-CodeIntegrity	3009	0	FileHashFoundInImageCertificate(UInt16 FileNameLength, UnicodeString FileNameBuffer)			FileHashFoundInImageCertificate	Informational		
Microsoft-Windows-CodeIntegrity	3010	0	LoadCatalogFailed(UInt16 FileNameLength, UnicodeString FileNameBuffer)	Failed		LoadCatalog	Warning		
Microsoft-Windows-CodeIntegrity	3010	1	LoadCatalogFailed_V1(UInt16 FileNameLength, UnicodeString FileNameBuffer, HexInt32 Status)	Failed		LoadCatalog	Warning		
Microsoft-Windows-CodeIntegrity	3011	0	LoadCatalogStop(UInt16 FileNameLength, UnicodeString FileNameBuffer)	Stop		LoadCatalog	Informational		
Microsoft-Windows-CodeIntegrity	3012	0	LoadCatalogStart(UInt16 FileNameLength, UnicodeString FileNameBuffer)	Start		LoadCatalog	Informational		
Microsoft-Windows-CodeIntegrity	3013	0	ReloadCatalogsStart()	Start		ReloadCatalogs	Informational		
Microsoft-Windows-CodeIntegrity	3014	0	ReloadCatalogsStop(UInt32 Status)	Stop		ReloadCatalogs	Informational		
Microsoft-Windows-CodeIntegrity	3014	1	ReloadCatalogsStop_V1(HexInt32 Status)	Stop		ReloadCatalogs	Informational		
Microsoft-Windows-CodeIntegrity	3015	0	ValidateFileHashStart(UInt16 FileNameLength, UnicodeString FileNameBuffer)	Start		ValidateFileHash	Verbose		
Microsoft-Windows-CodeIntegrity	3016	0	ValidateFileHashStop(UInt32 Status)	Stop		ValidateFileHash	Verbose		
Microsoft-Windows-CodeIntegrity	3016	1	ValidateFileHashStop_V1(HexInt32 Status)	Stop		ValidateFileHash	Verbose		
Microsoft-Windows-CodeIntegrity	3017	0	ValidatePageHashStart(UInt16 FileNameLength, UnicodeString FileNameBuffer)	Start		ValidatePageHash	Verbose		
Microsoft-Windows-CodeIntegrity	3018	0	ValidatePageHashStop(UInt32 Status)	Stop		ValidatePageHash	Verbose		
Microsoft-Windows-CodeIntegrity	3018	1	ValidatePageHashStop_V1(HexInt32 Status)	Stop		ValidatePageHash	Verbose		
