provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-CorruptedFileRecovery-Server	1	0	task_0(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	2	0	task_02(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	3	0	task_03(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	4	0	task_04(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	5	0	task_05(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	6	0	task_06(UnicodeString FileName, UnicodeString AppName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-CorruptedFileRecovery-Server	7	0	task_07(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	8	0	task_08(UnicodeString FileName, UnicodeString AppName)			task_0	Critical		
Microsoft-Windows-CorruptedFileRecovery-Server	9	0	task_09(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	10	0	task_010(UnicodeString FileName, UnicodeString AppName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-CorruptedFileRecovery-Server	11	0	task_011(UnicodeString FileName, UnicodeString AppName)			task_0	Warning		
Microsoft-Windows-CorruptedFileRecovery-Server	12	0	task_012(UnicodeString FilePath, UnicodeString AppName, UnicodeString ProductName, UnicodeString ProductVersion)			task_0	Warning		
Microsoft-Windows-CorruptedFileRecovery-Server	13	0	task_013(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	14	0	task_014(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	15	0	task_015(UnicodeString FilePath, UnicodeString AppName, UnicodeString ProductName, UnicodeString ProductVersion)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	16	0	task_016(UnicodeString FilePath, UnicodeString AppName, UnicodeString ProductName, UnicodeString ProductVersion)			task_0	Informational		
Microsoft-Windows-CorruptedFileRecovery-Server	17	0	task_017(UnicodeString FileName, UnicodeString AppName)			task_0	Informational		
