provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Crypto-DPAPI	1	0	MasterKeyOperation(GUID MasterKeyGUID, UnicodeString UserStorage)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	2	0	MasterKeyOperation2(UnicodeString MasterKeyGUID, UnicodeString UserStorage)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	3	0	MasterKeyOperation3(GUID MasterKeyGUID, Boolean Success, HexInt32 LastError, HexInt32 MasterKeyDisposition)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	4	0	MasterKeyOperation4(HexInt32 Status)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	5	0	MasterKeyOperation5()		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	4097	0	BackUpServiceOperation()		ETW_TASK_BACKUPSERVICE_OPERATION	BackUpServiceOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	4098	0	BackUpServiceOperation4098()		ETW_TASK_BACKUPSERVICE_OPERATION	BackUpServiceOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	4099	0	BackUpServiceOperation4099(UnicodeString FailureReason, HexInt32 Status)		ETW_TASK_BACKUPSERVICE_OPERATION	BackUpServiceOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8193	0	MasterKeyOperation8193(HexInt32 Status)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8194	0	MasterKeyOperation8194(UnicodeString FileName, HexInt32 Access)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8195	0	MasterKeyOperation8195()		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8196	0	MasterKeyOperation8196()		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8197	0	DataProtectionOperation(HexInt32 Status, UInt32 ReasonForFailure)		ETW_TASK_DATAPROTECTION_OPERATION	DataProtectionOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8198	0	DataProtectionOperation8198(HexInt32 Status, UInt32 ReasonForFailure)		ETW_TASK_DATAPROTECTION_OPERATION	DataProtectionOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8199	0	MasterKeyOperation8199(Binary CredKeyIdentifier, UnicodeString UserName, SID UserSid)		ETW_TASK_MASTERKEY_OPERATION	MasterKeyOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8200	0	DiagnosticFileCheck(GUID MasterKeyGUID, GUID EncryptCredID, Binary EncryptCredKey)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Informational		
Microsoft-Windows-Crypto-DPAPI	8201	0	DiagnosticFileCheck8201(GUID MasterKeyGUID)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Error		
Microsoft-Windows-Crypto-DPAPI	8202	0	DiagnosticFileCheck8202(GUID MasterKeyGUID)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Error		
Microsoft-Windows-Crypto-DPAPI	8203	0	DiagnosticFileCheck8203(GUID MasterKeyGUID)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Informational		
Microsoft-Windows-Crypto-DPAPI	8204	0	DiagnosticFileCheck8204(GUID MasterKeyGUID, GUID EncryptCredID, Binary EncryptCredKey, GUID DecryptCredID, Binary DecryptCredKey)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Error		
Microsoft-Windows-Crypto-DPAPI	8205	0	DiagnosticFileCheck8205(GUID MasterKeyGUID, GUID EncryptCredID, Binary EncryptCredKey, GUID DecryptCredID, Binary DecryptCredKey)		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Error		
Microsoft-Windows-Crypto-DPAPI	8206	0	CredentialHistoryFileOperation()		ETW_TASK_CREDHIST_OPERATION	CredentialHistoryFileOperation	Error		
Microsoft-Windows-Crypto-DPAPI	8207	0	DiagnosticFileCheck8207()		ETW_TASK_DIAGNOSTICFILE_CHECK	DiagnosticFileCheck	Error		
Microsoft-Windows-Crypto-DPAPI	12289	0	CredentialKeyOperation(Binary CredKeyIdentifier, UnicodeString UserName, SID UserSid)		ETW_TASK_CREDKEY_OPERATION	CredentialKeyOperation	Informational		
Microsoft-Windows-Crypto-DPAPI	12290	0	CredentialKeyOperation12290()		ETW_TASK_CREDKEY_OPERATION	CredentialKeyOperation	Informational		
