provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DXGI	1	0	FactoryStart(Pointer pIDXGIFactory, UInt32 Mode, UInt32 BlockedAdapters, UnicodeString PnPID, UnicodeString DriverVersion)	Start	Objects	Factory	Always		
Microsoft-Windows-DXGI	2	0	FactoryStop(Pointer pIDXGIFactory, UInt32 Mode, UInt32 BlockedAdapters, UnicodeString PnPID, UnicodeString DriverVersion)	Stop	Objects	Factory	Always		
Microsoft-Windows-DXGI	3	0	FactoryDCStart(Pointer pIDXGIFactory, UInt32 Mode, UInt32 BlockedAdapters, UnicodeString PnPID, UnicodeString DriverVersion)	DC_Start	Objects	Factory	Always		
Microsoft-Windows-DXGI	4	0	AdapterStart(Pointer pIDXGIAdapter, Pointer pIDXGIFactory, UInt32 KMTAdapterHandle, Pointer ThunkDLLHandle, Boolean SharedResources)	Start	Objects	Adapter	Always		
Microsoft-Windows-DXGI	5	0	AdapterStop(Pointer pIDXGIAdapter, Pointer pIDXGIFactory, UInt32 KMTAdapterHandle, Pointer ThunkDLLHandle, Boolean SharedResources)	Stop	Objects	Adapter	Always		
Microsoft-Windows-DXGI	6	0	AdapterDCStart(Pointer pIDXGIAdapter, Pointer pIDXGIFactory, UInt32 KMTAdapterHandle, Pointer ThunkDLLHandle, Boolean SharedResources)	DC_Start	Objects	Adapter	Always		
Microsoft-Windows-DXGI	7	0	OutputStart(Pointer pIDXGIOutput, Pointer pIDXGIAdapter, UInt32 VidPnSourceID, UnicodeString GDIDeviceName)	Start	Objects	Output	Always		
Microsoft-Windows-DXGI	8	0	OutputStop(Pointer pIDXGIOutput, Pointer pIDXGIAdapter, UInt32 VidPnSourceID, UnicodeString GDIDeviceName)	Stop	Objects	Output	Always		
Microsoft-Windows-DXGI	9	0	OutputDCStart(Pointer pIDXGIOutput, Pointer pIDXGIAdapter, UInt32 VidPnSourceID, UnicodeString GDIDeviceName)	DC_Start	Objects	Output	Always		
Microsoft-Windows-DXGI	10	0	SwapChainStart(Pointer pIDXGISwapChain, Pointer pIDXGIFactory, Pointer pIDXGIDevice, Pointer pIDXGIOutput, UInt8 UserBackbufferCount, UInt8 BackbufferCount, Pointer ppBackBuffers, Pointer pPrimary, Pointer pProxyPrimary, UInt32 Width, UInt32 Height, UInt32 RefreshNumerator, UInt32 RefreshDenominator, UInt32 Format, UInt32 ScanlineOrdering, UInt32 Scaling, UInt32 SampleCount, UInt32 SampleQuality, UInt32 Usage, Pointer OutputWindow, Boolean Windowed, UInt32 SwapEffect, UInt32 Flags, Boolean Redirected, UInt64 LogicalSurfaceHandle, UInt64 BindId, Pointer BackbufferHandles, Pointer BackbufferEventHandles, Pointer FenceHandle, UInt64 FenceValue, UInt8 ActualBufferCount, UInt32 ActualSwapEffect, UInt8 WinFlipProxyBufferCount)	Start	Objects	SwapChain	Always		
