provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DataCollectionService	10	0	task_0(UInt32 dwTag, UInt32 dwError)		Error	task_0	Error		
Microsoft-Windows-DataCollectionService	11	0	task_011(UInt32 dwTag, UInt32 hr)		Error	task_0	Error		
Microsoft-Windows-DataCollectionService	12	0	task_012(UInt32 dwTag, UInt32 dwError)		Error	task_0	Warning		
Microsoft-Windows-DataCollectionService	13	0	task_013(UInt32 dwTag, UInt32 hr)		Error	task_0	Warning		
Microsoft-Windows-DataCollectionService	14	0	task_014(UInt32 dwTag)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	15	0	task_015(UInt32 dwTag, UInt32 nInt)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	16	0	task_016(UInt32 dwTag, UnicodeString strString)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	17	0	task_017(UInt32 dwTag, UnicodeString strString, UInt32 nInt)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	18	0	task_018(UInt32 dwTag, UnicodeString strString1, UnicodeString strString2)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	19	0	task_019(UInt32 dwTag, UInt32 nInt, UnicodeString strString)		Error	task_0	Error		
Microsoft-Windows-DataCollectionService	20	0	task_020(UInt32 dwTag, UInt32 nInt1, UInt32 nInt2)		Error	task_0	Error		
Microsoft-Windows-DataCollectionService	100	0	task_0100()		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	101	0	task_0101()		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	102	0	task_0102()		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	103	0	task_0103()		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	104	0	task_0104(UInt32 dwError, UInt8 bFailureReason)		Verbose	task_0	Informational		
Microsoft-Windows-DataCollectionService	105	0	task_0105(UInt32 dwError, UnicodeString szServerName)		Verbose	task_0	Verbose		
Microsoft-Windows-DataCollectionService	106	0	task_0106(UnicodeString szSettingName)		Error	task_0	Error		
Microsoft-Windows-DataCollectionService	120	0	CrowdsourcingService_PrepareUploadStart()	Start	Performance	CrowdsourcingService_PrepareUpload	Informational		
Microsoft-Windows-DataCollectionService	121	0	CrowdsourcingService_PrepareUploadStop()	Stop	Performance	CrowdsourcingService_PrepareUpload	Informational		
Microsoft-Windows-DataCollectionService	130	0	CrowdsourcingService_UploadFilesStart(UInt8 bTriggerSource)	Start	Performance	CrowdsourcingService_UploadFiles	Informational		
Microsoft-Windows-DataCollectionService	131	0	CrowdsourcingService_UploadFilesStop(UInt32 dwNumFilesUploaded)	Stop	Performance	CrowdsourcingService_UploadFiles	Informational		
Microsoft-Windows-DataCollectionService	132	0	CrowdsourcingService_ReadDataFileStart(UnicodeString szHttpObjectNames, UnicodeString szFullpath)	Start	Performance	CrowdsourcingService_ReadDataFile	Verbose		
Microsoft-Windows-DataCollectionService	133	0	CrowdsourcingService_ReadDataFileStop(UInt32 dwError, UInt32 cbFileSize, UInt32 cbRead)	Stop	Performance	CrowdsourcingService_ReadDataFile	Verbose		
Microsoft-Windows-DataCollectionService	134	0	CrowdsourcingService_PostDataFileStart(UnicodeString szHttpObjectName, UInt32 cchHeader, UInt32 cchBody, UnicodeString szHeaders)	Start	Performance	CrowdsourcingService_PostDataFile	Verbose		
Microsoft-Windows-DataCollectionService	135	0	CrowdsourcingService_PostDataFileStop(UInt32 dwError, UInt32 dwHttpStatusCode)	Stop	Performance	CrowdsourcingService_PostDataFile	Verbose		
Microsoft-Windows-DataCollectionService	136	0	CrowdsourcingService_RecieveDataStart(GUID guidSessionId, UInt32 dwPayloadSize)	Start	Performance	CrowdsourcingService_RecieveData	Verbose		
