provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	4	0	task_0()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	5	0	task_05(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	6	0	task_06()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	7	0	task_07(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	8	0	task_08()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	9	0	task_09(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	10	0	task_010()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	11	0	task_011(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	15	0	task_015(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	16	0	task_016()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	17	0	task_017(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	19	0	task_019(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	21	0	task_021(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	23	0	task_023(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	25	0	task_025(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	26	0	task_026(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	32	0	task_032(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	36	0	task_036(UnicodeString Message1, UnicodeString Message2, UnicodeString Message3, HexInt32 HexInt1, HexInt32 HexInt2)			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	37	0	task_037()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	38	0	task_038()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	39	0	task_039()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	42	0	task_042(HexInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	43	0	task_043()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	48	0	task_048()			task_0	Informational		
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider	49	0	task_049(HexInt32 HRESULT)			task_0	Error		
