provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DeviceSetupManager	100	0	task_0(UInt32 Prop_CoreServiceMode, Int64 Prop_Event_Window_Seconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	101	0	task_0101(Int64 Prop_UpTime_Seconds, Int64 Prop_WorkTime_MilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	102	0	task_0102()			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	103	0	task_0103()			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	104	0	task_0104(UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	105	0	task_0105()			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	106	0	task_0106(UInt32 Prop_RetryCycleCount)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	108	0	task_0108(UInt32 Prop_CoreServiceState)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	109	0	task_0109(UInt32 Prop_CoreServiceMode)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	110	0	task_0110(GUID Prop_ContainerId, UInt32 Prop_JobId, UInt32 Prop_JobType)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	111	0	task_0111(GUID Prop_ContainerId, UInt32 Prop_JobId, UInt32 Prop_JobStatus)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	112	0	task_0112(UnicodeString Prop_DeviceName, GUID Prop_ContainerId, Int32 Prop_TaskCount, Int32 Prop_PropertyCount, Int64 Prop_WorkTime_MilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	120	0	task_0120(UnicodeString Prop_PackageId, Int64 Prop_MilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	121	0	task_0121(UnicodeString Prop_DevnodeId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	122	0	task_0122()			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	123	0	task_0123(Int32 Prop_Seconds, UnicodeString Prop_DeviceId)			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	124	0	task_0124(UnicodeString Prop_PackageId, UnicodeString Prop_DeviceInstanceId, Int64 Prop_MilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	125	0	task_0125(UnicodeString Prop_DevnodeId)			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	126	0	task_0126(UnicodeString Prop_DeviceInstanceId, UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	130	0	task_0130(UnicodeString Prop_MetadataPackageId, GUID Prop_ContainerId, Int64 Prop_StageTimeMilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	131	0	task_0131(UnicodeString Prop_ContainerId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	150	0	task_0150(UnicodeString Prop_DeviceName, GUID Prop_ContainerId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	151	0	task_0151(UnicodeString Prop_DeviceName, GUID Prop_ContainerId)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	152	0	task_0152(UnicodeString Prop_DevnodeId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	160	0	task_0160(UnicodeString Prop_SoftwareName, UnicodeString Prop_DeviceInstanceId, UInt64 Prop_InstallTime)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	161	0	task_0161(UnicodeString Prop_SoftwareName, UInt32 Prop_HiHighPartNew, UInt32 Prop_LoHighPartNew, UInt32 Prop_HiLowPartNew, UInt32 Prop_LoLowPartNew, UInt32 Prop_HiHighPartOld, UInt32 Prop_LoHighPartOld, UInt32 Prop_HiLowPartOld, UInt32 Prop_LoLowPartOld)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	162	0	task_0162(UnicodeString Prop_SoftwareName, UInt32 Error)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	163	0	task_0163(UnicodeString Prop_SoftwareName, UInt32 Error, UInt32 ExitCode)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	164	0	task_0164(UnicodeString Prop_SoftwareName, UInt32 Error)			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	165	0	task_0165(UnicodeString Prop_SoftwareName, UnicodeString Prop_CommandLine)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	166	0	task_0166(UnicodeString Prop_DeviceInstanceId, UnicodeString Prop_SoftwareLinks)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	200	0	task_0200()			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	201	0	task_0201()			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	202	0	task_0202()			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	203	0	task_0203()			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	220	0	task_0220(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId, UnicodeString Prop_NotificationHandler)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	221	0	task_0221(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	222	0	task_0222(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-DeviceSetupManager	223	0	task_0223(UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	224	0	task_0224(UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	230	0	task_0230(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	231	0	task_0231(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	232	0	task_0232(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId)			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	233	0	task_0233(UnicodeString Prop_ContainerId, UnicodeString Prop_PackageId)			task_0	Warning		
Microsoft-Windows-DeviceSetupManager	234	0	task_0234(UnicodeString Prop_DevnodeId, Int64 Prop_MilliSeconds)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	300	0	task_0DeviceUxReady(UnicodeString Prop_ContainerId)	DeviceUxReady		task_0	Informational		
Microsoft-Windows-DeviceSetupManager	301	0	task_0DeviceSetupComplete(UnicodeString Prop_ContainerId)	DeviceSetupComplete		task_0	Informational		
Microsoft-Windows-DeviceSetupManager	302	0	task_0302(UnicodeString Prop_ContainerId, UnicodeString Prop_ServiceInfoNamespace, UnicodeString Prop_CultureCode)			task_0	Informational		
Microsoft-Windows-DeviceSetupManager	400	0	DeviceSetupTaskStart(GUID Prop_ContainerId)	Start		DeviceSetupTask	Informational		
Microsoft-Windows-DeviceSetupManager	401	0	DeviceSetupTaskStop(GUID Prop_ContainerId)	Stop		DeviceSetupTask	Informational		
Microsoft-Windows-DeviceSetupManager	402	0	DownloadDriverTaskStart(UnicodeString Prop_DevnodeId)	Start		DownloadDriverTask	Informational		
Microsoft-Windows-DeviceSetupManager	403	0	DownloadDriverTaskStop(UnicodeString Prop_DevnodeId, UInt32 HRESULT)	Stop		DownloadDriverTask	Informational		
Microsoft-Windows-DeviceSetupManager	404	0	BuildDriverListTaskStart(UnicodeString Prop_PackagePath)	Start		BuildDriverListTask	Informational		
Microsoft-Windows-DeviceSetupManager	405	0	BuildDriverListTaskStop(UnicodeString Prop_PackagePath)	Stop		BuildDriverListTask	Informational		
Microsoft-Windows-DeviceSetupManager	406	0	InstallDriverTaskStart(UnicodeString Prop_DevnodeId)	Start		InstallDriverTask	Informational		
Microsoft-Windows-DeviceSetupManager	407	0	InstallDriverTaskStop(UnicodeString Prop_DevnodeId, UInt32 HRESULT)	Stop		InstallDriverTask	Informational		
Microsoft-Windows-DeviceSetupManager	408	0	MetadataInstallTaskStart(UnicodeString Prop_ContainerId)	Start		MetadataInstallTask	Informational		
Microsoft-Windows-DeviceSetupManager	409	0	MetadataInstallTaskStop(UnicodeString Prop_ContainerId)	Stop		MetadataInstallTask	Informational		
Microsoft-Windows-DeviceSetupManager	410	0	InstallDriverUpdateTaskStart(UnicodeString Prop_DevnodeId)	Start		InstallDriverUpdateTask	Informational		
Microsoft-Windows-DeviceSetupManager	411	0	InstallDriverUpdateTaskStop(UnicodeString Prop_DevnodeId, UInt32 HRESULT)	Stop		InstallDriverUpdateTask	Informational		
Microsoft-Windows-DeviceSetupManager	412	0	InstallSoftwareStart(UnicodeString Prop_DevnodeId)	Start		InstallSoftware	Informational		
Microsoft-Windows-DeviceSetupManager	413	0	InstallSoftwareStop(UnicodeString Prop_DevnodeId)	Stop		InstallSoftware	Informational		
Microsoft-Windows-DeviceSetupManager	7710	0	SearchWindowsUpdateStart()	Start		SearchWindowsUpdate	Informational		
Microsoft-Windows-DeviceSetupManager	7711	0	SearchWindowsUpdateStop()	Stop		SearchWindowsUpdate	Informational		
Microsoft-Windows-DeviceSetupManager	7712	0	DownloadFromWindowsUpdateStart()	Start		DownloadFromWindowsUpdate	Informational		
Microsoft-Windows-DeviceSetupManager	7713	0	DownloadFromWindowsUpdateStop()	Stop		DownloadFromWindowsUpdate	Informational		
Microsoft-Windows-DeviceSetupManager	7714	0	InstallFromWindowsUpdateStart()	Start		InstallFromWindowsUpdate	Informational		
Microsoft-Windows-DeviceSetupManager	7715	0	InstallFromWindowsUpdateStop()	Stop		InstallFromWindowsUpdate	Informational		
