provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DeviceSync	100	0	SI_CreateStart()	Start		SI_Create	Informational		
Microsoft-Windows-DeviceSync	101	0	SI_CreateStop()	Stop		SI_Create	Informational		
Microsoft-Windows-DeviceSync	102	0	SI_Request_Start_SyncStart()	Start		SI_Request_Start_Sync	Informational		
Microsoft-Windows-DeviceSync	103	0	SI_Request_Start_SyncStop()	Stop		SI_Request_Start_Sync	Informational		
Microsoft-Windows-DeviceSync	104	0	SI_Request_Stop_SyncStart()	Start		SI_Request_Stop_Sync	Informational		
Microsoft-Windows-DeviceSync	105	0	SI_Request_Stop_SyncStop()	Stop		SI_Request_Stop_Sync	Informational		
Microsoft-Windows-DeviceSync	106	0	SI_Device_ConnectionStart()	Start		SI_Device_Connection	Informational		
Microsoft-Windows-DeviceSync	107	0	SI_Device_ConnectionStop()	Stop		SI_Device_Connection	Informational		
Microsoft-Windows-DeviceSync	108	0	SI_Query_StatusStart()	Start		SI_Query_Status	Informational		
Microsoft-Windows-DeviceSync	109	0	SI_Query_StatusStop()	Stop		SI_Query_Status	Informational		
Microsoft-Windows-DeviceSync	110	0	SI_Query_ServiceStart()	Start		SI_Query_Service	Informational		
Microsoft-Windows-DeviceSync	111	0	SI_Query_ServiceStop()	Stop		SI_Query_Service	Informational		
Microsoft-Windows-DeviceSync	112	0	SI_State_ChangeStart()	Start		SI_State_Change	Informational		
Microsoft-Windows-DeviceSync	113	0	SI_State_ChangeStop()	Stop		SI_State_Change	Informational		
Microsoft-Windows-DeviceSync	114	0	SI_SyncStart()	Start		SI_Sync	Informational		
Microsoft-Windows-DeviceSync	115	0	SI_SyncStop()	Stop		SI_Sync	Informational		
Microsoft-Windows-DeviceSync	116	0	SI_Subscribe_EventsStart()	Start		SI_Subscribe_Events	Informational		
Microsoft-Windows-DeviceSync	117	0	SI_Subscribe_EventsStop()	Stop		SI_Subscribe_Events	Informational		
Microsoft-Windows-DeviceSync	118	0	SI_Unsubscribe_EventsStart()	Start		SI_Unsubscribe_Events	Informational		
Microsoft-Windows-DeviceSync	119	0	SI_Unsubscribe_EventsStop()	Stop		SI_Unsubscribe_Events	Informational		
Microsoft-Windows-DeviceSync	200	0	MediaSync_StartSyncStart()	Start		MediaSync_StartSync	Informational		
Microsoft-Windows-DeviceSync	201	0	MediaSync_StartSyncStop()	Stop		MediaSync_StartSync	Informational		
Microsoft-Windows-DeviceSync	202	0	MediaSync_StopSyncStart()	Start		MediaSync_StopSync	Informational		
Microsoft-Windows-DeviceSync	203	0	MediaSync_StopSyncStop()	Stop		MediaSync_StopSync	Informational		
Microsoft-Windows-DeviceSync	204	0	MediaSync_SyncStateStart()	Start		MediaSync_SyncState	Informational		
Microsoft-Windows-DeviceSync	205	0	MediaSync_SyncStateStop()	Stop		MediaSync_SyncState	Informational		
Microsoft-Windows-DeviceSync	206	0	MediaSync_CreateOCXStart()	Start		MediaSync_CreateOCX	Informational		
Microsoft-Windows-DeviceSync	207	0	MediaSync_CreateOCXStop()	Stop		MediaSync_CreateOCX	Informational		
Microsoft-Windows-DeviceSync	208	0	MediaSync_SupportedContentStart()	Start		MediaSync_SupportedContent	Informational		
Microsoft-Windows-DeviceSync	209	0	MediaSync_SupportedContentStop()	Stop		MediaSync_SupportedContent	Informational		
Microsoft-Windows-DeviceSync	210	0	MediaSync_RemovePartnershipStart()	Start		MediaSync_RemovePartnership	Informational		
