provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5016	0	task_0(AnsiString FileName, UInt32 Line, Pointer Address, Pointer Size)		memory	task_0	Always		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5017	0	task_05017(AnsiString FileName, UInt32 Line, Pointer Address)		memory	task_0	Always		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5018	0	task_05018(AnsiString FileName, UInt32 Line, Pointer Address, Pointer Size, Pointer OrigAddress)		memory	task_0	Always		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5100	0	ListUpdate(UInt32 TableId, UInt32 ItemPos, UInt32 ItemState, UnicodeString ItemContent)	Update	list	ListUpdate	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5101	0	ListUpdateInsert(UInt32 TableId, UInt32 ItemPos, UInt32 ItemState, UnicodeString ItemContent)	Insert	list	ListUpdate	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5102	0	ListUpdateDelete(UInt32 TableId, UInt32 ItemPos, UInt32 ItemState, UnicodeString ItemContent)	Delete	list	ListUpdate	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5103	0	task_05103(AnsiString FileName, AnsiString Function, UInt32 Line, UnicodeString ErrorText)		error	task_0	Error		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5200	0	PerfTrack_TM8_LaunchStart()	Start		PerfTrack_TM8_Launch	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5201	0	PerfTrack_TM8_LaunchStop()	Stop		PerfTrack_TM8_Launch	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5202	0	PerfTrack_TM8_TabSwitchStart(UInt32 TabId)	Start		PerfTrack_TM8_TabSwitch	Informational		
Microsoft-Windows-Diagnosis-AdvancedTaskManager	5203	0	PerfTrack_TM8_TabSwitchStop(UInt32 TabId)	Stop		PerfTrack_TM8_TabSwitch	Informational		
