provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Diagnosis-DPS	1	0	DPSInitializationTheDiagnosticPolicyServicestarted()	TheDiagnosticPolicyServicestarted	scenario	DPSInitialization	Verbose		
Microsoft-Windows-Diagnosis-DPS	2	0	DPSInitializationTheDiagnosticPolicyServicestarted2()	TheDiagnosticPolicyServicestarted	scenario	DPSInitialization	Verbose		
Microsoft-Windows-Diagnosis-DPS	5	0	DPSInitializationAdiagnosticscenariowasmisconfigured(GUID ScenarioId)	Adiagnosticscenariowasmisconfigured	lifecycle	DPSInitialization	Warning		
Microsoft-Windows-Diagnosis-DPS	100	0	ScenarioLifecycleAdiagnosticmoduledetectedaproblem(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Adiagnosticmoduledetectedaproblem	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	105	0	ScenarioLifecycleAscenarioinstancewasdispatchedfortroubleshooting(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Ascenarioinstancewasdispatchedfortroubleshooting	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	110	0	ScenarioLifecycleAdiagnosticmodulecompletedtroubleshootingwithoutsettingaresolution(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Adiagnosticmodulecompletedtroubleshootingwithoutsettingaresolution	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	115	0	ScenarioLifecycleAdiagnosticmodulecompletedtroubleshootingandsetanimmediateresolution(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID ResolutionId, SID ResolutionSID, UInt32 ResolutionSessionId, FILETIME ResolutionExpirationDate, GUID DiagnosticModuleId)	Adiagnosticmodulecompletedtroubleshootingandsetanimmediateresolution	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	120	0	ScenarioLifecycleAdiagnosticmodulefinishedtroubleshootingandsetanqueuedresolution(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID ResolutionId, SID ResolutionSID, UInt32 ResolutionSessionId, FILETIME ResolutionExpirationDate, GUID DiagnosticModuleId)	Adiagnosticmodulefinishedtroubleshootingandsetanqueuedresolution	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	125	0	ScenarioLifecycleAscenarioinstancewasdispatchedforresolution(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Ascenarioinstancewasdispatchedforresolution	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	126	0	ScenarioLifecycleAdiagnosticmodulequeueditselfforlaterinvocation(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Adiagnosticmodulequeueditselfforlaterinvocation	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	130	0	ScenarioLifecycleAdiagnosticmodulecompletedresolution(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Adiagnosticmodulecompletedresolution	lifecycle	ScenarioLifecycle	Informational		
Microsoft-Windows-Diagnosis-DPS	135	0	ScenarioLifecycleTheDiagnosticPolicyServicewasnotabletoinstantiateadiagnosticmodulehost(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UInt32 StatusCode, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	TheDiagnosticPolicyServicewasnotabletoinstantiateadiagnosticmodulehost	lifecycle	ScenarioLifecycle	Error		
Microsoft-Windows-Diagnosis-DPS	140	0	DebugtaskDebugevent(UnicodeString FileName, UnicodeString FunctionName, Int32 LineNumber, UnicodeString ErrorMessage)	Debugevent	debug	Debugtask	Error		
Microsoft-Windows-Diagnosis-DPS	145	0	DebugtaskThiseventisraisedattheServiceMainfortheservice()	ThiseventisraisedattheServiceMainfortheservice	perf	Debugtask	Verbose		
Microsoft-Windows-Diagnosis-DPS	150	0	DebugtaskThiseventisraisedwhentheDPSsignalsitsstatusasRUNNINGtotheSCM()	ThiseventisraisedwhentheDPSsignalsitsstatusasRUNNINGtotheSCM	perf	Debugtask	Verbose		
Microsoft-Windows-Diagnosis-DPS	155	0	DebugtaskThiseventisraisedwhentheservicereceivesashutdown/stopnotificationfromtheSCM()	Thiseventisraisedwhentheservicereceivesashutdown/stopnotificationfromtheSCM	perf	Debugtask	Verbose		
Microsoft-Windows-Diagnosis-DPS	160	0	DebugtaskThiseventisraisedwhentheserviceissuccessfullystopped()	Thiseventisraisedwhentheserviceissuccessfullystopped	perf	Debugtask	Verbose		
Microsoft-Windows-Diagnosis-DPS	165	0	ScenarioLifecycleThiseventisraisedwhenascenariofails(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UInt32 StatusCode, UnicodeString DiagnosticModuleImageName, GUID DiagnosticModuleId)	Thiseventisraisedwhenascenariofails	lifecycle	ScenarioLifecycle	Warning		
Microsoft-Windows-Diagnosis-DPS	170	0	ScenarioLifecycleThiseventisraisedwhenascenariofails170(GUID ScenarioId, GUID InstanceId, GUID OriginalActivityId, UnicodeString DiagnosticModuleImageName, Int32 StatusCode, GUID DiagnosticModuleId)	Thiseventisraisedwhenascenariofails	lifecycle	ScenarioLifecycle	Warning		
