provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Diagnosis-Scheduled	1	0	task_0()		notification	task_0	Critical		
Microsoft-Windows-Diagnosis-Scheduled	2	0	task_02()		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	3	0	task_03()		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	4	0	task_04()		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	5	0	task_05(UnicodeString PackagePath)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	6	0	task_06(UnicodeString PackageID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	7	0	task_07(UnicodeString PackageID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	8	0	task_08(UnicodeString PackageID, Int32 RootCauseCount)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	9	0	task_09(UnicodeString RootCauseID, UnicodeString RootCauseName, UnicodeString RootCauseDescription)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	10	0	task_010(UnicodeString RootCauseID, UnicodeString ResolutionID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	11	0	task_011(UnicodeString RootCauseID, UnicodeString ResolutionID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	12	0	task_012(UnicodeString RootCauseID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	13	0	task_013(UnicodeString RootCauseID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	14	0	task_014(UnicodeString RootCauseID)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	15	0	task_015(UnicodeString PackageID, UInt32 ErrorCode)		lifecycle	task_0	Informational		
Microsoft-Windows-Diagnosis-Scheduled	96	0	task_096(UInt32 hc_stateid, UnicodeString Data1, UnicodeString Data2)		notification	task_0	Critical		
Microsoft-Windows-Diagnosis-Scheduled	97	0	task_097(UInt32 hc_stateid)		notification	task_0	Critical		
Microsoft-Windows-Diagnosis-Scheduled	98	0	task_098(UInt32 hc_stateid, UnicodeString Data1, UnicodeString Data2)		notification	task_0	Critical		
Microsoft-Windows-Diagnosis-Scheduled	99	0	task_099(UInt32 hc_stateid)		notification	task_0	Critical		
Microsoft-Windows-Diagnosis-Scheduled	100	0	task_0100(UInt32 hc_stateid)		notification	task_0	Critical		
