provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Direct3D12	1	0	Name(Pointer pObject, UInt32 CchOldDebugObjectName, AnsiString OldDebugObjectName, UInt32 CchNewDebugObjectName, AnsiString NewDebugObjectName)		Names	Name	Always		
Microsoft-Windows-Direct3D12	2	0	NameDCStart(Pointer pObject, UInt32 CchDebugObjectName, AnsiString DebugObjectName)	DC_Start	Names	Name	Always		
Microsoft-Windows-Direct3D12	3	0	DeviceStart(Pointer pID3D12Device, UInt32 FeatureLevel, UInt32 hKMAdapter, Pointer hUMAdapter, UInt64 UMAdapterVersion, UInt32 hKMDevice, UInt64 UMDeviceVersion)	Start	Devices ObjectLifetime	Device	Always		
Microsoft-Windows-Direct3D12	4	0	DeviceStop(Pointer pID3D12Device, UInt32 FeatureLevel, UInt32 hKMAdapter, Pointer hUMAdapter, UInt64 UMAdapterVersion, UInt32 hKMDevice, UInt64 UMDeviceVersion)	Stop	Devices ObjectLifetime	Device	Always		
Microsoft-Windows-Direct3D12	5	0	DeviceDCStart(Pointer pID3D12Device, UInt32 FeatureLevel, UInt32 hKMAdapter, Pointer hUMAdapter, UInt64 UMAdapterVersion, UInt32 hKMDevice, UInt64 UMDeviceVersion)	DC_Start	Devices ObjectLifetime	Device	Always		
Microsoft-Windows-Direct3D12	19	0	Device(Pointer SemaphoreHandle, UInt32 AdjustValue, UInt32 PresentCount)		Devices	Device	Always		
Microsoft-Windows-Direct3D12	26	0	D3DSupplemental(UInt32 BufferSize, Binary Buffer)			D3DSupplemental	Always		
Microsoft-Windows-Direct3D12	35	0	Marker(Pointer pID3D12CommandQueue, UInt32 Metadata, UInt32 DataSize, UInt8 Data)		Markers	Marker	Always		
Microsoft-Windows-Direct3D12	36	0	MarkerStart(Pointer pID3D12CommandQueue, UInt32 Metadata, UInt32 DataSize, UInt8 Data)	Start	Markers	Marker	Always		
Microsoft-Windows-Direct3D12	37	0	MarkerStop(Pointer pID3D12CommandQueue)	Stop	Markers	Marker	Always		
Microsoft-Windows-Direct3D12	38	0	Marker38(Pointer pID3D12CommandList, UInt64 APISequenceNumber, UInt32 Metadata, UInt32 DataSize, UInt8 Data)		Markers	Marker	Always		
Microsoft-Windows-Direct3D12	39	0	RuntimeMarker(UInt64 CPUFrequency, UInt64 FirstAPISequenceNumber, Pointer pID3D12CommandList, UInt32 CPUTimeHigh, UInt8 ThreadIDCount, UInt32 ThreadIDs, UInt32 DataSize, UInt8 Data)		RenderOperationMarkers	RuntimeMarker	Always		
Microsoft-Windows-Direct3D12	40	0	RuntimeDroppedCall(Pointer pID3D12DeviceContext, UInt32 Type)		RenderOperationMarkers	RuntimeDroppedCall	Always		
