provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Direct3DShaderCache	1	0	ShaderCacheStart(Pointer Cache, UInt32 Type, UInt32 Flags)	Start	Objects	ShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	2	0	ShaderCacheStop(Pointer Cache, UInt32 Type, UInt32 Flags)	Stop	Objects	ShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	3	0	ShaderCacheDCStart(Pointer Cache, UInt32 Type, UInt32 Flags)	DC_Start	Objects	ShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	4	0	CreateShaderCacheStart(UInt32 Flags, UInt32 ExternalFileVersion, UnicodeString Filename, UInt32 FileCreateDisposition, UInt32 Mode, UInt32 MaximumInMemoryCacheSizeBytes, UInt32 MaximumInMemoryCacheEntries, UInt32 MaximumWriteQueueBytes, UInt32 MaximumWriteQueueNumEntries, UInt32 MaximumValueFileSizeBytes)	Start	APIs Profiling	CreateShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	5	0	CreateShaderCacheStop(Int32 Return, Pointer Cache)	Stop	APIs Profiling	CreateShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	6	0	DestroyShaderCacheStart(Pointer Cache)	Start	APIs Profiling	DestroyShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	7	0	DestroyShaderCacheStop()	Stop	APIs Profiling	DestroyShaderCache	Always		
Microsoft-Windows-Direct3DShaderCache	8	0	FindValueStart(Pointer Cache, UInt32 NumKeyParts, UInt8 KeyParts, Binary PrecomputedHash)	Start	APIs Profiling	FindValue	Always		
Microsoft-Windows-Direct3DShaderCache	9	0	FindValueStop(Int32 Return, Pointer FoundValue, UInt32 FoundValueSize)	Stop	APIs Profiling	FindValue	Always		
Microsoft-Windows-Direct3DShaderCache	10	0	AddValueStart(Pointer Cache, UInt32 NumKeyParts, UInt16 KeyParts, Binary PrecomputedHash, Pointer Value, UInt32 ValueSize)	Start	APIs Profiling	AddValue	Always		
Microsoft-Windows-Direct3DShaderCache	11	0	AddValueStop(Int32 Return)	Stop	APIs Profiling	AddValue	Always		
Microsoft-Windows-Direct3DShaderCache	12	0	FreeFoundValueStart(Pointer Value, UInt32 ValueSize)	Start	APIs Profiling	FreeFoundValue	Always		
Microsoft-Windows-Direct3DShaderCache	13	0	FreeFoundValueStop()	Stop	APIs Profiling	FreeFoundValue	Always		
