provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DirectComposition	1	0	RESOURCE_CREATION(UInt32 channelHandle, UInt32 resourceHandle, UInt64 externalHandleAndChannel, UInt32 resourceType, Boolean createShared, Boolean openShared, UInt64 resourcePointer)		DCompBasic DCompInput	RESOURCE_CREATION	Verbose		
Microsoft-Windows-DirectComposition	2	0	BEGIN_DRAWStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer, Int32 left, Int32 top, Int32 right, Int32 bottom)	Start	DCompBasic DCompMemory	BEGIN_DRAW	Verbose		
Microsoft-Windows-DirectComposition	3	0	BEGIN_DRAWStop()	Stop	DCompBasic	BEGIN_DRAW	Verbose		
Microsoft-Windows-DirectComposition	4	0	END_DRAWStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic	END_DRAW	Verbose		
Microsoft-Windows-DirectComposition	5	0	END_DRAWStop()	Stop	DCompBasic	END_DRAW	Verbose		
Microsoft-Windows-DirectComposition	6	0	TRIMStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic DCompMemory	TRIM	Verbose		
Microsoft-Windows-DirectComposition	7	0	TRIMStop()	Stop	DCompBasic	TRIM	Verbose		
Microsoft-Windows-DirectComposition	8	0	RESIZEStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic DCompMemory	RESIZE	Verbose		
Microsoft-Windows-DirectComposition	9	0	RESIZEStop()	Stop	DCompBasic	RESIZE	Verbose		
Microsoft-Windows-DirectComposition	10	0	UPDATE_TOKENStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic	UPDATE_TOKEN	Verbose		
Microsoft-Windows-DirectComposition	11	0	UPDATE_TOKENStop()	Stop	DCompBasic	UPDATE_TOKEN	Verbose		
Microsoft-Windows-DirectComposition	12	0	SUSPEND_DRAWStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic	SUSPEND_DRAW	Verbose		
Microsoft-Windows-DirectComposition	13	0	SUSPEND_DRAWStop()	Stop	DCompBasic	SUSPEND_DRAW	Verbose		
Microsoft-Windows-DirectComposition	14	0	RESUME_DRAWStart(UInt32 channelHandle, UInt32 resourceType, UInt64 resourcePointer)	Start	DCompBasic	RESUME_DRAW	Verbose		
