provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DirectShow-KernelSupport	1	0	KSProxyInfoEnter()	Enter		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	2	0	KSProxyInfoExit()	Exit		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	3	0	KSProxyInfoEnter3()	Enter		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	4	0	KSProxyInfoExit4()	Exit		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	5	0	KSProxyInfoEnter5()	Enter		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	6	0	KSProxyInfoExit6()	Exit		KSProxyInfo	Informational		
Microsoft-Windows-DirectShow-KernelSupport	7	0	KSProxyBuffer(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	8	0	KSProxyBuffer8(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	9	0	KSProxyBuffer9(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	10	0	KSProxyBuffer10(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	11	0	KSProxyBuffer11(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	12	0	KSProxyBuffer12(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
Microsoft-Windows-DirectShow-KernelSupport	13	0	KSProxyBuffer13(Pointer Buffer, Int64 TimeStamp)			KSProxyBuffer	Verbose		
