provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DirectWrite-FontCache	100	0	task_0(UInt32 HRESULT, UInt32 Type, UInt32 HashCode, UInt32 KeySize, Binary KeyData)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	101	0	task_0101(UInt32 HRESULT)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	102	0	task_0102(UInt32 HRESULT, UInt32 Type, UInt32 HashCode, UInt32 KeySize, Binary KeyData)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	103	0	task_0103(UInt32 HRESULT, UInt32 MessageSize, Binary MessageData, UInt32 MessageAttributesSize, Binary MessageAttributesData)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	104	0	task_0104(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	105	0	task_0105(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	106	0	task_0106(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	107	0	task_0107()		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	108	0	task_0108(UInt32 HRESULT)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	109	0	task_0109()		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	110	0	task_0110(UInt32 HRESULT)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	111	0	task_0111(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	112	0	task_0112(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	113	0	task_0113(UInt32 HRESULT, UnicodeString FileName)		core	task_0	Informational		
Microsoft-Windows-DirectWrite-FontCache	114	0	task_0114(UInt32 TaskID, UInt32 TaskParam, UInt32 HRESULT)			task_0	Error		
