provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Disk	1	1	DiskCacheInformationOpCodeDiskCacheInfo_V1(UInt8 ReadCacheEnabled, UInt8 WriteCacheEnabled, UInt8 ReadRetentionPriority, UInt8 WriteRetentionPriority, UInt8 PrefetchScalar, UInt16 DisablePrefetchTransferLength, UInt16 Minimum, UInt16 Maximum, UInt16 MaximumBlocks, UInt32 DeviceNumber)	OpCodeDiskCacheInfo	DiskCache	DiskCacheInformation	Informational		
Microsoft-Windows-Disk	201	1	Class_V1(UInt32 DeviceNumber, UInt64 RequestDuration, Pointer Irp, UInt8 Command, UInt8 SrbStatus)		IO_Performance	Class	Informational		
Microsoft-Windows-Disk	202	1	ClassDispatchingofrequest._V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Read	Class	Informational		
Microsoft-Windows-Disk	203	1	ClassDispatchingofrequest.203_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Write	Class	Informational		
Microsoft-Windows-Disk	204	1	ClassDispatchingofrequest.204_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Read PagingRead	Class	Informational		
Microsoft-Windows-Disk	205	1	ClassDispatchingofrequest.205_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Write PagingWrite	Class	Informational		
Microsoft-Windows-Disk	206	1	ClassDispatchingofrequest.206_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Read LowMemoryRead	Class	Informational		
Microsoft-Windows-Disk	207	1	ClassDispatchingofrequest.207_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Write LowMemoryWrite	Class	Informational		
Microsoft-Windows-Disk	208	1	ClassCompletionofrequest._V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 NTStatus, UInt8 SrbStatus, UInt8 ScsiStatus, UInt8 SenseKey, UInt8 AddSense, UInt8 AddSenseQ)	Completionofrequest.	Read Write PagingRead PagingWrite LowMemoryRead LowMemoryWrite	Class	Informational		
Microsoft-Windows-Disk	209	1	ClassRetryhandling._V1(UInt32 DeviceNumber, Pointer Irp, UInt32 CurrentRetryCount)	Retryhandling.	Read Write PagingRead PagingWrite LowMemoryRead LowMemoryWrite	Class	Informational		
Microsoft-Windows-Disk	210	1	Class210_V1(UInt32 DeviceNumber, Pointer Irp, UInt8 Bus, UInt8 Target, UInt8 LUN)		Flush	Class	Informational		
Microsoft-Windows-Disk	211	1	ClassCompletionofrequest.211_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 NTStatus, UInt8 SrbStatus, UInt8 ScsiStatus, UInt8 SenseKey, UInt8 AddSense, UInt8 AddSenseQ)	Completionofrequest.	Flush	Class	Informational		
Microsoft-Windows-Disk	212	1	ClassDispatchingofrequest.212_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 MajorFunction, HexInt32 MinorFunction, HexInt32 Parameter)	Dispatchingofrequest.	IOCTL	Class	Informational		
Microsoft-Windows-Disk	213	1	ClassDispatchingofrequest.213_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 MajorFunction, HexInt32 MinorFunction, HexInt32 Parameter)	Dispatchingofrequest.	WMI	Class	Informational		
Microsoft-Windows-Disk	214	1	ClassCompletionofrequest.214_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 Status)	Completionofrequest.	IOCTL WMI	Class	Informational		
Microsoft-Windows-Disk	215	1	ClassDispatchingofrequest.215_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 MinorFunction, UInt8 Type, HexInt32 OldState, HexInt32 NewState, HexInt32 Action, HexInt32 PowerStateContext)	Dispatchingofrequest.	Power	Class	Informational		
Microsoft-Windows-Disk	216	1	ClassCompletionofrequest.216_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 Status)	Completionofrequest.	Power	Class	Informational		
Microsoft-Windows-Disk	217	1	ClassDispatchingofrequest.217_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 MinorFunction, HexInt32 Type, Pointer DeviceObject)	Dispatchingofrequest.	PnP	Class	Informational		
Microsoft-Windows-Disk	218	1	ClassCompletionofrequest.218_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 Status)	Completionofrequest.	PnP	Class	Informational		
Microsoft-Windows-Disk	219	1	ClassCompletionofrequest.219_V1(UInt32 DeviceNumber, Pointer Irp, UInt32 NumberOfChildren, HexInt32 Status)	Completionofrequest.	PnP Enum	Class	Informational		
Microsoft-Windows-Disk	220	1	ClassQueue_relatedoperation._V1(UInt32 DeviceNumber, HexInt32 QueueTag, UInt8 Operation, HexInt32 Status)	Queue_relatedoperation.	Queue	Class	Informational		
Microsoft-Windows-Disk	221	1	ClassDispatchingofrequest.221_V1(UInt32 DeviceNumber, Pointer Irp, HexInt32 MajorFunction, HexInt32 MinorFunction, HexInt32 Parameter)	Dispatchingofrequest.	PassThrough IOCTL	Class	Informational		
