provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Display	101	0	DisplayCpl_InitializePageStart()	Start		DisplayCpl_InitializePage	Informational		
Microsoft-Windows-Display	102	0	DisplayCpl_InitializePageStop()	Stop		DisplayCpl_InitializePage	Informational		
Microsoft-Windows-Display	105	0	DisplayCpl_OpenCustomDPIDialogStart()	Start	DisplayCPL	DisplayCpl_OpenCustomDPIDialog	Informational		
Microsoft-Windows-Display	106	0	DisplayCpl_OpenCustomDPIDialogStop()	Stop	DisplayCPL	DisplayCpl_OpenCustomDPIDialog	Informational		
Microsoft-Windows-Display	113	0	DisplayCpl_ApplyButtonClickedStart()	Start	DisplayCPL	DisplayCpl_ApplyButtonClicked	Informational		
Microsoft-Windows-Display	114	0	DisplayCpl_ApplyButtonClickedShowrestartprompt()	Showrestartprompt	DisplayCPL	DisplayCpl_ApplyButtonClicked	Informational		
Microsoft-Windows-Display	115	0	DisplayCpl_ApplyButtonClickedStop()	Stop	DisplayCPL	DisplayCpl_ApplyButtonClicked	Informational		
Microsoft-Windows-Display	120	0	DisplayCpl_SettingsPage_EnumAllDisplaysStart()	Start	DisplayCPL	DisplayCpl_SettingsPage_EnumAllDisplays	Informational		
Microsoft-Windows-Display	121	0	DisplayCpl_SettingsPage_EnumAllDisplaysStop()	Stop	DisplayCPL	DisplayCpl_SettingsPage_EnumAllDisplays	Informational		
Microsoft-Windows-Display	129	0	DisplayCpl_EnumerateStereo3DModesStart()	Start	DisplayCPL	DisplayCpl_EnumerateStereo3DModes	Informational		
Microsoft-Windows-Display	130	0	DisplayCpl_EnumerateStereo3DModesStop()	Stop	DisplayCPL	DisplayCpl_EnumerateStereo3DModes	Informational		
