provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DisplaySwitch	1	0	DisplaySwitch_ApplicationStart()	Start		DisplaySwitch_Application	Informational		
Microsoft-Windows-DisplaySwitch	2	0	DisplaySwitch_ApplicationStop()	Stop		DisplaySwitch_Application	Informational		
Microsoft-Windows-DisplaySwitch	3	0	DisplaySwitch_CreateAndShowStart()	Start		DisplaySwitch_CreateAndShow	Informational		
Microsoft-Windows-DisplaySwitch	4	0	DisplaySwitch_CreateAndShowStop()	Stop		DisplaySwitch_CreateAndShow	Informational		
Microsoft-Windows-DisplaySwitch	5	0	ProjectionUI_InitializationStart()	Start		ProjectionUI_Initialization	Informational		
Microsoft-Windows-DisplaySwitch	6	0	ProjectionUI_InitializationStop()	Stop		ProjectionUI_Initialization	Informational		
Microsoft-Windows-DisplaySwitch	7	0	ProjectionUI_Selector_CreateAndShowStart()	Start		ProjectionUI_Selector_CreateAndShow	Informational		
Microsoft-Windows-DisplaySwitch	8	0	ProjectionUI_Selector_CreateAndShowStop()	Stop		ProjectionUI_Selector_CreateAndShow	Informational		
Microsoft-Windows-DisplaySwitch	9	0	ProjectionUI_Confirmation_CreateAndShowStart()	Start		ProjectionUI_Confirmation_CreateAndShow	Informational		
Microsoft-Windows-DisplaySwitch	10	0	ProjectionUI_Confirmation_CreateAndShowStop()	Stop		ProjectionUI_Confirmation_CreateAndShow	Informational		
