provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DistributedCOM	10000	0	task_0(UnicodeString param1, UnicodeString param2, UnicodeString param3)			task_0	Error		
Microsoft-Windows-DistributedCOM	10001	0	task_010001(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)			task_0	Error		
Microsoft-Windows-DistributedCOM	10002	0	task_0PCODE_192pcode_192(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10003	0	task_0PCODE_192pcode_19210003(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10004	0	task_010004(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)			task_0	Error		
Microsoft-Windows-DistributedCOM	10005	0	task_010005(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)			task_0	Error		
Microsoft-Windows-DistributedCOM	10006	0	task_010006(UnicodeString param1, UnicodeString param2, UnicodeString param3)			task_0	Error		
Microsoft-Windows-DistributedCOM	10007	0	task_0PCODE_192pcode_19210007(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10008	0	task_010008(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)			task_0	Error		
Microsoft-Windows-DistributedCOM	10009	0	task_0PCODE_192pcode_19210009(UnicodeString param1, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10010	0	task_010010(UnicodeString param1)			task_0	Error		
Microsoft-Windows-DistributedCOM	10011	0	task_0PCODE_192pcode_19210011(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10012	0	task_0PCODE_192pcode_19210012(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-DistributedCOM	10014	0	task_010014(UnicodeString param1)			task_0	Error		
Microsoft-Windows-DistributedCOM	10015	0	task_010015(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8, UnicodeString param9, UnicodeString param10)			task_0	Error		
Microsoft-Windows-DistributedCOM	10016	0	task_010016(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8, UnicodeString param9, UnicodeString param10, UnicodeString param11)			task_0	Error		
Microsoft-Windows-DistributedCOM	10017	0	task_010017(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8, UnicodeString param9, UnicodeString param10)			task_0	Error		
Microsoft-Windows-DistributedCOM	10018	0	task_010018(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8, UnicodeString param9)			task_0	Error		
Microsoft-Windows-DistributedCOM	10019	0	task_010019(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8, UnicodeString param9)			task_0	Error		
Microsoft-Windows-DistributedCOM	10020	0	task_010020(UnicodeString param1, UnicodeString param2)			task_0	Error		
Microsoft-Windows-DistributedCOM	10021	0	task_010021(UnicodeString param1)			task_0	Error		
Microsoft-Windows-DistributedCOM	10022	0	task_010022(UnicodeString param1, UnicodeString param2, UnicodeString param3)			task_0	Error		
