provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	1	0	FxRequestTaskStart(UInt8 Type, Pointer DrvPtr, Pointer DevPtr)	Start		FxRequestTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	2	0	FxRequestTaskStop(UInt8 Type, Pointer DrvPtr, Pointer DevPtr)	Stop		FxRequestTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	3	0	FxPowerTaskStart(Pointer DrvPtr, Pointer DevPtr)	Start		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	4	0	FxPowerTaskStop(Pointer DrvPtr, Pointer DevPtr)	Stop		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	5	0	FxPowerTaskStart5(Pointer DrvPtr, Pointer DevPtr)	Start		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	6	0	FxPowerTaskStop6(Pointer DrvPtr, Pointer DevPtr)	Stop		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	7	0	FxPowerTaskStart7(Pointer DrvPtr, Pointer DevPtr)	Start		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	8	0	FxPowerTaskStop8(Pointer DrvPtr, Pointer DevPtr)	Stop		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	9	0	FxPowerTaskStart9(Pointer DrvPtr, Pointer DevPtr)	Start		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	10	0	FxPowerTaskStop10(Pointer DrvPtr, Pointer DevPtr)	Stop		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	11	0	FxPowerTaskStart11(Pointer DrvPtr, Pointer DevPtr)	Start		FxPowerTask	Always		
Microsoft-Windows-DriverFrameworks-KernelMode-Performance	12	0	FxPowerTaskStop12(Pointer DrvPtr, Pointer DevPtr)	Stop		FxPowerTask	Always		
