provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Dwm-Api	1	0	ApiEnableBlurBehindWindowStart()	Start	DwmApi	ApiEnableBlurBehindWindow	Informational		
Microsoft-Windows-Dwm-Api	2	0	ApiEnableBlurBehindWindowStop(UInt32 hr)	Stop	DwmApi	ApiEnableBlurBehindWindow	Informational		
Microsoft-Windows-Dwm-Api	3	0	ApiExtendFrameIntoClientAreaStart()	Start	DwmApi	ApiExtendFrameIntoClientArea	Informational		
Microsoft-Windows-Dwm-Api	4	0	ApiExtendFrameIntoClientAreaStop(UInt32 hr)	Stop	DwmApi	ApiExtendFrameIntoClientArea	Informational		
Microsoft-Windows-Dwm-Api	5	0	ApiGetColorizationColorStart()	Start	DwmApi	ApiGetColorizationColor	Informational		
Microsoft-Windows-Dwm-Api	6	0	ApiGetColorizationColorStop(UInt32 hr)	Stop	DwmApi	ApiGetColorizationColor	Informational		
Microsoft-Windows-Dwm-Api	7	0	ApiGetCompositionTimingInfoStart()	Start	DwmApi	ApiGetCompositionTimingInfo	Informational		
Microsoft-Windows-Dwm-Api	8	0	ApiGetCompositionTimingInfoStop(UInt32 hr)	Stop	DwmApi	ApiGetCompositionTimingInfo	Informational		
Microsoft-Windows-Dwm-Api	9	0	ApiGetWindowAttributeStart(Pointer hwnd)	Start	DwmApi	ApiGetWindowAttribute	Informational		
Microsoft-Windows-Dwm-Api	10	0	ApiGetWindowAttributeStop(UInt32 hr, Pointer Hwnd)	Stop	DwmApi	ApiGetWindowAttribute	Informational		
Microsoft-Windows-Dwm-Api	11	0	ApiSetWindowAttributeStart(Pointer hwnd)	Start	DwmApi	ApiSetWindowAttribute	Informational		
Microsoft-Windows-Dwm-Api	12	0	ApiSetWindowAttributeStop(UInt32 hr, Pointer Hwnd)	Stop	DwmApi	ApiSetWindowAttribute	Informational		
Microsoft-Windows-Dwm-Api	13	0	ApiIsCompositionEnabledStart()	Start	DwmApi	ApiIsCompositionEnabled	Informational		
Microsoft-Windows-Dwm-Api	14	0	ApiIsCompositionEnabledStop(UInt32 hr)	Stop	DwmApi	ApiIsCompositionEnabled	Informational		
Microsoft-Windows-Dwm-Api	15	0	ApiRegisterThumbnailStart()	Start	DwmApi	ApiRegisterThumbnail	Informational		
Microsoft-Windows-Dwm-Api	16	0	ApiRegisterThumbnailStop(UInt32 hr)	Stop	DwmApi	ApiRegisterThumbnail	Informational		
Microsoft-Windows-Dwm-Api	17	0	ApiUnregisterThumbnailStart()	Start	DwmApi	ApiUnregisterThumbnail	Informational		
Microsoft-Windows-Dwm-Api	18	0	ApiUnregisterThumbnailStop(UInt32 hr)	Stop	DwmApi	ApiUnregisterThumbnail	Informational		
Microsoft-Windows-Dwm-Api	19	0	ApiUpdateThumbnailPropertiesStart()	Start	DwmApi	ApiUpdateThumbnailProperties	Informational		
Microsoft-Windows-Dwm-Api	20	0	ApiUpdateThumbnailPropertiesStop(UInt32 hr)	Stop	DwmApi	ApiUpdateThumbnailProperties	Informational		
Microsoft-Windows-Dwm-Api	23	0	ApiEnableMMCSSStart()	Start	DwmApi	ApiEnableMMCSS	Informational		
Microsoft-Windows-Dwm-Api	24	0	ApiEnableMMCSSStop(UInt32 hr)	Stop	DwmApi	ApiEnableMMCSS	Informational		
Microsoft-Windows-Dwm-Api	25	0	ApiFlushStart()	Start	DwmApi	ApiFlush	Informational		
Microsoft-Windows-Dwm-Api	26	0	ApiFlushStop(UInt32 hr)	Stop	DwmApi	ApiFlush	Informational		
Microsoft-Windows-Dwm-Api	27	0	ApiSetIconicThumbnailStart(Pointer hwnd)	Start	DwmApi	ApiSetIconicThumbnail	Informational		
Microsoft-Windows-Dwm-Api	28	0	ApiSetIconicThumbnailStop(UInt32 hr, Pointer hwnd)	Stop	DwmApi	ApiSetIconicThumbnail	Informational		
Microsoft-Windows-Dwm-Api	29	0	ApipAttachMilContentStart()	Start	DwmApi	ApipAttachMilContent	Informational		
Microsoft-Windows-Dwm-Api	30	0	ApipAttachMilContentStop(UInt32 hr)	Stop	DwmApi	ApipAttachMilContent	Informational		
Microsoft-Windows-Dwm-Api	31	0	ApipDetachMilContentStart()	Start	DwmApi	ApipDetachMilContent	Informational		
Microsoft-Windows-Dwm-Api	32	0	ApipDetachMilContentStop(UInt32 hr)	Stop	DwmApi	ApipDetachMilContent	Informational		
Microsoft-Windows-Dwm-Api	33	0	ApipOpenGraphicsStreamStart()	Start	DwmApi	ApipOpenGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	34	0	ApipOpenGraphicsStreamStop(UInt32 hr)	Stop	DwmApi	ApipOpenGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	35	0	ApipCloseGraphicsStreamStart()	Start	DwmApi	ApipCloseGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	36	0	ApipCloseGraphicsStreamStop(UInt32 hr)	Stop	DwmApi	ApipCloseGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	37	0	ApipEnumGraphicsStreamClientsStart()	Start	DwmApi	ApipEnumGraphicsStreamClients	Informational		
Microsoft-Windows-Dwm-Api	38	0	ApipEnumGraphicsStreamClientsStop(UInt32 hr)	Stop	DwmApi	ApipEnumGraphicsStreamClients	Informational		
Microsoft-Windows-Dwm-Api	39	0	ApipQueryGraphicsStreamStart()	Start	DwmApi	ApipQueryGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	40	0	ApipQueryGraphicsStreamStop(UInt32 hr)	Stop	DwmApi	ApipQueryGraphicsStream	Informational		
Microsoft-Windows-Dwm-Api	41	0	ApipSetColorizationColorStart()	Start	DwmApi	ApipSetColorizationColor	Informational		
Microsoft-Windows-Dwm-Api	42	0	ApipSetColorizationColorStop(UInt32 hr)	Stop	DwmApi	ApipSetColorizationColor	Informational		
Microsoft-Windows-Dwm-Api	43	0	ApipStartupViaUserInitStart()	Start	DwmApi	ApipStartupViaUserInit	Informational		
Microsoft-Windows-Dwm-Api	44	0	ApipStartupViaUserInitStop(UInt32 hr)	Stop	DwmApi	ApipStartupViaUserInit	Informational		
Microsoft-Windows-Dwm-Api	45	0	ApipDxGetWindowSharedSurfaceStart(UInt64 Hwnd, UInt64 luidAdapter, UInt64 hmonAssociation, UInt32 dwFlags, UInt32 DxgiFormat)	Start	DwmApi	ApipDxGetWindowSharedSurface	Informational		
Microsoft-Windows-Dwm-Api	46	0	ApipDxGetWindowSharedSurfaceStop(UInt64 Hwnd, UInt32 hr, UInt64 hDxSurface, UInt64 uiUpdateId, UInt32 DxgiFormat, UInt32 cTries)	Stop	DwmApi	ApipDxGetWindowSharedSurface	Informational		
Microsoft-Windows-Dwm-Api	47	0	ApipDxUpdateWindowSharedSurfaceStart()	Start	DwmApi	ApipDxUpdateWindowSharedSurface	Informational		
Microsoft-Windows-Dwm-Api	48	0	ApipDxUpdateWindowSharedSurfaceStop(UInt32 hr, Pointer Hwnd, UInt32 left, UInt32 top, UInt32 right, UInt32 bottom)	Stop	DwmApi	ApipDxUpdateWindowSharedSurface	Informational		
Microsoft-Windows-Dwm-Api	49	0	ApipEnableCompositionStart()	Start	DwmApi	ApipEnableComposition	Informational		
Microsoft-Windows-Dwm-Api	50	0	ApipEnableCompositionStop(UInt32 hr, UInt32 fEnable)	Stop	DwmApi	ApipEnableComposition	Informational		
Microsoft-Windows-Dwm-Api	51	0	ApipQueryThumbnailSourceSizeStart()	Start	DwmApi	ApipQueryThumbnailSourceSize	Informational		
Microsoft-Windows-Dwm-Api	52	0	ApipQueryThumbnailSourceSizeStop(UInt32 hr)	Stop	DwmApi	ApipQueryThumbnailSourceSize	Informational		
Microsoft-Windows-Dwm-Api	53	0	ApipGetSpecialWindowStart()	Start	DwmApi	ApipGetSpecialWindow	Informational		
Microsoft-Windows-Dwm-Api	54	0	ApipGetSpecialWindowStop(UInt32 hr)	Stop	DwmApi	ApipGetSpecialWindow	Informational		
Microsoft-Windows-Dwm-Api	55	0	ApipRestartCompositionStart()	Start	DwmApi	ApipRestartComposition	Informational		
Microsoft-Windows-Dwm-Api	56	0	ApipRestartCompositionStop(UInt32 hr)	Stop	DwmApi	ApipRestartComposition	Informational		
Microsoft-Windows-Dwm-Api	57	0	ApipIsCompositionCapableStart()	Start	DwmApi	ApipIsCompositionCapable	Informational		
Microsoft-Windows-Dwm-Api	58	0	ApipIsCompositionCapableStop(UInt32 hr)	Stop	DwmApi	ApipIsCompositionCapable	Informational		
Microsoft-Windows-Dwm-Api	65	0	ApipSetGraphicsStreamTransformHIntStart()	Start	DwmApi	ApipSetGraphicsStreamTransformHInt	Informational		
Microsoft-Windows-Dwm-Api	66	0	ApipSetGraphicsStreamTransformHIntStop(UInt32 hr)	Stop	DwmApi	ApipSetGraphicsStreamTransformHInt	Informational		
Microsoft-Windows-Dwm-Api	67	0	ApipEnumGraphicsStreamTransformHIntsStart()	Start	DwmApi	ApipEnumGraphicsStreamTransformHInts	Informational		
Microsoft-Windows-Dwm-Api	68	0	ApipEnumGraphicsStreamTransformHIntsStop(UInt32 hr)	Stop	DwmApi	ApipEnumGraphicsStreamTransformHInts	Informational		
Microsoft-Windows-Dwm-Api	69	0	ApipGetGlobalStateStart()	Start	DwmApi	ApipGetGlobalState	Informational		
Microsoft-Windows-Dwm-Api	70	0	ApipGetGlobalStateStop(UInt32 hr)	Stop	DwmApi	ApipGetGlobalState	Informational		
Microsoft-Windows-Dwm-Api	71	0	ApiSnapshotIconicThumbnailStart(Pointer hwndDst, Pointer hwndSrc)	Start	DwmApi	ApiSnapshotIconicThumbnail	Informational		
Microsoft-Windows-Dwm-Api	72	0	ApiSnapshotIconicThumbnailStop(UInt32 hr, Pointer hwnd)	Stop	DwmApi	ApiSnapshotIconicThumbnail	Informational		
Microsoft-Windows-Dwm-Api	73	0	ApipActivateLivePreviewStart(Boolean fActivate, Pointer hwndExclude, UInt32 trigger)	Start	DwmApi	ApipActivateLivePreview	Informational		
Microsoft-Windows-Dwm-Api	74	0	ApipActivateLivePreviewStop(Boolean fActivate, Pointer hwndExclude, UInt32 trigger)	Stop	DwmApi	ApipActivateLivePreview	Informational		
Microsoft-Windows-Dwm-Api	75	0	ApiSetIconicLivePreviewBitmapStart(Pointer hwnd)	Start	DwmApi	ApiSetIconicLivePreviewBitmap	Informational		
Microsoft-Windows-Dwm-Api	76	0	ApiSetIconicLivePreviewBitmapStop(UInt32 hr, Pointer hwnd)	Stop	DwmApi	ApiSetIconicLivePreviewBitmap	Informational		
Microsoft-Windows-Dwm-Api	77	0	ApiInvalidateIconicBitmapsStart(Pointer hwnd)	Start	DwmApi	ApiInvalidateIconicBitmaps	Informational		
Microsoft-Windows-Dwm-Api	78	0	ApiInvalidateIconicBitmapsStop(UInt32 hr, Pointer hwnd)	Stop	DwmApi	ApiInvalidateIconicBitmaps	Informational		
Microsoft-Windows-Dwm-Api	79	0	ApipDxUpdateWindowRedirectionBltSurfaceStart()	Start	DwmApi	ApipDxUpdateWindowRedirectionBltSurface	Informational		
Microsoft-Windows-Dwm-Api	80	0	ApipDxUpdateWindowRedirectionBltSurfaceStop(UInt32 hr, Pointer Hwnd, UInt32 left, UInt32 top, UInt32 right, UInt32 bottom)	Stop	DwmApi	ApipDxUpdateWindowRedirectionBltSurface	Informational		
Microsoft-Windows-Dwm-Api	81	0	ApipDxSetContentHostingInformationStart()	Start	DwmApi	ApipDxSetContentHostingInformation	Informational		
Microsoft-Windows-Dwm-Api	82	0	ApipDxSetContentHostingInformationStop(UInt32 hr, Pointer Hwnd, UInt32 Flags)	Stop	DwmApi	ApipDxSetContentHostingInformation	Informational		
Microsoft-Windows-Dwm-Api	83	0	ApipRenderFlickStart()	Start	DwmApi	ApipRenderFlick	Informational		
Microsoft-Windows-Dwm-Api	84	0	ApipRenderFlickStop(UInt32 hr)	Stop	DwmApi	ApipRenderFlick	Informational		
Microsoft-Windows-Dwm-Api	85	0	ApiRenderGestureStart(UInt32 Enum)	Start	DwmApi	ApiRenderGesture	Informational		
Microsoft-Windows-Dwm-Api	86	0	ApiRenderGestureStop(UInt32 hr, UInt32 Enum)	Stop	DwmApi	ApiRenderGesture	Informational		
Microsoft-Windows-Dwm-Api	87	0	ApiShowContactStart()	Start	DwmApi	ApiShowContact	Informational		
Microsoft-Windows-Dwm-Api	88	0	ApiShowContactStop(UInt32 hr)	Stop	DwmApi	ApiShowContact	Informational		
Microsoft-Windows-Dwm-Api	89	0	ApiTetherContactStart()	Start	DwmApi	ApiTetherContact	Informational		
Microsoft-Windows-Dwm-Api	90	0	ApiTetherContactStop(UInt32 hr)	Stop	DwmApi	ApiTetherContact	Informational		
Microsoft-Windows-Dwm-Api	91	0	ApiRegisterTransitionRegionSourceStart()	Start	DwmApi	ApiRegisterTransitionRegionSource	Informational		
Microsoft-Windows-Dwm-Api	92	0	ApiRegisterTransitionRegionSourceStop(UInt32 hr)	Stop	DwmApi	ApiRegisterTransitionRegionSource	Informational		
Microsoft-Windows-Dwm-Api	93	0	ApiRegisterTransitionRegionDestinationStart()	Start	DwmApi	ApiRegisterTransitionRegionDestination	Informational		
Microsoft-Windows-Dwm-Api	94	0	ApiRegisterTransitionRegionDestinationStop(UInt32 hr)	Stop	DwmApi	ApiRegisterTransitionRegionDestination	Informational		
Microsoft-Windows-Dwm-Api	95	0	ApiStartTransitionRegionStart()	Start	DwmApi	ApiStartTransitionRegion	Informational		
Microsoft-Windows-Dwm-Api	96	0	ApiStartTransitionRegionStop(UInt32 hr)	Stop	DwmApi	ApiStartTransitionRegion	Informational		
Microsoft-Windows-Dwm-Api	97	0	ApiUnregisterTransitionRegionStart()	Start	DwmApi	ApiUnregisterTransitionRegion	Informational		
