provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Dwm-Core	1	0	SCHEDULE_FRAMEINFO(UInt32 IndexFrame, UInt64 cFrame, UInt32 cDXPresent, UInt64 tFrame, UInt64 qpcFrame, UInt64 cSyncRefreshFrame, UInt32 cRefreshesPerFrame, UInt64 cRefreshFrame, UInt64 cRefreshPresent, UInt64 tPresentAfter, UInt64 cRefresh, UInt32 cDXRefresh, UInt64 tRefresh, UInt64 qpcRefresh, UInt64 cRefreshDelta, UInt64 tBegin, UInt64 qpcBegin, UInt64 tEnd, UInt64 tElapsed, UInt64 tAvailable, UInt64 tDelta, UInt64 tVBlankLatency, UInt32 fRendered, UInt32 fPresented, UInt32 fParallelMode, UInt64 qpcPresented, UInt32 fConfirmed, UInt64 qpcConfirmed, UInt64 tEarly, UInt64 tBudget, UInt64 tGlitch)		DetailedFrameInformation	SCHEDULE_FRAMEINFO	Informational		
Microsoft-Windows-Dwm-Core	2	0	SCHEDULE_TIME(UInt64 m_tCurrent, UInt64 m_tElapsed, UInt64 m_qpcCurrent, UInt64 m_qpcLast, UInt64 m_cFramesRendered)		DwmCore	SCHEDULE_TIME	Informational		
Microsoft-Windows-Dwm-Core	6	0	SCHEDULE_WFVBStart()	Start	DwmCore DwmFrameRate	SCHEDULE_WFVB	Informational		
Microsoft-Windows-Dwm-Core	7	0	SCHEDULE_WFVBStop(UInt32 fUseSleep, UInt32 dwSleep)	Stop	DwmCore DwmFrameRate	SCHEDULE_WFVB	Informational		
Microsoft-Windows-Dwm-Core	8	0	SCHEDULE_WFWStart()	Start	DwmCore DwmFrameRate	SCHEDULE_WFW	Informational		
Microsoft-Windows-Dwm-Core	9	0	SCHEDULE_WFWStop(UInt32 returnedWorkType, UInt32 Work, UInt32 SurfaceManager, UInt32 DelayedComposition, UInt32 Occlusion)	Stop	DwmCore DwmFrameRate	SCHEDULE_WFW	Informational		
Microsoft-Windows-Dwm-Core	10	0	SCHEDULE_PROCESS_FRAMEStart()	Start	DwmCore FrameVisualization	SCHEDULE_PROCESS_FRAME	Informational		
Microsoft-Windows-Dwm-Core	11	0	SCHEDULE_PROCESS_FRAME(UInt32 fRenderTime, UInt32 fPresentNeeded, UInt32 dwOutstandingPresents, UInt32 dwMaxOutstandingFrames)		DwmCore	SCHEDULE_PROCESS_FRAME	Informational		
Microsoft-Windows-Dwm-Core	12	0	SCHEDULE_PROCESS_FRAMEStop()	Stop	DwmCore FrameVisualization	SCHEDULE_PROCESS_FRAME	Informational		
Microsoft-Windows-Dwm-Core	13	0	SCHEDULE_RENDERStart()	Start	DwmCore	SCHEDULE_RENDER	Informational		
Microsoft-Windows-Dwm-Core	14	0	SCHEDULE_RENDERStop(UInt32 fPresentNeeded)	Stop	DwmCore	SCHEDULE_RENDER	Informational		
Microsoft-Windows-Dwm-Core	15	0	SCHEDULE_PRESENTStart(UInt64 tCurrent, UInt64 tPresent, UInt64 cRefreshCurrent, UInt64 cRefreshPresent, UInt32 fForce)	Start	DwmCore	SCHEDULE_PRESENT	Informational		
Microsoft-Windows-Dwm-Core	16	0	SCHEDULE_PRESENTStop()	Stop	DwmCore	SCHEDULE_PRESENT	Informational		
Microsoft-Windows-Dwm-Core	17	0	SCHEDULE_GETPRESENTCOUNTStart()	Start	DwmCore	SCHEDULE_GETPRESENTCOUNT	Informational		
Microsoft-Windows-Dwm-Core	18	0	SCHEDULE_GETPRESENTCOUNTStop(UInt32 cDisplay, AnsiString rgcDXPresent)	Stop	DwmCore	SCHEDULE_GETPRESENTCOUNT	Informational		
Microsoft-Windows-Dwm-Core	19	0	SCHEDULE_GETPRESENTSTATSStart()	Start	DwmCore	SCHEDULE_GETPRESENTSTATS	Informational		
Microsoft-Windows-Dwm-Core	21	0	SCHEDULE_GETPRESENTSTATSStop()	Stop	DwmCore	SCHEDULE_GETPRESENTSTATS	Informational		
Microsoft-Windows-Dwm-Core	24	0	SCHEDULE_GLITCH(UInt64 cFrame, UInt64 tVSyncLatency, UInt64 tElapsed, Boolean Induced, UInt64 qpcPresented, UInt64 qpcConfirmed, UInt64 tPresentLatency, UInt64 qpcFrame, UInt64 cSyncRefreshFrame, UInt64 tGlitch, UInt64 qpcFrequency, UInt64 qpcPeriod, UInt32 cMonitors, Binary rgcDXRefresh)		FrameDrawInconsistencyInformation	SCHEDULE_GLITCH	Informational		
Microsoft-Windows-Dwm-Core	25	0	SCHEDULE_GLITCH_RECOVERY_ATTEMPT(UInt64 cRefreshFrame)		DwmCore	SCHEDULE_GLITCH_RECOVERY_ATTEMPT	Informational		
Microsoft-Windows-Dwm-Core	26	0	SCHEDULE_RESETStart()	Start	DwmCore	SCHEDULE_RESET	Informational		
Microsoft-Windows-Dwm-Core	27	0	SCHEDULE_RESETStop()	Stop	DwmCore	SCHEDULE_RESET	Informational		
