provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-EFS	1	0	task_0(UInt32 FileNumber, UInt32 LineNumber, UInt32 Param)			task_0	Error		
Microsoft-Windows-EFS	2	0	task_02(UInt32 FileNumber, UInt32 LineNumber, UInt32 Param1, UInt32 Param2)			task_0	Error		
Microsoft-Windows-EFS	3	0	task_03(UInt32 FileNumber, UInt32 LineNumber, UInt32 Param1, UInt32 Param2, UInt32 Param3)			task_0	Error		
Microsoft-Windows-EFS	4	0	task_04(UInt32 FileNumber, UInt32 LineNumber, UInt32 Param)			task_0	Error		
Microsoft-Windows-EFS	256	0	task_0256(UInt32 CertValidated, UInt32 cbHash, AnsiString pbHash, UnicodeString ContainerName, UnicodeString ProviderName, UnicodeString DisplayInformation, AnsiString dwCapabilities, AnsiString bIsCurrentKey, AnsiString eKeyType)			task_0	Informational		
Microsoft-Windows-EFS	257	0	task_0257(UInt32 CertValidated, UInt32 cbHash, AnsiString pbHash, UnicodeString ContainerName, UnicodeString ProviderName, UnicodeString DisplayInformation, AnsiString dwCapabilities, AnsiString bIsCurrentKey, AnsiString eKeyType)			task_0	Informational		
Microsoft-Windows-EFS	258	0	task_0258(UInt32 CertValidated, UInt32 cbHash, AnsiString pbHash, UnicodeString ContainerName, UnicodeString ProviderName, UnicodeString DisplayInformation, AnsiString dwCapabilities, AnsiString bIsCurrentKey, AnsiString eKeyType)			task_0	Informational		
Microsoft-Windows-EFS	259	0	task_0259(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	260	0	task_0260(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	261	0	task_0261(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	262	0	task_0262(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	263	0	task_0263(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	264	0	task_0264(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	265	0	task_0265(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	272	0	task_0272(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	273	0	task_0273(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	274	0	task_0274(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-EFS	275	0	task_0275(UInt32 FileNumber, UInt32 LineNumber)			task_0	Informational		
