provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ELS-Hyphenation	1	0	task_0Start()	Start		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	2	0	task_0Stop()	Stop		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	3	0	task_0Start3()	Start		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	4	0	task_0Stop4()	Stop		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	5	0	task_0Start5()	Start		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	6	0	task_0Stop6()	Stop		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	7	0	task_0Start7()	Start		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	8	0	task_0Stop8()	Stop		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	9	0	task_0Start9()	Start		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	10	0	task_0Stop10()	Stop		task_0	Informational		
Microsoft-Windows-ELS-Hyphenation	11	0	task_0(UnicodeString String)			task_0	Warning		
