provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-EQoS	1	0	task_0(UInt32 PolicyType)			task_0	Informational		
Microsoft-Windows-EQoS	2	0	task_02(UInt32 PolicyType)			task_0	Informational		
Microsoft-Windows-EQoS	4	0	task_04(HexInt32 Level)			task_0	Informational		
Microsoft-Windows-EQoS	9	0	task_09(HexInt32 Setting)			task_0	Informational		
Microsoft-Windows-EQoS	12	0	task_012()			task_0	Informational		
Microsoft-Windows-EQoS	13	0	task_013(UInt32 Hours, UInt32 Minutes, UInt32 Collisions)			task_0	Informational		
Microsoft-Windows-EQoS	100	0	task_0100()			task_0	Warning		
Microsoft-Windows-EQoS	102	0	task_0102(UInt32 PolicyType, UnicodeString PolicyName)			task_0	Warning		
Microsoft-Windows-EQoS	104	0	task_0104(UInt32 PolicyType, UnicodeString PolicyName)			task_0	Warning		
Microsoft-Windows-EQoS	108	0	task_0108(UInt32 PolicyType, UnicodeString PolicyName)			task_0	Warning		
Microsoft-Windows-EQoS	110	0	task_0110(UInt32 PolicyType, UnicodeString PolicyName)			task_0	Warning		
Microsoft-Windows-EQoS	200	0	task_0200(UInt32 PolicyType, UInt32 NtStatus)			task_0	Error		
Microsoft-Windows-EQoS	204	0	task_0204(UInt32 PolicyType, UInt32 Index)			task_0	Error		
Microsoft-Windows-EQoS	206	0	task_0206(UInt32 PolicyType, UInt32 Index)			task_0	Error		
Microsoft-Windows-EQoS	208	0	task_0208(UInt32 PolicyType, UInt32 Index)			task_0	Error		
Microsoft-Windows-EQoS	210	0	task_0210(UInt32 PolicyType, UnicodeString PolicyFieldName, UnicodeString PolicyName)			task_0	Error		
Microsoft-Windows-EQoS	212	0	task_0212(UInt32 NtStatus)			task_0	Error		
Microsoft-Windows-EQoS	213	0	task_0213(UInt32 NtStatus)			task_0	Error		
