provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Energy-Estimation-Engine	1	0	InitializeProviderStart()	Start	CodePath	InitializeProvider	Informational		
Microsoft-Windows-Energy-Estimation-Engine	2	0	InitializeProviderStop()	Stop	CodePath	InitializeProvider	Informational		
Microsoft-Windows-Energy-Estimation-Engine	3	0	UninitializeProvider()		CodePath	UninitializeProvider	Informational		
Microsoft-Windows-Energy-Estimation-Engine	4	0	QueryStatsStart()	Start	CodePath	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	5	0	QueryStatsStop()	Stop	CodePath	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	6	0	MergeStatsStart()	Start	CodePath	MergeStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	7	0	MergeStatsStop()	Stop	CodePath	MergeStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	8	0	IndexToAppId()		CodePath	IndexToAppId	Informational		
Microsoft-Windows-Energy-Estimation-Engine	9	0	IndexToUserId()		CodePath	IndexToUserId	Informational		
Microsoft-Windows-Energy-Estimation-Engine	10	0	QueryColumnInfo()		CodePath	QueryColumnInfo	Informational		
Microsoft-Windows-Energy-Estimation-Engine	11	0	FreeMemory(UInt32 DataType, Pointer Address)		CodePath	FreeMemory	Informational		
Microsoft-Windows-Energy-Estimation-Engine	12	0	QueryStatsEnergyEstimate(UnicodeString AppName, UInt16 UserId, UInt64 CpuEnergy, UInt64 SocEnergy, UInt64 DisplayEnergy, UInt64 DiskEnergy, UInt64 NetworkEnergy, UInt64 MbbEnergy, UInt64 OtherEnergy, UInt32 RecordFlags)	EnergyEstimate	EnergyEstimation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	13	0	MergeStatsEnergyEstimate(UnicodeString AppName, UInt16 UserId, UInt64 CpuEnergy, UInt64 SocEnergy, UInt64 DisplayEnergy, UInt64 DiskEnergy, UInt64 NetworkEnergy, UInt64 MbbEnergy, UInt64 OtherEnergy, UInt32 RecordFlags)	EnergyEstimate	EnergyEstimation	MergeStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	14	0	QueryStatsCpuPowerInfo(UInt32 CpuId, UInt8 CurrentFrequency, UInt8 LastBusyFrequency, UInt64 Energy)	CpuPowerInfo	SystemInformation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	15	0	QueryStatsProcessInfo(UInt32 SessionId, UInt32 UniqueProcessId, UnicodeString ImageName, UInt32 NumberOfThreads, UInt64 CycleTime, UInt64 ReadOperationCount, UInt64 BytesRead, UInt64 WriteOperationCount, UInt64 BytesWritten, UInt64 DiskEnergy, UInt64 NetworkTailEnergy, UInt64 MBBTailEnergy, UInt64 NetworkTxRxBytes, UInt64 MBBTxRxBytes, UInt32 BucketCount, SID BucketedCycles, UInt32 WindowInformation, UInt64 ForegroundReportTimestamp, UInt64 ForegroundTime)	ProcessInfo	SystemInformation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	16	0	QueryStatsAppPerfInfo(UInt64 UniqueApplicationId, UnicodeString PackageFullName, UInt64 ForegroundCycleTime, UInt64 BackgroundCycleTime, UInt64 ForegroundActiveTime, UInt64 ForegroundBytesRead, UInt64 ForegroundBytesWritten, UInt64 BackgroundBytesRead, UInt64 BackgroundBytesWritten, UInt32 BucketCount, CountedUtf16String ForegroundCycles, UInt64 ForegroundDiskEnergy, UInt64 ForegroundNetworkTailEnergy, UInt64 ForegroundMBBTailEnergy, UInt64 ForegroundNetworkTxRxBytes, UInt64 ForegroundMBBTxRxBytes, 25 BackgroundCycles, UInt64 BackgroundDiskEnergy, UInt64 BackgroundNetworkTailEnergy, UInt64 BackgroundMBBTailEnergy, UInt64 BackgroundNetworkTxRxBytes, UInt64 BackgroundMBBTxRxBytes)	AppPerfInfo	SystemInformation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	17	0	QueryStatsEnergyDelta(UInt32 Component, UInt64 EnergyDelta)	EnergyDelta	EnergyEstimation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	18	0	QueryStatsEnergyDelta18(UInt32 Component, UInt64 EnergyDelta)	EnergyDelta	EnergyEstimation	QueryStats	Informational		
Microsoft-Windows-Energy-Estimation-Engine	19	0	DisplayEnergyMonitorPowerState(UInt8 PreviousState, UInt8 CurrentState)	MonitorPowerState		DisplayEnergy	Informational		
Microsoft-Windows-Energy-Estimation-Engine	20	0	DisplayEnergyPolicyBrightness(UInt8 PreviousValue, UInt8 CurrentValue)	PolicyBrightness		DisplayEnergy	Informational		
Microsoft-Windows-Energy-Estimation-Engine	21	0	DisplayEnergyActualBrightness(UInt8 PreviousValue, UInt8 CurrentValue)	ActualBrightness		DisplayEnergy	Informational		
