provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-EventSystem	512	0	task_0(UnicodeString param1)			task_0	Always		
Microsoft-Windows-EventSystem	4354	0	task_0PCODE_128pcode_128(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4355	0	task_0PCODE_128pcode_1284355(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4356	0	task_0PCODE_128pcode_1284356(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4357	0	task_0PCODE_128pcode_1284357(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4358	0	task_0PCODE_128pcode_1284358(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4359	0	task_0PCODE_128pcode_1284359(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4361	0	task_0PCODE_128pcode_1284361(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4362	0	task_0PCODE_128pcode_1284362(UnicodeString param1)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4609	0	task_0PCODE_128pcode_1284609(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4610	0	task_0PCODE_192pcode_192(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4611	0	task_0PCODE_128pcode_1284611(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4612	0	task_0PCODE_192pcode_1924612(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4613	0	task_0PCODE_128pcode_1284613(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4614	0	task_0PCODE_128pcode_1284614(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4615	0	task_0PCODE_192pcode_1924615(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4616	0	task_0PCODE_192pcode_1924616(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4619	0	task_0PCODE_192pcode_1924619(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4620	0	task_0PCODE_192pcode_1924620(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4621	0	task_0PCODE_192pcode_1924621(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4622	0	task_0PCODE_192pcode_1924622(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4623	0	task_0PCODE_192pcode_1924623(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4624	0	task_0PCODE_192pcode_1924624(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-EventSystem	4625	0	task_0PCODE_64pcode_64(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_64		task_0	Always		
Microsoft-Windows-EventSystem	4626	0	task_0PCODE_64pcode_644626(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7)	opcode_64		task_0	Always		
Microsoft-Windows-EventSystem	4627	0	task_0PCODE_128pcode_1284627(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UnicodeString param8)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4628	0	task_0PCODE_128pcode_1284628(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_128		task_0	Always		
Microsoft-Windows-EventSystem	4629	0	task_0PCODE_128pcode_1284629(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6)	opcode_128		task_0	Always		
