provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Firewall-CPL	101	0	FwCplInitializeStart()	Start	FirewallCpl	FwCplInitialize	Informational		
Microsoft-Windows-Firewall-CPL	102	0	FwCplInitializeStop()	Stop	FirewallCpl	FwCplInitialize	Informational		
Microsoft-Windows-Firewall-CPL	103	0	LoadExceptionsInitializeStart()	Start	FirewallCpl	LoadExceptionsInitialize	Informational		
Microsoft-Windows-Firewall-CPL	104	0	LoadExceptionsInitializeStop()	Stop	FirewallCpl	LoadExceptionsInitialize	Informational		
Microsoft-Windows-Firewall-CPL	105	0	SetFirewallOnStart()	Start	FirewallCpl	SetFirewallOn	Informational		
Microsoft-Windows-Firewall-CPL	106	0	SetFirewallOnStop()	Stop	FirewallCpl	SetFirewallOn	Informational		
Microsoft-Windows-Firewall-CPL	107	0	SetFirewallOffStart()	Start	FirewallCpl	SetFirewallOff	Informational		
Microsoft-Windows-Firewall-CPL	108	0	SetFirewallOffStop()	Stop	FirewallCpl	SetFirewallOff	Informational		
Microsoft-Windows-Firewall-CPL	109	0	AddAppExceptionStart()	Start	FirewallCpl	AddAppException	Informational		
Microsoft-Windows-Firewall-CPL	110	0	AddAppExceptionStop()	Stop	FirewallCpl	AddAppException	Informational		
Microsoft-Windows-Firewall-CPL	111	0	AddPortExceptionStart()	Start	FirewallCpl	AddPortException	Informational		
Microsoft-Windows-Firewall-CPL	112	0	AddPortExceptionStop()	Stop	FirewallCpl	AddPortException	Informational		
Microsoft-Windows-Firewall-CPL	113	0	QUInitializeStart()	Start	FirewallCpl	QUInitialize	Informational		
Microsoft-Windows-Firewall-CPL	114	0	QUInitializeStop()	Stop	FirewallCpl	QUInitialize	Informational		
Microsoft-Windows-Firewall-CPL	115	0	QUUnblockStart()	Start	FirewallCpl	QUUnblock	Informational		
Microsoft-Windows-Firewall-CPL	116	0	QUUnblockStop()	Stop	FirewallCpl	QUUnblock	Informational		
Microsoft-Windows-Firewall-CPL	117	0	QUAskLaterStart()	Start	FirewallCpl	QUAskLater	Informational		
Microsoft-Windows-Firewall-CPL	118	0	QUAskLaterStop()	Stop	FirewallCpl	QUAskLater	Informational		
