provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	10	0	task_0(AnsiString FUNC, Int32 A10_stackSize, Int32 A11_oldStackSize)		GFL_TRACE_EXTEND_COMPLETION_STACK	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	11	0	task_011(AnsiString FUNC, Int32 A10_IrpCtrlCompletionStackLength, Int32 A11_newStackSize, Pointer A12_IrpCtrl)		GFL_TRACE_EXTEND_COMPLETION_STACK	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	12	0	task_012(AnsiString FUNC, Pointer A10_newCNodeIrpCtrl, Pointer A11_newCNode, Int32 A12_newCNodeDataSnapshotMajorFunction)		GFL_TRACE_COMPLETION_NODES	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	13	0	task_013(AnsiString FUNC, Pointer A10_newCNodeIrpCtrl, Pointer A11_newCNode, Int32 A12_newCNodeDataSnapshotMajorFunction)		GFL_TRACE_COMPLETION_NODES	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	14	0	task_014(AnsiString FUNC, Pointer A10_IrpCtrl, Int32 A11_CHARnewCNodeDataSnapshotMajorFunction, Int32 A12_CHARnewCNodeDataSnapshotMinorFunction)		GFL_TRACE_EXTEND_COMPLETION_STACK	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	15	0	task_015(AnsiString FUNC)		GFL_TRACE_EXTEND_COMPLETION_STACK	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	16	0	task_016(AnsiString FUNC, Int32 A10_OpType, Pointer A11_irpCtrl, Pointer A12_FrameReserveIrpCtrlsStaticOwningThreadOpType)		GFL_TRACE_STATIC_IRPCTRL	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	17	0	task_017(AnsiString FUNC, Int32 A10_OpType, Pointer A11_IrpCtrl, Pointer A12_FrameReserveIrpCtrlsStaticOwningThreadOpType)		GFL_TRACE_STATIC_IRPCTRL	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	18	0	task_018(AnsiString FUNC, Pointer A10_irpCtrl, Pointer A11_th, Int32 A12_FrameReserveIrpCtrlsEntriesiCount, Int32 A13_i)		GFL_TRACE_STATIC_IRPCTRL	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	19	0	task_019(AnsiString FUNC, Pointer A10_irpCtrl, Pointer A11_th, Int32 A12_FrameReserveIrpCtrlsEntriesiCount, Int32 A13_i)		GFL_TRACE_STATIC_IRPCTRL	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	20	0	task_020(AnsiString FUNC, Pointer A10_IrpCtrl, Pointer A11_IrpCtrlDataThread, Int32 A12_FrameReserveIrpCtrlsEntriesiCount, Int32 A13_i)		GFL_TRACE_STATIC_IRPCTRL	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	21	0	task_021(AnsiString FUNC, Pointer A10_FsControlDeviceObject, Pointer A11_NULL, CountedUtf16String A12_ControlDeviceName, AnsiString A13_GET_DEVICE_TYPE_NAMEFsControlDeviceObjectDeviceType)		GFL_TRACE_ATTACH_DETACH	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	22	0	task_022(AnsiString FUNC, HexInt32 A10_status)		GFL_TRACE_ATTACH_DETACH	task_0	Error		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	23	0	task_023(AnsiString FUNC, HexInt32 A10_status)		GFL_TRACE_ATTACH_DETACH	task_0	Error		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	24	0	task_024(AnsiString FUNC, HexInt32 A10_status)		GFL_TRACE_ATTACH_DETACH	task_0	Error		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	25	0	task_025(AnsiString FUNC, Pointer A10_NewDeviceObject, Pointer A11_NULL, CountedUtf16String A12__cdoDevExtControlDeviceName, AnsiString A13_GET_DEVICE_TYPE_NAMENewDeviceObjectDeviceType)		GFL_TRACE_ATTACH_DETACH	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	26	0	task_026(AnsiString FUNC, Pointer A10_NewDeviceObject, Pointer A11_volume, CountedUtf16String A12__volumeDeviceName, AnsiString A13_GET_DEVICE_TYPE_NAMENewDeviceObjectDeviceType, Pointer A14_DeviceObjectToAttachTo)		GFL_TRACE_ATTACH_DETACH	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	27	0	task_027(AnsiString FUNC, Pointer A10_DeviceObject, Pointer A11_NULL, CountedUtf16String A12__cdoDevExtControlDeviceName, AnsiString A13_GET_DEVICE_TYPE_NAMEDeviceObjectDeviceType, HexInt32 A14_NotifyFlags)		GFL_TRACE_ATTACH_DETACH	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	28	0	task_028(AnsiString FUNC, Pointer A10_DeviceObject, Pointer A11_volume, CountedUtf16String A12__volumeDeviceName, AnsiString A13_GET_DEVICE_TYPE_NAMEDeviceObjectDeviceType, HexInt32 A14_NotifyFlags, Pointer A15_devExtHeaderAttachedToDeviceObject)		GFL_TRACE_ATTACH_DETACH	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	29	0	task_029(AnsiString FUNC, CountedUtf16String A10__VolumeDeviceName)		GFL_TRACE_INFO	task_0	Informational		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	30	0	task_030(AnsiString FUNC, CountedUtf16String A10__VolumeDeviceName)		GFL_TRACE_INFO	task_0	Informational		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	31	0	task_031(AnsiString FUNC, Pointer A10_origBufferPtr, Pointer A11_origMdlAddressPtrorigMdlAddressPtrNULL, Pointer A12_newBufferPtr, Pointer A13_newMdlAddressPtrnewMdlAddressPtrNULL)		GFL_TRACE_BUFFER_SWAPPED	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	32	0	task_032(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_CallbackNodeInstance, CountedUtf16String A13__CallbackNodeInstanceAltitude, Pointer A14_CallbackNodeInstanceFilter, CountedUtf16String A15__CallbackNodeInstanceFilterName, Pointer A16_IrpCtrlInitiatingInstance, Pointer A17_eventFileObject, Pointer A18_eventFsContext, HexInt32 A19_status, HexInt32 A20_IrpCtrlTraceStatus)		FLTMGR_TRACE_MINIFILTER_IOSTATUS	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	33	0	task_033(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_CallbackNodeInstance, CountedUtf16String A13__CallbackNodeInstanceAltitude, Pointer A14_CallbackNodeInstanceFilter, CountedUtf16String A15__CallbackNodeInstanceFilterName, Pointer A16_IrpCtrlInitiatingInstance, Pointer A17_eventFileObject, Pointer A18_eventFsContext, HexInt32 A19_status, HexInt32 A20_IrpCtrlTraceStatus)		FLTMGR_TRACE_MINIFILTER_IOSTATUS	task_0	Informational		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	34	0	task_034(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_CallbackNodeInstance, CountedUtf16String A13__CallbackNodeInstanceAltitude, Pointer A14_CallbackNodeInstanceFilter, CountedUtf16String A15__CallbackNodeInstanceFilterName, Pointer A16_IrpCtrlInitiatingInstance, Pointer A17_eventFileObject, Pointer A18_eventFsContext, HexInt32 A19_status)		FLTMGR_TRACE_MINIFILTER_IOSTATUS	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	35	0	task_035(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_CallbackNodeInstance, CountedUtf16String A13__CallbackNodeInstanceAltitude, Pointer A14_CallbackNodeInstanceFilter, CountedUtf16String A15__CallbackNodeInstanceFilterName, Pointer A16_IrpCtrlInitiatingInstance, Pointer A17_eventFileObject, Pointer A18_eventFsContext, HexInt32 A19_status)		FLTMGR_TRACE_MINIFILTER_IOSTATUS	task_0	Informational		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	36	0	task_036(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_IrpCtrlInitiatingInstance, Pointer A13_eventFileObject, Pointer A14_eventFsContext, HexInt32 A15_status)		FLTMGR_TRACE_FILE_SYSTEM_IOSTATUS	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	37	0	task_037(AnsiString FUNC, Pointer A10_eventIrpPtr, UInt32 A11_eventMajorFunction, Pointer A12_IrpCtrlInitiatingInstance, Pointer A13_eventFileObject, Pointer A14_eventFsContext, HexInt32 A15_status)		FLTMGR_TRACE_FILE_SYSTEM_IOSTATUS	task_0	Informational		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	38	0	task_038(AnsiString FUNC, Pointer A10_KeGetCurrentThread, Pointer A11_irpCtrlFileObject, Pointer A12_volume, Int32 A13_CHARirpMajorId, AnsiString A14_FltGetIrpNameirpMajorId)		GFL_TRACE_HIDDEN_OPERATIONS	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	39	0	task_039(AnsiString FUNC, HexInt32 A10_irpMajorId, Pointer A11_irpCtrl, Pointer A12_callbackNode, AnsiString A13_FlagOnirpCtrlFlagsIRPCTRFL_SYNCHRONIZESYNCNotSYNC)		GFL_TRACE_PENDING_IRPS	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	40	0	task_040(AnsiString FUNC, Pointer A10_TrackingCtrlPointerToFree)		GFL_TRACE_TERMINATE_IRP	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	41	0	task_041(AnsiString FUNC, Pointer A10_CompNodeIrpCtrl, Pointer A11_CompNode, Int32 A12_CHARCompNodeDataSnapshotMajorFunction)		GFL_TRACE_COMPLETION_NODES	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	42	0	task_042(AnsiString FUNC, Pointer A10_CompNodeIrpCtrl, Pointer A11_CompNode, Int32 A12_CHARCompNodeDataSnapshotMajorFunction)		GFL_TRACE_COMPLETION_NODES	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	43	0	task_043(AnsiString FUNC, Pointer A10_irpCtrl, Pointer A11_CompNode, Int32 A12_CHARCompNodeDataSnapshotMajorFunction)		GFL_TRACE_COMPLETION_NODES	task_0	Verbose		
Microsoft-Windows-FltMgrTrace_04b6ad31b1f83ea849de9331df976a65	44	0	task_044(AnsiString FUNC, Int32 A10_CHARirpCtrlDataIopbMajorFunction, Int32 A11_CHARirpCtrlDataIopbMinorFunction, AnsiString A12_FltGetIrpNameirpCtrlDataIopbMajorFunction)		GFL_TRACE_TERMINATE_IRP	task_0	Verbose		
