provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Folder Redirection	501	0	task_0(UnicodeString FromFolder, UnicodeString ToFolder, HexInt32 Options)			task_0	Informational		
Microsoft-Windows-Folder Redirection	502	0	task_0502(UnicodeString FromFolder, UnicodeString ToFolder, HexInt32 Options, UnicodeString Error, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	503	0	task_0503(UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	505	0	task_0505(UnicodeString Folder, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	506	0	task_0506(UnicodeString Folder, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	507	0	task_0507(UnicodeString Folder, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	508	0	task_0508(UnicodeString Folder, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	509	0	task_0509(UnicodeString Folder, UnicodeString Path, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	510	0	task_0510()			task_0	Warning		
Microsoft-Windows-Folder Redirection	511	0	task_0511(UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	512	0	task_0512(UnicodeString FromFolder, UnicodeString ToFolder, HexInt32 Options)			task_0	Informational		
Microsoft-Windows-Folder Redirection	513	0	task_0513(UnicodeString FromFolder, UnicodeString ToFolder, HexInt32 Options, UnicodeString Error, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	514	0	task_0514(UnicodeString Folder, HexInt32 Options)			task_0	Informational		
Microsoft-Windows-Folder Redirection	515	0	task_0515(UnicodeString Folder, HexInt32 Options, UnicodeString Error, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	516	0	task_0516(UnicodeString Folder, HexInt32 Options)			task_0	Informational		
Microsoft-Windows-Folder Redirection	517	0	task_0517(UnicodeString Folder, HexInt32 Options, UnicodeString Error, UnicodeString ErrorDetails)			task_0	Error		
Microsoft-Windows-Folder Redirection	1000	0	task_01000()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1001	0	task_01001()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1002	0	task_01002(HexInt32 GPFlags)			task_0	Informational		
Microsoft-Windows-Folder Redirection	1003	0	task_01003()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1004	0	task_01004(UnicodeString ConfigurationFile)			task_0	Informational		
Microsoft-Windows-Folder Redirection	1005	0	task_01005(UnicodeString Folder, HexInt32 Options)			task_0	Informational		
Microsoft-Windows-Folder Redirection	1006	0	task_01006(UnicodeString Folder, HexInt32 Options, UnicodeString ParentFolder, UnicodeString Path, UnicodeString Group)			task_0	Informational		
Microsoft-Windows-Folder Redirection	1007	0	task_01007()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1008	0	task_01008()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1009	0	task_01009(HexInt32 Error)			task_0	Warning		
Microsoft-Windows-Folder Redirection	1010	0	task_01010(UnicodeString Result)			task_0	Informational		
Microsoft-Windows-Folder Redirection	1011	0	task_01011()			task_0	Informational		
Microsoft-Windows-Folder Redirection	1012	0	task_01012()			task_0	Informational		
