provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-FunctionDiscovery	1000	0	FunDisc_GetInstanceCollectionStart(UnicodeString Category, UnicodeString Subcategory, Boolean IncludeSubcategories)	Start		FunDisc_GetInstanceCollection	Informational		
Microsoft-Windows-FunctionDiscovery	1001	0	FunDisc_GetInstanceCollectionStop(UnicodeString Category, UnicodeString Subcategory, Boolean IncludeSubcategories)	Stop		FunDisc_GetInstanceCollection	Informational		
Microsoft-Windows-FunctionDiscovery	1002	0	FunDisc_GetInstanceStart(UnicodeString FunctionInstanceID)	Start		FunDisc_GetInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1003	0	FunDisc_GetInstanceStop(UnicodeString FunctionInstanceID)	Stop		FunDisc_GetInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1004	0	FunDisc_CreateInstanceCollectionQueryStart(UnicodeString Category, UnicodeString Subcategory, Boolean IncludeSubcategories)	Start		FunDisc_CreateInstanceCollectionQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1005	0	FunDisc_CreateInstanceCollectionQueryStop(UnicodeString Category, UnicodeString Subcategory, Boolean IncludeSubcategories)	Stop		FunDisc_CreateInstanceCollectionQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1006	0	FunDisc_CreateInstanceQueryStart(UnicodeString FunctionInstanceID)	Start		FunDisc_CreateInstanceQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1007	0	FunDisc_CreateInstanceQueryStop(UnicodeString FunctionInstanceID)	Stop		FunDisc_CreateInstanceQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1008	0	FunDisc_AddInstanceStart(UnicodeString Category, UnicodeString Subcategory, UnicodeString ProviderInstanceID)	Start		FunDisc_AddInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1009	0	FunDisc_AddInstanceStop(UnicodeString Category, UnicodeString Subcategory, UnicodeString ProviderInstanceID)	Stop		FunDisc_AddInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1010	0	FunDisc_RemoveInstanceStart(UnicodeString Category, UnicodeString Subcategory, UnicodeString ProviderInstanceID)	Start		FunDisc_RemoveInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1011	0	FunDisc_RemoveInstanceStop(UnicodeString Category, UnicodeString Subcategory, UnicodeString ProviderInstanceID)	Stop		FunDisc_RemoveInstance	Informational		
Microsoft-Windows-FunctionDiscovery	1012	0	FunDisc_FunctionInstanceCollectionQueryExecuteStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryExecute	Informational		
Microsoft-Windows-FunctionDiscovery	1013	0	FunDisc_FunctionInstanceCollectionQueryExecuteStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryExecute	Informational		
Microsoft-Windows-FunctionDiscovery	1014	0	FunDisc_FunctionInstanceCollectionQueryAdviseStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryAdvise	Informational		
Microsoft-Windows-FunctionDiscovery	1015	0	FunDisc_FunctionInstanceCollectionQueryAdviseStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryAdvise	Informational		
Microsoft-Windows-FunctionDiscovery	1016	0	FunDisc_FunctionInstanceCollectionQueryUnadviseStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryUnadvise	Informational		
Microsoft-Windows-FunctionDiscovery	1017	0	FunDisc_FunctionInstanceCollectionQueryUnadviseStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryUnadvise	Informational		
Microsoft-Windows-FunctionDiscovery	1018	0	FunDisc_FunctionInstanceCollectionQueryStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryStart	Informational		
Microsoft-Windows-FunctionDiscovery	1019	0	FunDisc_FunctionInstanceCollectionQueryStartStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryStart	Informational		
Microsoft-Windows-FunctionDiscovery	1020	0	FunDisc_FunctionInstanceCollectionQueryStopStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryStop	Informational		
Microsoft-Windows-FunctionDiscovery	1021	0	FunDisc_FunctionInstanceCollectionQueryStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryStop	Informational		
Microsoft-Windows-FunctionDiscovery	1022	0	FunDisc_FunctionInstanceCollectionQueryQueryServiceStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceCollectionQueryQueryService	Informational		
Microsoft-Windows-FunctionDiscovery	1023	0	FunDisc_FunctionInstanceCollectionQueryQueryServiceStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceCollectionQueryQueryService	Informational		
Microsoft-Windows-FunctionDiscovery	1024	0	FunDisc_FunctionInstanceQueryExecuteStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_FunctionInstanceQueryExecute	Informational		
Microsoft-Windows-FunctionDiscovery	1025	0	FunDisc_FunctionInstanceQueryExecuteStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_FunctionInstanceQueryExecute	Informational		
Microsoft-Windows-FunctionDiscovery	1026	0	FunDisc_ProviderInitializeStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_ProviderInitialize	Informational		
Microsoft-Windows-FunctionDiscovery	1027	0	FunDisc_ProviderInitializeStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_ProviderInitialize	Informational		
Microsoft-Windows-FunctionDiscovery	1028	0	FunDisc_ProviderQueryStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_ProviderQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1029	0	FunDisc_ProviderQueryStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_ProviderQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1030	0	FunDisc_ProviderEndQueryStart(UnicodeString Category, UnicodeString Subcategory)	Start		FunDisc_ProviderEndQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1031	0	FunDisc_ProviderEndQueryStop(UnicodeString Category, UnicodeString Subcategory)	Stop		FunDisc_ProviderEndQuery	Informational		
Microsoft-Windows-FunctionDiscovery	1032	0	FunDisc_ProviderInstancePropertyStoreValidateAccessStart(UnicodeString FunctionInstanceID)	Start		FunDisc_ProviderInstancePropertyStoreValidateAccess	Informational		
