provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-GPIO-ClassExtension	1000	1	task_0AcpiEventMethodStart_V1(UnicodeString ControllerBiosName, UInt16 BankId, UInt16 PinNumber)	AcpiEventMethodStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1001	1	task_0AcpiEventMethodComplete_V1(UInt16 PinNumber)	AcpiEventMethodComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1002	1	task_0ClearActiveInterruptsStart_V1(UnicodeString ControllerBiosName, UInt16 BankId, UInt64 PinMask)	ClearActiveInterruptsStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1003	1	task_0ClearActiveInterruptsComplete_V1(UInt64 PinMask)	ClearActiveInterruptsComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1004	1	task_0DebounceTimerStart_V1(UnicodeString ControllerBiosName, UInt16 BankId, UInt16 PinNumber, UInt16 Timeout)	DebounceTimerStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1005	1	task_0DebounceTimerComplete_V1(UInt16 PinNumber)	DebounceTimerComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1006	1	task_0DeferredInterruptActivitiesStart_V1(UnicodeString ControllerBiosName, UInt16 BankId)	DeferredInterruptActivitiesStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1007	1	task_0DeferredInterruptActivitiesComplete_V1()	DeferredInterruptActivitiesComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1008	1	task_0DisableInterruptStart_V1(UnicodeString ControllerBiosName, UInt16 BankId, UInt16 PinNumber)	DisableInterruptStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1009	1	task_0DisableInterruptComplete_V1(UInt16 PinNumber)	DisableInterruptComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1010	1	task_0EnableInterruptStart_V1(UnicodeString ControllerBiosName, UInt16 BankId, UInt16 PinNumber)	EnableInterruptStart		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1011	1	task_0EnableInterruptComplete_V1(UInt16 PinNumber)	EnableInterruptComplete		task_0	Informational		
Microsoft-Windows-GPIO-ClassExtension	1012	1	GPIObankinterruptflowthroughMSGPIOCLXInterruptInvokeDeviceIsrStart_V1(UInt16 PinNumber, UInt32 Gsiv)	InterruptInvokeDeviceIsrStart		GPIObankinterruptflowthroughMSGPIOCLX	Informational		
