provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-HelloForBusiness	3045	0	HelloProvisioningStart(UInt32 HelloScenarioType)	Start	Internal	HelloProvisioning	Informational		
Microsoft-Windows-HelloForBusiness	3052	0	KeyCreationStart()	Start	Internal	KeyCreation	Informational		
Microsoft-Windows-HelloForBusiness	3053	0	KeyCreationStart3053()	Start	Internal	KeyCreation	Informational		
Microsoft-Windows-HelloForBusiness	3054	0	PrerequisitesCheckStart()	Start	Internal	PrerequisitesCheck	Informational		
Microsoft-Windows-HelloForBusiness	3055	0	ContainerCreationStart()	Start	Internal	ContainerCreation	Informational		
Microsoft-Windows-HelloForBusiness	3060	0	PINRecoveryStart(SID UserSid)	Start	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	3065	0	HelloProvisioningStart3065(UInt32 HelloScenarioType)	Start	Internal	HelloProvisioning	Informational		
Microsoft-Windows-HelloForBusiness	3066	0	CertificateEnrollmentStart()	Start	Internal	CertificateEnrollment	Informational		
Microsoft-Windows-HelloForBusiness	3130	0	PINRecoveryStart3130(UInt32 PinRecoveryEntryType)	Start	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	3225	0	KeyCreationStart3225()	Start	Internal	KeyCreation	Informational		
Microsoft-Windows-HelloForBusiness	3510	0	KeyRegistrationStart()	Start	Component	KeyRegistration	Informational		
Microsoft-Windows-HelloForBusiness	3520	0	DeviceUnlockStart(UnicodeString DeviceUnlockProvider, UnicodeString DeviceUnlockGroupA, UnicodeString DeviceUnlockGroupB)	Start	Internal	DeviceUnlock	Informational		
Microsoft-Windows-HelloForBusiness	3525	0	HelloProvisioningStart3525()	Start	Internal	HelloProvisioning	Informational		
Microsoft-Windows-HelloForBusiness	3555	0	ContainerCreationStart3555()	Start	Internal	ContainerCreation	Informational		
Microsoft-Windows-HelloForBusiness	3601	0	ContainerDeletionStart()	Start	Internal	ContainerDeletion	Informational		
Microsoft-Windows-HelloForBusiness	3611	0	ContainerDeletionStart3611()	Start	Internal	ContainerDeletion	Informational		
Microsoft-Windows-HelloForBusiness	5000	0	task_0Informational(UnicodeString Manufacturer, UnicodeString Version, UInt32 Status)	Informational	Internal	task_0	Informational		
Microsoft-Windows-HelloForBusiness	5001	0	task_0Informational5001(UInt32 CredentialType)	Informational	Internal	task_0	Informational		
Microsoft-Windows-HelloForBusiness	5050	0	KeyCreationInformational(HexInt32 Result, UInt32 NumberOfAvailableKeys, UInt32 ElapsedTime)	Informational	Internal	KeyCreation	Informational		
Microsoft-Windows-HelloForBusiness	5060	0	PINRecoveryInformational(UInt32 PinRecoveryPolicyState, SID UserSid)	Informational	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	5061	0	PINRecoveryInformational5061()	Informational	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	5062	0	PINRecoveryInformational5062(SID UserSid)	Informational	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	5063	0	PINRecoveryInformational5063(SID UserSid)	Informational	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	5064	0	PINRecoveryInformational5064()	Informational	Internal	PINRecovery	Informational		
Microsoft-Windows-HelloForBusiness	5204	0	PrerequisitesCheckInformational(UInt32 CertificateEnrollmentMethod, Boolean CertificateRequired)	Informational	Internal	PrerequisitesCheck	Informational		
Microsoft-Windows-HelloForBusiness	5225	0	KeyCreationInformational5225(UInt32 KeyProvider, HexInt32 Result)	Informational	Internal	KeyCreation	Informational		
Microsoft-Windows-HelloForBusiness	5520	0	DeviceUnlockInformational()	Informational	Internal	DeviceUnlock	Informational		
Microsoft-Windows-HelloForBusiness	5555	0	ContainerCreationInformational(UInt32 TpmSupport, UInt32 HardwarePolicy, Boolean IsTpm12Excluded, UInt32 TpmVersion, Boolean IsTpmFIPS, Boolean IsTpmLockedOut, Boolean IsKeyPregenPoolSatisfactory, UInt32 KeyProvider, HexInt32 Result)	Informational	Internal	ContainerCreation	Informational		
Microsoft-Windows-HelloForBusiness	5601	0	ContainerDeletionInformational()	Informational	Internal	ContainerDeletion	Informational		
Microsoft-Windows-HelloForBusiness	5602	0	ContainerDeletionInformational5602()	Informational	Internal	ContainerDeletion	Informational		
