provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Help	52	0	NavigateBackStart(UnicodeString url)	Start	PerfEvent	NavigateBack	Informational		
Microsoft-Windows-Help	53	0	NavigateBackStop(UnicodeString url)	Stop	PerfEvent	NavigateBack	Informational		
Microsoft-Windows-Help	54	0	DisplaySearchStart(UnicodeString url)	Start		DisplaySearch	Informational		
Microsoft-Windows-Help	55	0	DisplaySearchStop(UnicodeString url)	Stop		DisplaySearch	Informational		
Microsoft-Windows-Help	56	0	DisplayTOCStart(UnicodeString url)	Start		DisplayTOC	Informational		
Microsoft-Windows-Help	57	0	DisplayTOCStop(UnicodeString url)	Stop		DisplayTOC	Informational		
Microsoft-Windows-Help	58	0	ApplicationStartupStart()	Start	PerfEvent	ApplicationStartup	Informational		
Microsoft-Windows-Help	59	0	ApplicationStartupStop()	Stop	PerfEvent	ApplicationStartup	Informational		
Microsoft-Windows-Help	60	0	ApplicationShutDownStart()	Start	PerfEvent	ApplicationShutDown	Informational		
Microsoft-Windows-Help	61	0	ApplicationShutDownStop()	Stop	PerfEvent	ApplicationShutDown	Informational		
Microsoft-Windows-Help	62	0	LaunchStart(UInt32 sessionid)	Start		Launch	Informational		
Microsoft-Windows-Help	63	0	LaunchStop(UInt32 sessionid)	Stop		Launch	Informational		
Microsoft-Windows-Help	100	0	NavigationStart(UnicodeString url)	Start		Navigation	Informational		
Microsoft-Windows-Help	101	0	NavigationStop(UnicodeString url)	Stop		Navigation	Informational		
Microsoft-Windows-Help	102	0	ContentSessionDataRetrievalStart(UnicodeString url)	Start	PerfEvent	ContentSessionDataRetrieval	Informational		
Microsoft-Windows-Help	103	0	ContentSessionDataRetrievalStop(UnicodeString url)	Stop	PerfEvent	ContentSessionDataRetrieval	Informational		
Microsoft-Windows-Help	104	0	SearchSessionDataRetrievalStart(UnicodeString url)	Start	PerfEvent	SearchSessionDataRetrieval	Informational		
Microsoft-Windows-Help	105	0	SearchSessionDataRetrievalStop(UnicodeString url)	Stop	PerfEvent	SearchSessionDataRetrieval	Informational		
Microsoft-Windows-Help	106	0	TOCSessionDataRetrievalStart(UnicodeString url)	Start	PerfEvent	TOCSessionDataRetrieval	Informational		
Microsoft-Windows-Help	107	0	TOCSessionDataRetrievalStop(UnicodeString url)	Stop	PerfEvent	TOCSessionDataRetrieval	Informational		
Microsoft-Windows-Help	108	0	TransformStart()	Start	PerfEvent	Transform	Informational		
Microsoft-Windows-Help	109	0	TransformStop()	Stop	PerfEvent	Transform	Informational		
Microsoft-Windows-Help	110	0	TransformStart110()	Start	PerfEvent	Transform	Informational		
