provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-HomeGroup-ControlPanel	5001	0	task_0(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5002	0	task_05002(UnicodeString Error, UnicodeString Message)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5003	0	task_05003(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5004	0	task_05004(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5005	0	task_05005(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5006	0	task_05006(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5007	0	task_05007(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5008	0	task_05008(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5009	0	task_05009(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5010	0	task_05010(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5011	0	task_05011(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5012	0	task_05012(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5013	0	task_05013(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5014	0	task_05014(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5015	0	task_05015(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5016	0	task_05016(UnicodeString Error, GUID guid, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5017	0	task_05017(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5018	0	task_05018(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5020	0	task_05020(UnicodeString Error, UInt32 DWORD)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5021	0	task_05021(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5022	0	task_05022(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5023	0	task_05023()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5024	0	task_05024()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5025	0	task_05025(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ControlPanel	5026	0	task_05026()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5027	0	task_05027()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5028	0	task_05028()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5029	0	task_05029()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	5030	0	task_05030()			task_0	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	6001	0	Initialization_CoreStart()	Start		Initialization_Core	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	6002	0	Initialization_CoreStop()	Stop		Initialization_Core	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	6003	0	Initialization_PageStart()	Start		Initialization_Page	Informational		
Microsoft-Windows-HomeGroup-ControlPanel	6004	0	Initialization_PageStop()	Stop		Initialization_Page	Informational		
