provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-HomeGroup-ProviderService	5001	0	task_0(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5002	0	task_05002(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5003	0	task_05003(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5004	0	task_05004(UnicodeString Error, UnicodeString Message)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5005	0	task_05005(UnicodeString Error)			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5006	0	task_05006()			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5007	0	task_05007()			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5008	0	task_05008(UnicodeString Error, UnicodeString Message)			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5009	0	task_05009(UnicodeString Error)			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5010	0	task_05010()			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5011	0	task_05011(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5012	0	task_05012(UnicodeString Error)			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5013	0	task_05013(GUID HomeGroupID, UInt32 OldStatus, UInt32 NewStatus)			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5014	0	task_05014()			task_0	Informational		
Microsoft-Windows-HomeGroup-ProviderService	5015	0	task_05015(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5016	0	task_05016(UnicodeString Error)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	5017	0	task_05017(UnicodeString Error, UnicodeString Message)			task_0	Error		
Microsoft-Windows-HomeGroup-ProviderService	6001	0	Homegroup_CreateStart()	Start		Homegroup_Create	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6002	0	Homegroup_CreateStop()	Stop		Homegroup_Create	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6003	0	Homegroup_JoinStart()	Start		Homegroup_Join	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6004	0	Homegroup_JoinStop()	Stop		Homegroup_Join	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6005	0	Homegroup_DepartStart()	Start		Homegroup_Depart	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6006	0	Homegroup_DepartStop()	Stop		Homegroup_Depart	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6007	0	Homegroup_ResetPinStart()	Start		Homegroup_ResetPin	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6008	0	Homegroup_ResetPinStop()	Stop		Homegroup_ResetPin	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6009	0	Homegroup_ResolveConflictStart()	Start		Homegroup_ResolveConflict	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6010	0	Homegroup_ResolveConflictStop()	Stop		Homegroup_ResolveConflict	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6011	0	Homegroup_GetPinStart()	Start		Homegroup_GetPin	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6012	0	Homegroup_GetPinStop()	Stop		Homegroup_GetPin	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6013	0	Homegroup_GetSigningKeysStart()	Start		Homegroup_GetSigningKeys	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6014	0	Homegroup_GetSigningKeysStop()	Stop		Homegroup_GetSigningKeys	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6015	0	Homegroup_SignBuffersStart()	Start		Homegroup_SignBuffers	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6016	0	Homegroup_SignBuffersStop()	Stop		Homegroup_SignBuffers	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6017	0	Homegroup_VerifyBuffersStart()	Start		Homegroup_VerifyBuffers	Informational		
Microsoft-Windows-HomeGroup-ProviderService	6018	0	Homegroup_VerifyBuffersStop()	Stop		Homegroup_VerifyBuffers	Informational		
