provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-HttpService	1	0	HTTPRequestTraceTaskRecvReq(UInt64 RequestId, UInt64 ConnectionId, UInt32 RemoteAddrLength, Binary RemoteAddr)	RecvReq	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_REQUEST_QUEUE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	2	0	HTTPRequestTraceTaskParse(Pointer RequestObj, UInt32 HttpVerb, UnicodeString Url)	Parse	HTTP_KEYWORD_REQUEST	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	3	0	HTTPRequestTraceTaskDeliver(Pointer RequestObj, UInt64 RequestId, UInt32 SiteId, UnicodeString RequestQueueName, UnicodeString Url, UInt32 Status)	Deliver	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_REQUEST_QUEUE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	4	0	HTTPRequestTraceTaskRecvResp(UInt64 RequestId, UInt64 ConnectionId, UInt16 StatusCode, AnsiString Verb, UInt32 HeaderLength, UInt16 EntityChunkCount, UInt32 CachePolicy)	RecvResp	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	5	0	HTTPRequestTraceTaskRecvRespLast(UInt64 RequestId)	RecvRespLast	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	6	0	HTTPRequestTraceTaskRecvBody(UInt64 RequestId, UInt64 ConnectionId)	RecvBody	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	7	0	HTTPRequestTraceTaskRecvBodyLast(UInt64 RequestId)	RecvBodyLast	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	8	0	HTTPRequestTraceTaskFastResp(UInt64 RequestId, UInt64 ConnectionId, UInt16 StatusCode, AnsiString Verb, UInt32 HeaderLength, UInt16 EntityChunkCount, UInt32 CachePolicy)	FastResp	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	9	0	HTTPRequestTraceTaskFastRespLast(UInt64 RequestId)	FastRespLast	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	10	0	HTTPRequestTraceTaskSendComplete(UInt64 RequestId, UInt16 HttpStatus)	SendComplete	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CONNECTION	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	11	0	HTTPRequestTraceTaskCachedAndSend(UInt64 RequestId, UInt16 HttpStatus)	CachedAndSend	HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CACHE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	12	0	HTTPRequestTraceTaskFastSend(UInt64 RequestId, UInt16 HttpStatus)	FastSend	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	13	0	HTTPRequestTraceTaskZeroSend(UInt64 RequestId, UInt16 HttpStatus)	ZeroSend	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CONNECTION	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	14	0	HTTPRequestTraceTaskLastSndError(UInt64 RequestId, UInt16 HttpStatus)	LastSndError	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Error		
Microsoft-Windows-HttpService	15	0	HTTPRequestTraceTaskSndError(UInt64 RequestId, AnsiString Reason, UInt32 Status)	SndError	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE	HTTPRequestTraceTask	Error		
Microsoft-Windows-HttpService	16	0	HTTPRequestTraceTaskSrvdFrmCache(Pointer RequestObj, UInt32 SiteId, UInt32 BytesSent)	SrvdFrmCache	HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CACHE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	16	1	HTTPRequestTraceTaskSrvdFrmCache_V1(Pointer RequestObj, UInt32 SiteId, UInt32 BytesSent, UInt64 RequestId, AnsiString Encoding)	SrvdFrmCache	HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CACHE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	17	0	HTTPRequestTraceTaskCachedNotModified(Pointer RequestObj, UInt32 SiteId, UInt32 BytesSent)	CachedNotModified	HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CACHE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	17	1	HTTPRequestTraceTaskCachedNotModified_V1(Pointer RequestObj, UInt32 SiteId, UInt32 BytesSent, UInt64 RequestId, AnsiString Encoding)	CachedNotModified	HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_CACHE	HTTPRequestTraceTask	Informational		
Microsoft-Windows-HttpService	18	0	HTTPSetupTraceTaskResvUrl(UnicodeString Url, UInt32 ReserveStatus)	ResvUrl	HTTP_KEYWORD_SETUP	HTTPSetupTraceTask	Informational		
Microsoft-Windows-HttpService	19	0	HTTPSetupTraceTaskReadIpListEntry(UInt32 IpAddrLength, Binary IpAddress)	ReadIpListEntry	HTTP_KEYWORD_SETUP	HTTPSetupTraceTask	Informational		
Microsoft-Windows-HttpService	20	0	HTTPSetupTraceTaskCreatedSslCred(Pointer EndpointConfigObj, UInt32 AddressLength, Binary Address, UInt32 CertHashLength, Binary CertHash, UnicodeString CertStoreName, UInt32 CertCheckMode, UInt32 RevokeFreshnessTime, UInt32 RevokeRetrievalTime, UInt32 Flags, UnicodeString CtlId, UnicodeString CtlStoreName)	CreatedSslCred	HTTP_KEYWORD_SETUP HTTP_KEYWORD_SSL	HTTPSetupTraceTask	Informational		
Microsoft-Windows-HttpService	20	1	HTTPSetupTraceTaskCreatedSslCred_V1(Pointer EndpointConfigObj, UnicodeString Endpoint, UInt32 CertHashLength, Binary CertHash, UnicodeString CertStoreName, UInt32 CertCheckMode, UInt32 RevokeFreshnessTime, UInt32 RevokeRetrievalTime, UInt32 Flags, UnicodeString CtlId, UnicodeString CtlStoreName, UInt32 CertificateLoadTimems)	CreatedSslCred	HTTP_KEYWORD_SETUP HTTP_KEYWORD_SSL	HTTPSetupTraceTask	Informational		
Microsoft-Windows-HttpService	21	0	HTTPConnectionTraceTaskConnConnect(Pointer ConnectionObj, UInt32 LocalAddrLength, Binary LocalAddr, UInt32 RemoteAddrLength, Binary RemoteAddr)	ConnConnect	HTTP_KEYWORD_CONNECTION	HTTPConnectionTraceTask	Informational		
Microsoft-Windows-HttpService	22	0	HTTPConnectionTraceTaskConnIdAssgn(UInt64 RequestId, UInt64 ConnectionId, Pointer ConnectionObj)	ConnIdAssgn	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_CONNECTION	HTTPConnectionTraceTask	Informational		
Microsoft-Windows-HttpService	23	0	HTTPConnectionTraceTaskConnClose(Pointer ConnectionObj, UInt32 Abortive)	ConnClose	HTTP_KEYWORD_CONNECTION	HTTPConnectionTraceTask	Informational		
Microsoft-Windows-HttpService	24	0	HTTPConnectionTraceTaskConnCleanup(Pointer ConnectionObj)	ConnCleanup	HTTP_KEYWORD_CONNECTION	HTTPConnectionTraceTask	Informational		
Microsoft-Windows-HttpService	25	0	HTTPCacheTraceTaskAddedCacheEntry(UnicodeString Uri, UInt16 StatusCode, AnsiString Verb, UInt32 HeaderLength, UInt32 ContentLength, UInt64 ExpirationTime)	AddedCacheEntry	HTTP_KEYWORD_CACHE	HTTPCacheTraceTask	Informational		
Microsoft-Windows-HttpService	25	1	HTTPCacheTraceTaskAddedCacheEntry_V1(UnicodeString Uri, UInt16 StatusCode, AnsiString Verb, UInt32 HeaderLength, UInt32 ContentLength, UInt64 ExpirationTime, AnsiString Encoding)	AddedCacheEntry	HTTP_KEYWORD_CACHE	HTTPCacheTraceTask	Informational		
Microsoft-Windows-HttpService	26	0	HTTPCacheTraceTaskAddCacheEntryFailed(UnicodeString UrlBuffer, UInt32 ErrorStatus)	AddCacheEntryFailed	HTTP_KEYWORD_CACHE	HTTPCacheTraceTask	Error		
Microsoft-Windows-HttpService	26	1	HTTPCacheTraceTaskAddCacheEntryFailed_V1(UnicodeString UrlBuffer, UInt32 ErrorStatus, AnsiString Encoding)	AddCacheEntryFailed	HTTP_KEYWORD_CACHE	HTTPCacheTraceTask	Error		
Microsoft-Windows-HttpService	27	0	HTTPCacheTraceTaskFlushedCache(UnicodeString Uri, UInt16 StatusCode, AnsiString Verb, UInt32 HeaderLength, UInt32 ContentLength, UInt64 ExpirationTime)	FlushedCache	HTTP_KEYWORD_CACHE	HTTPCacheTraceTask	Informational		
Microsoft-Windows-HttpService	28	0	HTTPConfigurationPropertyTraceTaskChgUrlGrpProp(UInt32 Property, UInt32 Status)	ChgUrlGrpProp	HTTP_KEYWORD_URL_GROUP	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	29	0	HTTPConfigurationPropertyTraceTaskChgSrvSesProp(UInt32 Property, UInt32 Status)	ChgSrvSesProp	HTTP_KEYWORD_SERVER_SESSION	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	30	0	HTTPConfigurationPropertyTraceTaskChgReqQueueProp(UInt32 Property, UInt32 Status)	ChgReqQueueProp	HTTP_KEYWORD_REQUEST_QUEUE	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	31	0	HTTPConfigurationPropertyTraceTaskAddUrl(UInt64 UrlGroupId, UnicodeString Url, UInt32 Status)	AddUrl	HTTP_KEYWORD_URL_GROUP	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	32	0	HTTPConfigurationPropertyTraceTaskRemUrl(UInt64 UrlGroupId, UnicodeString Url)	RemUrl	HTTP_KEYWORD_URL_GROUP	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	33	0	HTTPConfigurationPropertyTraceTaskRemAllUrls(UInt64 UrlGroupId)	RemAllUrls	HTTP_KEYWORD_URL_GROUP	HTTPConfigurationPropertyTraceTask	Informational		
Microsoft-Windows-HttpService	34	0	HTTPSSLTraceTaskSslConnEvent(Pointer ConnectionObj)	SslConnEvent	HTTP_KEYWORD_CONNECTION HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	35	0	HTTPSSLTraceTaskSslInitiateHandshake(Pointer ConnectionObj)	SslInitiateHandshake	HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	36	0	HTTPSSLTraceTaskSslHandshakeComplete(UInt32 Status, Pointer ConnectionObj)	SslHandshakeComplete	HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	37	0	HTTPSSLTraceTaskSslInititateSslRcvClientCert(Pointer ConnectionObj)	SslInititateSslRcvClientCert	HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	38	0	HTTPSSLTraceTaskSslRcvClientCertFailed(UInt32 Status, Pointer ConnectionObj)	SslRcvClientCertFailed	HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Error		
Microsoft-Windows-HttpService	39	0	HTTPSSLTraceTaskSslRcvdRawData(UInt32 DataLength, Pointer ConnectionObj)	SslRcvdRawData	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_CONNECTION HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	40	0	HTTPSSLTraceTaskSslDlvrdStreamData(UInt32 DataLength, Pointer ConnectionObj)	SslDlvrdStreamData	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	41	0	HTTPSSLTraceTaskSslAcceptStreamData(UInt32 DataLength, Pointer ConnectionObj)	SslAcceptStreamData	HTTP_KEYWORD_REQUEST HTTP_KEYWORD_RESPONSE HTTP_KEYWORD_SSL	HTTPSSLTraceTask	Informational		
Microsoft-Windows-HttpService	43	0	HTTPAuthenticationTraceTaskSspiCall(UInt64 ConnectionId, AnsiString AuthType, UInt32 SecStatus, UInt32 AuthStatus)	SspiCall	HTTP_KEYWORD_AUTHENTICATION	HTTPAuthenticationTraceTask	Informational		
Microsoft-Windows-HttpService	43	1	HTTPAuthenticationTraceTaskSspiCall_V1(UInt64 ConnectionId, AnsiString AuthType, UInt32 SecStatus, UInt32 AuthStatus, UInt32 ContextAttributes)	SspiCall	HTTP_KEYWORD_AUTHENTICATION	HTTPAuthenticationTraceTask	Informational		
Microsoft-Windows-HttpService	44	0	HTTPAuthenticationTraceTaskAuthCacheEntryAdded(UInt64 ConnectionId, AnsiString AuthCacheType, Pointer AccessTokenOrHandle, UInt32 Status)	AuthCacheEntryAdded	HTTP_KEYWORD_AUTHENTICATION	HTTPAuthenticationTraceTask	Informational		
Microsoft-Windows-HttpService	45	0	HTTPAuthenticationTraceTaskAuthCacheEntryFreed(Pointer AccessTokenOrHandle, UInt32 Status)	AuthCacheEntryFreed	HTTP_KEYWORD_AUTHENTICATION	HTTPAuthenticationTraceTask	Informational		
Microsoft-Windows-HttpService	46	0	HTTPConnectionTraceTaskQosFlowSetReset(UInt64 ConnectionId, UInt32 Bandwidth, UInt32 Status)	QosFlowSetReset	HTTP_KEYWORD_CONNECTION	HTTPConnectionTraceTask	Informational		
Microsoft-Windows-HttpService	47	0	HTTPLoggingTraceTaskLoggingConfigFailed(UInt32 Status, UInt32 Type, UInt32 Group, UnicodeString Directory, UnicodeString Software, UInt32 SiteId)	LoggingConfigFailed	HTTP_KEYWORD_LOGGING	HTTPLoggingTraceTask	Error		
