provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-ComputeLib	100	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-ComputeLib	101	0	task_0101(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-ComputeLib	102	0	task_0102(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	103	0	task_0103(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft-Windows-Hyper-V-ComputeLib	1000	0	task_01000(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1001	0	task_01001(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1002	0	task_01002(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1003	0	task_01003(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1004	0	task_01004(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1005	0	task_01005(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-ComputeLib	1006	0	task_01006(UnicodeString Id, UnicodeString ErrorMessage, UnicodeString ErrorCode)			task_0	Error		
