provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	1	0	task_0()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	2	0	task_02()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	3	0	task_03()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	4	0	task_04()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	5	0	task_05()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	6	0	task_06(UnicodeString OperationMessage, UInt32 Error)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	7	0	task_07(UnicodeString OperationMessage, UInt32 Error)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	8	0	task_08(UInt32 Error)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	100	0	task_0100(UnicodeString OperationMessage, UInt32 PageCount)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	101	0	task_0101(HexInt64 HighestHotAddPage, UInt64 MinPageCount, Boolean IsHighestPageDetermined, Boolean SupportsHotAdd, Boolean SupportsHotRemove, Boolean SupportsContiguousAllocations, Boolean SupportsFastContiguousAllocations, Boolean SupportsHugePageAllocations)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	102	0	task_0102(UInt32 MajorVersion, UInt32 MinorVersion)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-Dynamic-Memory	103	0	task_0103()			task_0	Informational		
