provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	1	0	task_0(Int32 Status)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	2	0	task_02(Int32 Status)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	3	0	task_03(Int32 Status)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	4	0	task_04(Int32 Status)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	5	0	task_05(UnicodeString Volume)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	6	0	task_06()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	7	0	task_07()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	8	0	task_08(UnicodeString FilePath)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	9	0	task_09(UnicodeString FilePath)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	10	0	task_010(UnicodeString FilePath)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	11	0	task_011(UnicodeString FilePath)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	12	0	task_012(UnicodeString FilePath)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	13	0	task_013(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	14	0	task_014(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	15	0	task_015(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	16	0	task_016(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	17	0	task_017(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	18	0	task_018(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	19	0	task_019(UInt32 Error, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	20	0	task_020()			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	21	0	task_021(UInt32 Error, UnicodeString File, UnicodeString ErrorCodeString)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	22	0	task_022(Int32 Status)			task_0	Warning		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	23	0	task_023(UnicodeString Name, Int32 Writerstatus, Int32 Status)			task_0	Warning		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	24	0	task_024(UInt32 DiskNumber)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	3584	0	task_03584(UnicodeString TraceData, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, UInt16 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	3585	0	task_03585(UnicodeString TraceData, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, UInt16 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	3586	0	task_03586(UnicodeString TraceData, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, UInt16 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-Guest-Drivers-IcSvc	3587	0	task_03587(UnicodeString TraceData, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, UInt16 Module)			task_0	Critical		
